Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.146421,0.156127,0.145064,0.150261,65,"308,994"
"Sep 30, 2017",0.140585,0.157254,0.140451,0.146342,52,"296,679"
"Sep 29, 2017",0.149922,0.159430,0.133590,0.140567,555,"316,382"
"Sep 28, 2017",0.137543,0.150534,0.136057,0.150038,63,"290,259"
"Sep 27, 2017",0.127896,0.138098,0.127896,0.137538,173,"269,901"
"Sep 26, 2017",0.128266,0.133273,0.126349,0.128254,125,"270,683"
"Sep 25, 2017",0.119793,0.129461,0.119749,0.128279,55,"252,800"
"Sep 24, 2017",0.128847,0.128847,0.119914,0.119914,107,"271,908"
"Sep 23, 2017",0.122719,0.130242,0.121541,0.128858,117,"258,977"
"Sep 22, 2017",0.123700,0.135899,0.119752,0.123067,347,"261,046"
"Sep 21, 2017",0.132356,0.133239,0.122778,0.123842,69,"279,314"
"Sep 20, 2017",0.133437,0.137024,0.131120,0.136714,154,"281,595"
"Sep 19, 2017",0.149516,0.150311,0.132355,0.133616,150,"315,526"
"Sep 18, 2017",0.111112,0.150469,0.111112,0.149155,111,"234,482"
"Sep 17, 2017",0.121908,0.125303,0.111005,0.111334,"1,126","257,264"
"Sep 16, 2017",0.121109,0.133135,0.117119,0.121991,22,"255,578"
"Sep 15, 2017",0.106403,0.136151,0.106403,0.121425,56,"224,543"
"Sep 14, 2017",0.131726,0.133675,0.105579,0.105579,"1,627","277,983"
"Sep 13, 2017",0.137675,0.138178,0.123555,0.131733,488,"290,539"
"Sep 12, 2017",0.168353,0.174854,0.138041,0.138200,70,"355,278"
"Sep 11, 2017",0.175491,0.178624,0.131952,0.168192,76,"370,341"
"Sep 10, 2017",0.136002,0.177218,0.127465,0.175789,737,"287,008"
"Sep 09, 2017",0.135102,0.143828,0.131357,0.136353,30,"285,109"
"Sep 08, 2017",0.190450,0.198703,0.129066,0.134582,549,"401,909"
"Sep 07, 2017",0.235262,0.235301,0.175193,0.190411,927,"496,477"
"Sep 06, 2017",0.221885,0.241550,0.221616,0.235713,384,"468,247"
"Sep 05, 2017",0.215292,0.225811,0.202834,0.221632,40,"454,335"
"Sep 04, 2017",0.240418,0.256471,0.211028,0.214181,848,"507,359"
"Sep 03, 2017",0.219850,0.272270,0.219850,0.240338,369,"463,953"
"Sep 02, 2017",0.223545,0.249754,0.210221,0.217929,88,"471,750"
"Sep 01, 2017",0.183042,0.232644,0.160594,0.223265,738,"386,277"
"Aug 31, 2017",0.203112,0.258454,0.168838,0.184332,568,"428,631"
"Aug 30, 2017",0.183762,0.229737,0.177994,0.203774,656,"387,796"
"Aug 29, 2017",0.173974,0.189585,0.172412,0.184007,336,"367,140"
"Aug 28, 2017",0.166086,0.189799,0.153360,0.173678,508,"350,495"
"Aug 27, 2017",0.156643,0.171808,0.155018,0.166260,239,"330,566"
"Aug 26, 2017",0.149503,0.156754,0.137568,0.156678,348,"315,498"
"Aug 25, 2017",0.130468,0.152630,0.130061,0.149457,646,"275,330"
"Aug 24, 2017",0.137505,0.145980,0.126647,0.130674,373,"290,179"
"Aug 23, 2017",0.122886,0.139561,0.122466,0.137445,505,"259,329"
"Aug 22, 2017",0.132831,0.132831,0.113382,0.123137,111,"280,315"
"Aug 21, 2017",0.125114,0.143080,0.125088,0.132524,12,"264,030"
"Aug 20, 2017",0.129044,0.144103,0.123439,0.125591,635,"272,323"
"Aug 19, 2017",0.088375,0.143403,0.086613,0.129649,729,"186,498"
"Aug 18, 2017",0.085896,0.097651,0.084331,0.088450,"2,644","181,268"
"Aug 17, 2017",0.096686,0.103993,0.083936,0.086159,"1,035","204,038"
