Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.010466,0.012305,0.010169,0.010346,257,"85,747"
"Sep 30, 2017",0.007912,0.012362,0.007110,0.010456,666,"64,775"
"Sep 29, 2017",0.008387,0.008537,0.007818,0.007911,298,"68,620"
"Sep 28, 2017",0.007589,0.012819,0.007379,0.008394,447,"62,047"
"Sep 27, 2017",0.006953,0.010346,0.006533,0.007589,57,"56,806"
"Sep 26, 2017",0.006040,0.009248,0.005630,0.006972,570,"49,317"
"Sep 25, 2017",0.005545,0.021434,0.005404,0.006041,580,"45,242"
"Sep 24, 2017",0.005829,0.005883,0.005491,0.005551,23,"47,524"
"Sep 23, 2017",0.005517,0.005863,0.005384,0.005821,24,"44,947"
"Sep 22, 2017",0.005648,0.005703,0.005338,0.005461,93,"45,987"
"Sep 21, 2017",0.006013,0.006469,0.005345,0.005655,554,"48,922"
"Sep 20, 2017",0.006066,0.006282,0.005961,0.006043,24,"49,318"
"Sep 19, 2017",0.006442,0.006476,0.005360,0.006074,751,"52,336"
"Sep 18, 2017",0.006495,0.006955,0.005937,0.006426,114,"52,733"
"Sep 17, 2017",0.005688,0.008219,0.005301,0.006508,70,"46,144"
"Sep 16, 2017",0.005746,0.006033,0.005525,0.005691,63,"46,586"
"Sep 15, 2017",0.005004,0.006030,0.004633,0.005799,16,"40,540"
"Sep 14, 2017",0.006132,0.006248,0.004961,0.004961,52,"49,642"
"Sep 13, 2017",0.006625,0.006646,0.005851,0.006027,48,"53,595"
"Sep 12, 2017",0.006618,0.007231,0.006555,0.006652,33,"53,504"
"Sep 11, 2017",0.015766,0.015835,0.006374,0.006611,330,"127,369"
"Sep 10, 2017",0.007488,0.009393,0.007043,0.007418,316,"60,450"
"Sep 09, 2017",0.007831,0.008805,0.007284,0.007507,73,"63,177"
"Sep 08, 2017",0.008228,0.014166,0.007392,0.008372,221,"66,327"
"Sep 07, 2017",0.009888,0.010222,0.008173,0.008230,74,"79,653"
"Sep 06, 2017",0.008668,0.009981,0.008123,0.009893,183,"69,782"
"Sep 05, 2017",0.008079,0.008915,0.007095,0.008658,515,"64,993"
"Sep 04, 2017",0.010058,0.010177,0.007766,0.008044,64,"80,858"
"Sep 03, 2017",0.009753,0.011569,0.009553,0.010055,77,"78,347"
"Sep 02, 2017",0.010554,0.011308,0.009506,0.009748,156,"84,717"
"Sep 01, 2017",0.009226,0.011402,0.009000,0.010532,191,"74,007"
"Aug 31, 2017",0.010291,0.010724,0.008323,0.009168,379,"82,495"
"Aug 30, 2017",0.009234,0.022791,0.009203,0.010385,582,"73,966"
"Aug 29, 2017",0.009386,0.010103,0.009124,0.009246,28,"75,133"
"Aug 28, 2017",0.010782,0.013215,0.008595,0.009393,110,"86,245"
"Aug 27, 2017",0.009426,0.011302,0.009333,0.010794,621,"75,345"
"Aug 26, 2017",0.008298,0.009915,0.008181,0.009428,117,"66,282"
"Aug 25, 2017",0.007584,0.010881,0.007584,0.008296,100,"60,532"
"Aug 24, 2017",0.007835,0.007873,0.007160,0.007596,196,"62,494"
"Aug 23, 2017",0.006108,0.008173,0.006090,0.007914,68,"48,682"
"Aug 22, 2017",0.007361,0.009507,0.005922,0.006120,111,"58,625"
"Aug 21, 2017",0.005852,0.008157,0.005836,0.007344,291,"46,573"
"Aug 20, 2017",0.005973,0.006561,0.005838,0.005874,63,"47,501"
"Aug 19, 2017",0.006644,0.007062,0.005993,0.006000,66,"52,802"
"Aug 18, 2017",0.006421,0.006802,0.006284,0.006649,79,"50,996"
"Aug 17, 2017",0.006190,0.006686,0.006123,0.006441,27,"49,126"
