Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.000251,0.000255,0.000140,0.000178,21,"12,725"
"Sep 30, 2017",0.000228,0.000261,0.000227,0.000255,15,"11,558"
"Sep 29, 2017",0.000212,0.000229,0.000099,0.000228,29,"10,751"
"Sep 28, 2017",0.000135,0.000223,0.000089,0.000214,43,"6,864"
"Sep 27, 2017",0.000233,0.000279,0.000090,0.000153,14,"11,831"
"Sep 26, 2017",0.000175,0.000235,0.000154,0.000234,22,"8,877"
"Sep 25, 2017",0.000257,0.000266,0.000168,0.000173,1,"13,048"
"Sep 24, 2017",0.000183,0.000259,0.000146,0.000257,8,"9,305"
"Sep 22, 2017",0.000181,0.000188,0.000177,0.000177,25,"9,191"
"Sep 21, 2017",0.000184,0.000186,0.000179,0.000181,25,"9,328"
"Sep 18, 2017",0.000407,0.000457,0.000407,0.000452,3,"20,650"
"Sep 17, 2017",0.000413,0.000452,0.000382,0.000408,15,"20,976"
"Sep 16, 2017",0.000371,0.000443,0.000287,0.000413,2,"18,831"
"Sep 15, 2017",0.001117,0.001455,0.000345,0.000372,2,"56,694"
"Sep 14, 2017",0.000478,0.001237,0.000286,0.001108,16,"24,243"
"Sep 13, 2017",0.000249,0.003595,0.000230,0.000478,9,"12,648"
"Sep 12, 2017",0.000251,0.000252,0.000249,0.000250,30,"12,734"
"Sep 11, 2017",0.000257,0.000265,0.000250,0.000252,19,"13,068"
"Sep 10, 2017",0.000260,0.000789,0.000257,0.000258,19,"13,193"
"Sep 09, 2017",0.000346,0.000347,0.000252,0.000261,7,"17,581"
"Sep 08, 2017",0.000369,0.000376,0.000332,0.000346,8,"18,730"
"Sep 07, 2017",0.000277,0.000281,0.000270,0.000275,3,"14,059"
"Sep 06, 2017",0.000575,0.000723,0.000275,0.000277,8,"29,170"
"Sep 05, 2017",0.000517,0.000585,0.000487,0.000574,1,"26,232"
"Sep 04, 2017",0.000785,0.000786,0.000498,0.000514,5,"39,863"
"Sep 03, 2017",0.000784,0.000804,0.000753,0.000785,6,"39,795"
"Sep 02, 2017",0.000827,0.000833,0.000764,0.000783,10,"41,967"
"Sep 01, 2017",0.000900,0.000925,0.000892,0.000925,3,"45,702"
"Aug 31, 2017",0.000898,0.000901,0.000898,0.000900,3,"45,580"
"Aug 30, 2017",0.000873,0.000884,0.000865,0.000865,1,"44,312"
"Aug 29, 2017",0.000767,0.000882,0.000760,0.000874,1,"38,942"
"Aug 28, 2017",0.000827,0.000827,0.000609,0.000765,0,"42,005"
"Aug 27, 2017",0.000913,0.000937,0.000728,0.000827,34,"46,324"
"Aug 26, 2017",0.001114,0.001116,0.000910,0.000913,350,"56,538"
"Aug 25, 2017",0.000991,0.001118,0.000919,0.001090,4,"50,313"
"Aug 24, 2017",0.000994,0.001004,0.000945,0.000992,60,"50,477"
"Aug 23, 2017",0.000726,0.001018,0.000096,0.000994,0,"36,858"
