Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.008104,0.011612,0.008033,0.008895,230,-
"Sep 30, 2017",0.010576,0.012431,0.007672,0.008099,170,-
"Sep 29, 2017",0.012271,0.012411,0.010527,0.010575,631,-
"Sep 28, 2017",0.012228,0.013301,0.012114,0.012281,654,-
"Sep 27, 2017",0.011669,0.012277,0.006928,0.012227,"1,039",-
"Sep 26, 2017",0.010181,0.011797,0.009051,0.011702,312,-
"Sep 25, 2017",0.010956,0.013266,0.010158,0.010182,987,-
"Sep 24, 2017",0.010694,0.012431,0.010602,0.010967,472,-
"Sep 23, 2017",0.009380,0.014859,0.009290,0.010695,"1,139",-
"Sep 22, 2017",0.008488,0.009457,0.008240,0.009407,246,-
"Sep 21, 2017",0.008380,0.010765,0.008236,0.008498,230,-
"Sep 20, 2017",0.013162,0.014305,0.008178,0.008421,10,-
"Sep 19, 2017",0.015160,0.015241,0.008409,0.013180,654,-
"Sep 18, 2017",0.005537,0.039335,0.005537,0.015123,"6,762",-
"Sep 17, 2017",0.004374,0.010729,0.004265,0.005548,"1,296",-
"Sep 16, 2017",0.002950,0.009444,0.002946,0.004377,"1,258",-
"Sep 15, 2017",0.001330,0.002982,0.001226,0.002957,163,-
"Sep 14, 2017",0.001241,0.001385,0.001015,0.001320,3,-
"Sep 13, 2017",0.001204,0.001465,0.001101,0.001241,1,-
"Sep 12, 2017",0.001288,0.001411,0.001190,0.001209,13,-
"Sep 11, 2017",0.002313,0.002357,0.001031,0.001286,141,-
"Sep 10, 2017",0.001788,0.003014,0.001708,0.002317,17,-
"Sep 09, 2017",0.002121,0.002160,0.001736,0.001793,13,-
"Sep 08, 2017",0.002274,0.002285,0.002031,0.002117,0,-
"Sep 07, 2017",0.001939,0.001939,0.001890,0.001895,14,-
"Sep 06, 2017",0.001901,0.002061,0.001900,0.001942,14,-
"Sep 05, 2017",0.003544,0.003544,0.001727,0.001898,2,-
"Sep 04, 2017",0.002263,0.003651,0.002107,0.003525,26,-
"Sep 03, 2017",0.004460,0.004674,0.002218,0.002263,14,-
"Sep 02, 2017",0.003263,0.004749,0.003040,0.004457,585,-
"Sep 01, 2017",0.002010,0.003260,0.001970,0.003259,5,-
"Aug 31, 2017",0.002977,0.003379,0.002003,0.002009,14,-
"Aug 30, 2017",0.001838,0.003002,0.001831,0.002982,18,-
"Aug 29, 2017",0.002765,0.002776,0.001836,0.001840,60,-
"Aug 28, 2017",0.002536,0.002770,0.002536,0.002760,2,-
"Aug 27, 2017",0.001911,0.001937,0.001911,0.001918,26,-
"Aug 26, 2017",0.001892,0.001916,0.001879,0.001912,26,-
"Aug 25, 2017",0.001899,0.001923,0.001247,0.001259,0,-
"Aug 24, 2017",0.003397,0.003456,0.001831,0.001902,48,-
"Aug 23, 2017",0.003391,0.003572,0.003347,0.003396,8,-
"Aug 22, 2017",0.002080,0.003398,0.001884,0.003398,4,-
"Aug 21, 2017",0.002434,0.002453,0.002071,0.002076,36,-
