Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",11.81,12.58,10.47,10.80,3,"407,049"
"Sep 30, 2017",13.45,13.63,10.30,11.81,254,"463,353"
"Sep 29, 2017",15.96,15.97,6.76,13.44,39,"550,115"
"Sep 28, 2017",14.63,15.97,14.50,15.96,10,"503,424"
"Sep 27, 2017",14.35,16.61,13.77,14.64,188,"493,679"
"Sep 26, 2017",14.86,15.29,13.55,14.39,18,"510,818"
"Sep 25, 2017",11.90,15.45,11.89,14.86,424,"408,941"
"Sep 24, 2017",12.22,12.22,7.41,11.91,"1,122","419,925"
"Sep 23, 2017",9.02,13.08,8.98,12.22,57,"309,751"
"Sep 22, 2017",13.09,14.33,9.04,9.04,207,"449,559"
"Sep 21, 2017",13.98,14.94,11.18,13.11,443,"479,732"
"Sep 20, 2017",14.84,16.15,12.30,14.05,818,"509,155"
"Sep 19, 2017",13.23,16.13,12.22,14.86,868,"453,603"
"Sep 18, 2017",10.24,15.35,10.24,13.20,334,"351,068"
"Sep 17, 2017",12.83,13.74,9.93,10.26,109,"439,530"
"Sep 16, 2017",11.11,12.84,8.89,12.84,"1,878","380,681"
"Sep 15, 2017",7.77,11.32,6.40,11.14,"1,235","265,962"
"Sep 14, 2017",9.08,32.52,6.66,7.71,"1,439","310,955"
"Sep 13, 2017",59.62,108.02,9.08,9.08,"2,723","2,040,810"
"Sep 12, 2017",63.61,109.47,18.48,59.86,209,"2,176,370"
"Sep 11, 2017",14.68,78.68,7.92,63.65,730,"501,973"
"Sep 10, 2017",28.15,28.15,14.65,14.70,91,"962,217"
"Sep 09, 2017",21.07,28.27,17.73,28.22,241,"719,927"
"Sep 08, 2017",12.06,29.30,11.95,21.01,"1,312","411,597"
"Sep 07, 2017",9.53,13.84,9.32,12.05,25,"325,124"
"Sep 06, 2017",12.98,13.33,8.39,9.54,320,"442,904"
"Sep 05, 2017",16.61,21.52,7.35,12.97,456,"566,587"
"Sep 04, 2017",16.71,17.12,6.98,16.53,232,"569,519"
"Sep 03, 2017",18.59,19.64,16.19,16.71,21,"633,396"
"Sep 02, 2017",13.82,18.59,12.68,18.58,27,"470,778"
"Sep 01, 2017",11.82,23.95,8.78,13.81,"1,193","402,482"
"Aug 31, 2017",8.95,11.90,8.86,11.83,75,"304,663"
"Aug 30, 2017",10.96,11.09,8.62,8.87,0,"372,815"
"Aug 29, 2017",8.48,14.85,8.39,10.98,254,"288,318"
"Aug 28, 2017",7.82,11.14,7.76,8.47,107,"265,840"
"Aug 27, 2017",11.85,14.56,7.69,7.83,214,"402,470"
"Aug 26, 2017",10.31,16.22,10.11,11.85,86,"350,225"
"Aug 25, 2017",10.25,13.08,10.15,10.31,324,"347,246"
"Aug 24, 2017",8.81,21.18,8.74,10.27,182,"298,246"
"Aug 23, 2017",8.90,17.71,8.68,8.81,215,"301,112"
"Aug 22, 2017",8.93,9.32,8.11,8.92,61,"302,000"
"Aug 21, 2017",8.89,9.91,8.70,8.91,95,"300,605"
"Aug 20, 2017",8.50,11.43,8.10,8.92,535,"287,171"
"Aug 19, 2017",8.64,12.89,8.23,8.54,212,"291,826"
"Aug 18, 2017",9.40,9.48,6.18,8.61,669,"317,567"
"Aug 17, 2017",13.25,13.29,9.43,9.43,"2,711","447,489"
"Aug 16, 2017",11.80,14.02,9.24,13.26,"1,110","398,555"
"Aug 15, 2017",11.27,13.69,8.90,11.79,"1,707","380,324"
"Aug 14, 2017",13.38,14.01,10.25,11.24,"1,310","451,404"
"Aug 13, 2017",16.72,19.69,10.63,13.37,"1,374","563,980"
"Aug 12, 2017",17.58,18.85,14.92,16.74,577,"592,789"
"Aug 11, 2017",17.32,25.28,15.29,17.59,742,"583,919"
"Aug 10, 2017",14.18,24.20,14.18,17.33,"1,598","477,733"
