Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.070398,0.074446,0.065205,0.068576,"7,550","2,717,460"
"Sep 30, 2017",0.074821,0.086077,0.064639,0.070360,"18,013","2,888,180"
"Sep 29, 2017",0.071161,0.075784,0.060634,0.074812,"4,589","2,746,900"
"Sep 28, 2017",0.063617,0.075342,0.063098,0.071216,"1,365","2,455,700"
"Sep 27, 2017",0.064578,0.081453,0.061320,0.063615,"5,967","2,492,810"
"Sep 26, 2017",0.086504,0.086918,0.043444,0.064759,"1,380","3,339,170"
"Sep 25, 2017",0.060173,0.087358,0.050155,0.086513,"3,060","2,322,740"
"Sep 24, 2017",0.087502,0.088498,0.060017,0.060234,750,"3,377,680"
"Sep 23, 2017",0.036904,0.089022,0.036586,0.087974,731,"1,424,550"
"Sep 22, 2017",0.036330,0.071449,0.032723,0.037009,"4,569","1,402,400"
"Sep 21, 2017",0.036079,0.113896,0.019304,0.036372,837,"1,392,680"
"Sep 20, 2017",0.027342,0.044520,0.026867,0.036257,1,"1,055,440"
"Sep 19, 2017",0.021349,0.039004,0.020622,0.027379,267,"824,085"
"Sep 18, 2017",0.016111,0.032779,0.013923,0.021297,"1,467","621,894"
"Sep 17, 2017",0.024909,0.024909,0.015435,0.016143,15,"961,496"
"Sep 16, 2017",0.014242,0.025118,0.013722,0.024925,116,"549,760"
"Sep 15, 2017",0.021812,0.023321,0.011011,0.014279,4,"841,986"
"Sep 14, 2017",0.014041,0.025432,0.012425,0.021644,108,"541,983"
"Sep 13, 2017",0.015198,0.015253,0.013833,0.014371,16,"586,656"
"Sep 12, 2017",0.018540,0.029287,0.014925,0.015256,263,"715,664"
"Sep 11, 2017",0.016576,0.018638,0.016132,0.018522,4,"639,845"
"Sep 10, 2017",0.016233,0.016233,0.014832,0.015327,13,"626,628"
"Sep 09, 2017",0.018398,0.019395,0.015738,0.016275,53,"710,164"
"Sep 08, 2017",0.017608,0.019134,0.015929,0.018362,17,"679,708"
"Sep 07, 2017",0.011632,0.032479,0.011605,0.017605,630,"448,992"
"Sep 06, 2017",0.015603,0.016838,0.011591,0.011654,5,"602,281"
"Sep 05, 2017",0.013823,0.026309,0.013023,0.015585,88,"533,568"
"Sep 04, 2017",0.013164,0.015676,0.012332,0.013751,90,"508,151"
"Sep 03, 2017",0.013510,0.017129,0.012863,0.013160,619,"521,521"
"Sep 02, 2017",0.014919,0.015094,0.013164,0.013502,5,"575,907"
"Sep 01, 2017",0.015522,0.015850,0.014615,0.014901,5,"599,179"
"Aug 31, 2017",0.017402,0.017595,0.015444,0.015509,5,"671,737"
"Aug 30, 2017",0.019709,0.019891,0.017360,0.017432,5,"760,770"
"Aug 29, 2017",0.017555,0.030923,0.016528,0.019735,120,"677,658"
"Aug 28, 2017",0.024757,0.024757,0.017193,0.017526,9,"955,634"
"Aug 27, 2017",0.020724,0.024927,0.008646,0.024782,70,"799,983"
"Aug 26, 2017",0.022318,0.029790,0.016362,0.020729,219,"861,516"
"Aug 25, 2017",0.023808,0.025698,0.021968,0.022312,201,"919,021"
"Aug 24, 2017",0.020922,0.050337,0.005137,0.023846,"3,568","807,612"
"Aug 23, 2017",0.020285,0.045633,0.018111,0.020913,"1,930","783,027"
"Aug 22, 2017",0.023085,0.023085,0.017709,0.020327,37,"891,123"
"Aug 21, 2017",0.025639,0.028217,0.022989,0.023032,12,"989,713"
"Aug 20, 2017",0.026198,0.030830,0.024808,0.025737,24,"1,011,290"
"Aug 19, 2017",0.021463,0.029663,0.019625,0.026321,50,"828,484"
"Aug 18, 2017",0.022564,0.028129,0.011718,0.021481,88,"870,994"
"Aug 17, 2017",0.007461,0.035576,0.007210,0.022633,167,"288,005"
