Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.012209,0.012264,0.011028,0.011254,27,"73,204"
"Sep 30, 2017",0.012558,0.013574,0.010790,0.012202,31,"75,252"
"Sep 29, 2017",0.013042,0.015408,0.012208,0.012556,19,"78,123"
"Sep 28, 2017",0.014221,0.015035,0.012553,0.013052,33,"85,132"
"Sep 27, 2017",0.013493,0.014288,0.013414,0.014221,77,"80,739"
"Sep 26, 2017",0.018015,0.018059,0.013515,0.013531,61,"107,724"
"Sep 25, 2017",0.011017,0.018081,0.011013,0.018017,256,"65,839"
"Sep 24, 2017",0.011403,0.012193,0.010953,0.011028,40,"68,111"
"Sep 23, 2017",0.011038,0.012171,0.010932,0.011404,27,"65,909"
"Sep 22, 2017",0.010863,0.015933,0.010607,0.011069,66,"64,799"
"Sep 21, 2017",0.011910,0.011997,0.010762,0.010875,61,"71,012"
"Sep 20, 2017",0.011780,0.012218,0.011575,0.011969,75,"70,200"
"Sep 19, 2017",0.012350,0.012416,0.011688,0.011796,32,"73,537"
"Sep 18, 2017",0.011344,0.016143,0.011344,0.012320,74,"67,499"
"Sep 17, 2017",0.012443,0.012697,0.010991,0.011367,19,"74,001"
"Sep 16, 2017",0.013279,0.014049,0.012313,0.012452,70,"78,928"
"Sep 15, 2017",0.014925,0.015792,0.011106,0.013314,33,"88,655"
"Sep 14, 2017",0.015508,0.016670,0.012450,0.014810,35,"92,069"
"Sep 13, 2017",0.016651,0.018761,0.015118,0.015509,78,"98,799"
"Sep 12, 2017",0.018751,0.019569,0.016468,0.016715,90,"111,225"
"Sep 11, 2017",0.018276,0.020504,0.017099,0.018733,183,"108,356"
"Sep 10, 2017",0.020530,0.021520,0.017169,0.018307,257,"121,670"
"Sep 09, 2017",0.017532,0.021466,0.017155,0.020583,800,"103,835"
"Sep 08, 2017",0.019230,0.022246,0.016579,0.017498,133,"113,816"
"Sep 07, 2017",0.018878,0.022448,0.017676,0.019226,181,"111,634"
"Sep 06, 2017",0.018785,0.023213,0.017010,0.018914,299,"111,046"
"Sep 05, 2017",0.017224,0.021444,0.015325,0.018764,195,"101,770"
"Sep 04, 2017",0.021293,0.023567,0.016653,0.017136,487,"125,747"
"Sep 03, 2017",0.020704,0.024054,0.016379,0.021286,259,"122,199"
"Sep 02, 2017",0.025998,0.027388,0.019642,0.020691,377,"153,376"
"Sep 01, 2017",0.024970,0.028169,0.022914,0.025867,238,"147,240"
"Aug 31, 2017",0.023218,0.025003,0.022812,0.024966,140,"136,820"
"Aug 30, 2017",0.022649,0.027725,0.022283,0.023259,265,"133,414"
"Aug 29, 2017",0.026728,0.026746,0.020419,0.022679,212,"157,345"
"Aug 28, 2017",0.027580,0.027580,0.021725,0.026683,59,"162,273"
"Aug 27, 2017",0.021417,0.027706,0.020722,0.027609,"2,160","125,964"
"Aug 26, 2017",0.021794,0.027874,0.018317,0.021421,"1,120","128,119"
"Aug 25, 2017",0.025540,0.029144,0.017379,0.021788,618,"150,063"
"Aug 24, 2017",0.030119,0.030638,0.024446,0.025580,170,"176,925"
"Aug 23, 2017",0.031013,0.031044,0.024006,0.030106,"1,814","182,113"
"Aug 22, 2017",0.030407,0.031189,0.025390,0.031077,113,"178,520"
"Aug 21, 2017",0.022597,0.030674,0.020876,0.030337,"1,234","132,552"
"Aug 20, 2017",0.025659,0.025659,0.021091,0.022683,435,"150,460"
"Aug 19, 2017",0.023624,0.032723,0.021486,0.025780,"1,793","138,483"
"Aug 18, 2017",0.020843,0.029668,0.018879,0.023644,56,"122,152"
"Aug 17, 2017",0.017555,0.034631,0.017444,0.020907,444,"102,870"
"Aug 16, 2017",0.012461,0.024752,0.012461,0.017572,189,"72,983"
"Aug 15, 2017",0.013154,0.032608,0.010129,0.012448,953,"77,016"
"Aug 14, 2017",0.022625,0.029309,0.012755,0.013033,95,"132,426"
"Aug 13, 2017",0.031522,0.033695,0.017710,0.022611,375,"184,433"
"Aug 12, 2017",0.034131,0.036660,0.024664,0.031551,470,"199,614"
"Aug 11, 2017",0.022478,0.035619,0.020454,0.034157,"1,356","131,432"
"Aug 10, 2017",0.017049,0.028223,0.017049,0.022479,229,"99,498"
"Aug 09, 2017",0.022871,0.026594,0.016846,0.017048,186,"133,475"
"Aug 08, 2017",0.024997,0.025650,0.021320,0.022887,14,"145,880"
"Aug 07, 2017",0.029368,0.031993,0.022124,0.024972,72,"171,387"
"Aug 06, 2017",0.032421,0.032895,0.020210,0.029434,381,"189,204"
"Aug 05, 2017",0.024007,0.033186,0.023989,0.032413,"1,158","140,043"
"Aug 04, 2017",0.017168,0.028697,0.016361,0.024018,285,"100,134"
"Aug 03, 2017",0.020956,0.021061,0.011139,0.017172,129,"122,184"
"Aug 02, 2017",0.027293,0.027446,0.019160,0.020918,144,"159,080"
"Aug 01, 2017",0.023957,0.029731,0.018220,0.027298,191,"139,599"
"Jul 31, 2017",0.022582,0.030907,0.015683,0.023946,691,"131,535"
"Jul 30, 2017",0.025818,0.027343,0.010010,0.022559,701,"150,324"
"Jul 29, 2017",0.026924,0.030705,0.016439,0.025822,"2,013","156,679"
"Jul 28, 2017",0.026557,0.030284,0.025266,0.027026,375,"154,485"
"Jul 27, 2017",0.022218,0.028998,0.019417,0.026477,"1,105","129,203"
"Jul 26, 2017",0.022326,0.026441,0.018119,0.022155,169,"129,748"
"Jul 25, 2017",0.024795,0.040004,0.021930,0.022315,354,"143,996"
"Jul 24, 2017",0.026955,0.039996,0.021737,0.024798,358,"156,428"
"Jul 23, 2017",0.028871,0.031940,0.026003,0.026987,341,"167,493"
"Jul 22, 2017",0.030620,0.040778,0.026481,0.031560,861,"177,604"
"Jul 21, 2017",0.025431,0.033011,0.019136,0.030626,"1,721","147,454"
"Jul 20, 2017",0.026070,0.027355,0.016877,0.025243,519,"151,090"
"Jul 19, 2017",0.027172,0.027892,0.015761,0.026149,475,"157,384"
"Jul 18, 2017",0.021895,0.028222,0.015766,0.027244,267,"126,772"
"Jul 17, 2017",0.016826,0.024456,0.016826,0.021839,153,"97,388"
"Jul 16, 2017",0.014035,0.021100,0.012463,0.016844,662,"81,203"
"Jul 15, 2017",0.016551,0.016597,0.012335,0.014077,217,"95,717"
"Jul 14, 2017",0.012243,0.019800,0.010751,0.016579,775,"70,766"
"Jul 13, 2017",0.012862,0.015368,0.009847,0.012252,681,"74,315"
"Jul 12, 2017",0.016651,0.019147,0.009837,0.012852,501,"96,170"
"Jul 11, 2017",0.023310,0.023571,0.014323,0.016734,472,"134,576"
"Jul 10, 2017",0.015507,0.024582,0.015442,0.023359,"1,410","89,496"
"Jul 09, 2017",0.010249,0.025246,0.010221,0.015477,"2,392","59,111"
