Date,Open,High,Low,Close,Volume,Market Cap
"Jan 05, 2016",0.000342,0.000343,0.000238,0.000333,10,"4,447"
"Jan 04, 2016",0.000272,0.000343,0.000271,0.000342,0,"3,529"
"Jan 03, 2016",0.000282,0.000339,0.000271,0.000271,8,"3,661"
"Jan 02, 2016",0.000304,0.000305,0.000281,0.000282,4,"3,951"
"Jan 01, 2016",0.000307,0.000308,0.000303,0.000304,1,"3,989"
"Dec 31, 2015",0.000299,0.000299,0.000297,0.000298,3,"3,881"
"Dec 30, 2015",0.000325,0.000326,0.000295,0.000298,3,"4,220"
"Dec 29, 2015",0.000393,0.000395,0.000315,0.000324,3,"5,104"
"Dec 28, 2015",0.000258,0.000399,0.000258,0.000393,4,"3,352"
"Dec 27, 2015",0.000250,0.000373,0.000245,0.000258,15,"3,254"
"Dec 26, 2015",0.000351,0.000352,0.000243,0.000251,1,"4,560"
"Dec 25, 2015",0.000255,0.000351,0.000253,0.000351,1,"3,309"
"Dec 24, 2015",0.000226,0.000362,0.000226,0.000355,17,"2,932"
"Dec 23, 2015",0.000262,0.000378,0.000225,0.000225,1,"3,407"
"Dec 22, 2015",0.000272,0.000406,0.000223,0.000263,2,"3,534"
"Dec 21, 2015",0.000429,0.000430,0.000265,0.000272,7,"5,581"
"Dec 20, 2015",0.000375,0.000504,0.000356,0.000429,19,"4,870"
"Dec 19, 2015",0.000510,0.000512,0.000508,0.000510,0,"6,628"
"Dec 18, 2015",0.000283,0.000510,0.000280,0.000510,8,"3,675"
"Dec 17, 2015",0.000280,0.000284,0.000278,0.000283,17,"3,641"
"Dec 16, 2015",0.000610,0.000610,0.000581,0.000601,0,"7,922"
"Dec 15, 2015",0.000329,0.000609,0.000328,0.000608,0,"4,272"
"Dec 14, 2015",0.000555,0.000594,0.000326,0.000329,2,"7,216"
"Dec 13, 2015",0.000271,0.000586,0.000265,0.000556,15,"3,521"
"Dec 12, 2015",0.000362,0.000483,0.000261,0.000271,1,"4,699"
"Dec 11, 2015",0.000249,0.000361,0.000249,0.000361,3,"3,240"
"Dec 10, 2015",0.000292,0.000294,0.000247,0.000249,9,"3,799"
"Dec 09, 2015",0.000526,0.000556,0.000289,0.000292,16,"6,839"
"Dec 08, 2015",0.000455,0.000523,0.000240,0.000523,16,"5,912"
"Dec 07, 2015",0.000354,0.000457,0.000351,0.000455,0,"4,598"
"Dec 06, 2015",0.000261,0.000484,0.000261,0.000356,4,"3,387"
"Dec 05, 2015",0.000247,0.000452,0.000247,0.000261,21,"3,209"
"Dec 04, 2015",0.000280,0.000289,0.000276,0.000288,3,"3,636"
"Dec 03, 2015",0.000287,0.000367,0.000279,0.000280,4,"3,734"
"Dec 02, 2015",0.000279,0.000290,0.000269,0.000287,3,"3,627"
"Dec 01, 2015",0.000409,0.000415,0.000275,0.000279,6,"5,318"
"Nov 30, 2015",0.000431,0.000444,0.000430,0.000435,0,"5,597"
"Nov 29, 2015",0.000421,0.000431,0.000421,0.000431,0,"5,469"
"Nov 28, 2015",0.000419,0.000421,0.000412,0.000417,0,"5,444"
"Nov 27, 2015",0.000310,0.000425,0.000306,0.000419,0,"4,034"
"Nov 26, 2015",0.000384,0.000428,0.000304,0.000313,1,"4,991"
"Nov 25, 2015",0.000267,0.000385,0.000266,0.000384,4,"3,470"
"Nov 24, 2015",0.000370,0.000370,0.000265,0.000267,1,"4,806"
"Nov 23, 2015",0.000376,0.000377,0.000262,0.000370,29,"4,893"
"Nov 22, 2015",0.000269,0.000376,0.000268,0.000376,3,"3,500"
"Nov 21, 2015",0.000333,0.000377,0.000268,0.000269,14,"4,332"
"Nov 20, 2015",0.000359,0.000386,0.000333,0.000333,8,"4,662"
"Nov 19, 2015",0.000264,0.000359,0.000260,0.000359,40,"3,436"
"Nov 18, 2015",0.000551,0.000552,0.000262,0.000264,9,"7,156"
"Nov 17, 2015",0.000255,0.000565,0.000254,0.000551,149,"3,316"
"Nov 16, 2015",0.000285,0.000286,0.000243,0.000255,3,"3,704"
"Nov 15, 2015",0.000296,0.000304,0.000233,0.000285,5,"3,850"
"Nov 14, 2015",0.000310,0.000429,0.000232,0.000296,43,"4,026"
"Nov 13, 2015",0.000264,0.000375,0.000262,0.000309,1,"3,434"
"Nov 12, 2015",0.000246,0.000340,0.000244,0.000265,24,"3,194"
"Nov 11, 2015",0.000338,0.000341,0.000239,0.000246,11,"4,389"
"Nov 10, 2015",0.000454,0.000455,0.000331,0.000337,60,"5,901"
"Nov 09, 2015",0.000672,0.000728,0.000451,0.000455,45,"8,734"
"Nov 08, 2015",0.000657,0.000690,0.000644,0.000670,1,"8,539"
"Nov 07, 2015",0.000660,0.000663,0.000648,0.000658,0,"8,582"
"Nov 06, 2015",0.000657,0.000673,0.000602,0.000630,0,"8,536"
"Nov 05, 2015",0.000777,0.000816,0.000647,0.000659,7,"10,101"
"Nov 04, 2015",0.000904,0.001074,0.000734,0.000774,4,"11,743"
