Date,Open,High,Low,Close,Volume,Market Cap
"Jan 06, 2017",0.001237,0.001248,0.001237,0.001247,2,"17,310"
"Jan 05, 2017",0.001369,0.001375,0.001219,0.001236,2,"19,161"
"Jan 04, 2017",0.001293,0.001472,0.001014,0.001369,176,"18,100"
"Jan 03, 2017",0.001296,0.001296,0.001293,0.001293,1,"18,141"
"Dec 30, 2016",0.001320,0.001374,0.001267,0.001267,0,"18,473"
"Dec 29, 2016",0.000976,0.001389,0.000955,0.001389,4,"13,662"
"Dec 28, 2016",0.000963,0.000976,0.000963,0.000976,0,"13,485"
"Dec 27, 2016",0.000968,0.000981,0.000954,0.000954,275,"13,544"
"Dec 26, 2016",0.000968,0.000982,0.000953,0.000967,275,"13,544"
"Dec 23, 2016",0.000971,0.001018,0.000971,0.001018,1,"13,592"
"Dec 22, 2016",0.001124,0.001152,0.000970,0.000971,7,"15,728"
"Dec 21, 2016",0.000945,0.001152,0.000943,0.001124,2,"13,229"
"Dec 20, 2016",0.000937,0.000946,0.000936,0.000945,0,"13,112"
"Dec 17, 2016",0.000926,0.000935,0.000926,0.000932,0,"12,965"
"Dec 16, 2016",0.000922,0.000926,0.000922,0.000926,0,"12,904"
"Dec 13, 2016",0.001147,0.001159,0.001144,0.001148,0,"16,053"
"Dec 12, 2016",0.001137,0.001149,0.001137,0.001147,0,"15,919"
"Dec 11, 2016",0.001061,0.001137,0.001053,0.001137,1,"14,857"
"Dec 10, 2016",0.000896,0.001085,0.000896,0.001061,1,"12,549"
"Dec 09, 2016",0.001061,0.001061,0.000895,0.000896,0,"14,848"
"Dec 08, 2016",0.000921,0.001061,0.000921,0.001061,293,"12,897"
"Dec 07, 2016",0.001127,0.001128,0.000919,0.000957,26,"15,772"
"Dec 06, 2016",0.000956,0.001129,0.000949,0.001127,1,"13,379"
"Dec 05, 2016",0.000969,0.001120,0.000950,0.000956,1,"13,559"
"Dec 04, 2016",0.000895,0.000896,0.000894,0.000895,5,"12,529"
"Dec 03, 2016",0.001124,0.001130,0.000886,0.000895,5,"15,741"
"Dec 02, 2016",0.000895,0.001129,0.000895,0.001124,30,"12,534"
"Dec 01, 2016",0.000960,0.001030,0.000960,0.001030,0,"13,437"
"Nov 30, 2016",0.001022,0.001039,0.000932,0.000960,1,"14,313"
"Nov 29, 2016",0.000927,0.001024,0.000920,0.001023,6,"12,978"
"Nov 28, 2016",0.001033,0.001035,0.000926,0.000927,15,"14,455"
"Nov 27, 2016",0.001026,0.001041,0.001026,0.001033,60,"14,364"
"Nov 26, 2016",0.000961,0.000983,0.000952,0.000983,1,"13,455"
"Nov 25, 2016",0.000925,0.001012,0.000924,0.000961,5,"12,954"
"Nov 24, 2016",0.000933,0.000933,0.000917,0.000926,10,"13,059"
"Nov 23, 2016",0.001044,0.001046,0.001028,0.001038,0,"14,620"
"Nov 22, 2016",0.001033,0.001048,0.001033,0.001044,0,"14,456"
"Nov 21, 2016",0.000880,0.000973,0.000879,0.000933,5,"12,312"
"Nov 20, 2016",0.001052,0.001053,0.000876,0.000966,6,"14,730"
"Nov 19, 2016",0.001047,0.001054,0.001045,0.001052,0,"14,650"
"Nov 18, 2016",0.001034,0.001050,0.001012,0.001047,177,"14,476"
"Nov 17, 2016",0.000994,0.001038,0.000966,0.001034,55,"13,918"
"Nov 16, 2016",0.001005,0.001005,0.000979,0.000989,3,"14,071"
"Nov 15, 2016",0.000818,0.001007,0.000817,0.001005,52,"11,455"
"Nov 14, 2016",0.000913,0.000918,0.000818,0.000818,2,"12,776"
"Nov 13, 2016",0.000900,0.000915,0.000894,0.000913,0,"12,599"
"Nov 08, 2016",0.001019,0.001019,0.001019,0.001019,10,"14,261"
"Nov 07, 2016",0.000982,0.001021,0.000970,0.001019,10,"13,745"
"Nov 06, 2016",0.000829,0.000984,0.000829,0.000982,0,"11,604"
"Nov 05, 2016",0.000879,0.000879,0.000829,0.000829,6,"12,305"
"Nov 04, 2016",0.001006,0.001006,0.000863,0.000879,0,"14,076"
"Nov 03, 2016",0.001014,0.001018,0.001005,0.001005,0,"14,197"
"Nov 02, 2016",0.001007,0.001024,0.001002,0.001013,61,"14,095"
"Nov 01, 2016",0.001021,0.001065,0.000834,0.001007,90,"14,298"
"Oct 31, 2016",0.001011,0.001030,0.000996,0.001022,0,"14,148"
"Oct 30, 2016",0.001027,0.001051,0.001007,0.001011,1,"14,374"
"Oct 29, 2016",0.001040,0.001040,0.001024,0.001027,8,"14,561"
"Oct 28, 2016",0.001307,0.001312,0.001300,0.001309,0,"18,299"
"Oct 27, 2016",0.001357,0.001446,0.001297,0.001307,0,"18,991"
"Oct 26, 2016",0.001358,0.001426,0.001350,0.001357,13,"19,005"
"Oct 19, 2016",0.000936,0.000941,0.000928,0.000932,6,"13,105"
"Oct 18, 2016",0.000942,0.000942,0.000935,0.000940,7,"13,187"
"Oct 15, 2016",0.000966,0.000966,0.000966,0.000966,0,"13,525"
"Oct 14, 2016",0.000966,0.000966,0.000966,0.000966,0,"13,529"
"Oct 13, 2016",0.000968,0.000968,0.000968,0.000968,5,"13,545"
"Oct 12, 2016",0.000968,0.000968,0.000967,0.000967,5,"13,552"
"Oct 11, 2016",0.001009,0.001028,0.000987,0.001027,3,"14,131"
"Oct 10, 2016",0.001055,0.001059,0.001009,0.001009,3,"14,772"
"Oct 09, 2016",0.001071,0.001071,0.001054,0.001055,1,"14,997"
"Oct 08, 2016",0.000941,0.001072,0.000928,0.001072,17,"13,177"
"Oct 07, 2016",0.000977,0.000983,0.000976,0.000982,1,"13,683"
"Oct 06, 2016",0.001052,0.001053,0.000976,0.000978,3,"14,727"
"Oct 01, 2016",0.001080,0.001080,0.001079,0.001079,1,"15,113"
"Sep 30, 2016",0.000840,0.001079,0.000840,0.001079,1,"11,758"
"Sep 29, 2016",0.000869,0.000869,0.000835,0.000840,1,"12,160"
"Sep 28, 2016",0.000887,0.000887,0.000839,0.000868,41,"12,413"
"Sep 27, 2016",0.000890,0.000909,0.000887,0.000887,29,"12,461"
"Sep 26, 2016",0.000949,0.000964,0.000949,0.000964,1,"13,289"
"Sep 25, 2016",0.001049,0.001049,0.000948,0.000949,0,"14,691"
"Sep 24, 2016",0.000915,0.001049,0.000915,0.001049,0,"12,802"
"Sep 23, 2016",0.000915,0.000915,0.000915,0.000915,6,"12,809"
"Sep 22, 2016",0.000903,0.000916,0.000900,0.000915,18,"12,640"
"Sep 21, 2016",0.000899,0.000903,0.000899,0.000903,9,"12,585"
"Sep 20, 2016",0.000975,0.000975,0.000899,0.000899,7,"13,645"
"Sep 19, 2016",0.000899,0.000975,0.000897,0.000975,2,"12,588"
"Sep 18, 2016",0.001168,0.001169,0.000899,0.000899,54,"16,350"
"Sep 17, 2016",0.001169,0.001169,0.001167,0.001168,0,"16,358"
"Sep 15, 2016",0.000917,0.000944,0.000902,0.000944,1,"12,838"
"Sep 14, 2016",0.001198,0.001205,0.000899,0.000917,10,"16,771"
"Sep 13, 2016",0.000838,0.001198,0.000838,0.001198,27,"11,732"
"Sep 12, 2016",0.000837,0.000838,0.000837,0.000838,75,"11,724"
"Sep 11, 2016",0.000825,0.000825,0.000824,0.000825,8,"11,544"
"Sep 10, 2016",0.000824,0.000826,0.000824,0.000825,8,"11,539"
"Sep 09, 2016",0.001232,0.001253,0.001232,0.001252,0,"17,245"
"Sep 08, 2016",0.001166,0.001235,0.001166,0.001232,13,"16,323"
"Sep 07, 2016",0.001195,0.001219,0.001159,0.001166,11,"16,733"
"Sep 06, 2016",0.001159,0.001196,0.001155,0.001195,404,"16,231"
"Sep 05, 2016",0.001163,0.001163,0.001151,0.001159,184,"16,274"
"Sep 03, 2016",0.001117,0.001155,0.001105,0.001154,13,"15,630"
"Sep 02, 2016",0.001214,0.001214,0.001104,0.001117,35,"16,998"
"Sep 01, 2016",0.001175,0.001224,0.001142,0.001214,6,"16,453"
"Aug 31, 2016",0.001348,0.001453,0.001140,0.001175,170,"18,873"
"Aug 30, 2016",0.001189,0.001349,0.001189,0.001348,10,"16,638"
"Aug 29, 2016",0.001206,0.001214,0.001182,0.001189,53,"16,878"
"Aug 28, 2016",0.001200,0.001469,0.001200,0.001206,3,"16,794"
"Aug 27, 2016",0.001200,0.001200,0.001200,0.001200,9,"16,798"
"Aug 26, 2016",0.001202,0.001202,0.001200,0.001200,59,"16,823"
"Aug 25, 2016",0.001425,0.001578,0.001202,0.001202,24,"19,943"
"Aug 24, 2016",0.001219,0.001425,0.001183,0.001425,228,"17,069"
"Aug 23, 2016",0.001220,0.001248,0.001219,0.001219,30,"17,076"
"Aug 22, 2016",0.001721,0.001722,0.001211,0.001220,83,"24,087"
"Aug 21, 2016",0.001724,0.001724,0.001717,0.001721,11,"24,128"
"Aug 20, 2016",0.001160,0.001161,0.001141,0.001158,105,"16,241"
"Aug 19, 2016",0.001208,0.001209,0.001142,0.001160,129,"16,907"
"Aug 17, 2016",0.001192,0.001196,0.001191,0.001192,0,"16,680"
"Aug 16, 2016",0.001296,0.001296,0.001180,0.001192,0,"18,138"
"Aug 15, 2016",0.001355,0.001355,0.001295,0.001296,148,"18,971"
"Aug 13, 2016",0.001625,0.001628,0.001624,0.001628,4,"22,748"
"Aug 12, 2016",0.001624,0.001625,0.001403,0.001625,23,"22,734"
"Aug 11, 2016",0.001717,0.001732,0.001624,0.001624,7,"24,030"
"Aug 10, 2016",0.001323,0.001733,0.001323,0.001717,17,"18,517"
"Aug 09, 2016",0.001727,0.001727,0.001306,0.001323,88,"24,172"
"Aug 08, 2016",0.001306,0.001727,0.001302,0.001727,14,"18,288"
"Aug 07, 2016",0.001299,0.001310,0.001292,0.001307,26,"18,189"
"Aug 06, 2016",0.001323,0.001666,0.001287,0.001299,26,"18,521"
"Aug 05, 2016",0.001304,0.001340,0.001303,0.001322,106,"18,260"
"Aug 04, 2016",0.001292,0.001306,0.001292,0.001304,0,"18,081"
"Aug 03, 2016",0.001328,0.001328,0.001324,0.001328,59,"18,585"
"Aug 02, 2016",0.001866,0.001866,0.001326,0.001327,59,"26,128"
"Aug 01, 2016",0.001844,0.001870,0.001416,0.001416,71,"25,813"
"Jul 31, 2016",0.001670,0.001968,0.001670,0.001869,3,"23,382"
"Jul 30, 2016",0.001430,0.001866,0.001415,0.001670,0,"20,023"
"Jul 29, 2016",0.001537,0.001538,0.001412,0.001431,61,"21,510"
"Jul 28, 2016",0.001389,0.001538,0.001389,0.001537,0,"19,446"
"Jul 27, 2016",0.001382,0.001582,0.001375,0.001389,65,"19,343"
"Jul 26, 2016",0.001323,0.001406,0.001323,0.001383,1,"18,522"
"Jul 25, 2016",0.001505,0.001586,0.001323,0.001323,168,"21,071"
"Jul 24, 2016",0.001652,0.001838,0.001480,0.001499,30,"23,126"
"Jul 23, 2016",0.002031,0.002045,0.001646,0.001652,2,"28,433"
"Jul 22, 2016",0.001692,0.002058,0.001692,0.002031,1,"23,692"
"Jul 21, 2016",0.001706,0.001706,0.001677,0.001693,101,"23,883"
"Jul 20, 2016",0.001704,0.001708,0.001690,0.001706,11,"23,853"
"Jul 19, 2016",0.001716,0.001974,0.001702,0.001704,13,"24,025"
"Jul 18, 2016",0.001763,0.001763,0.001711,0.001717,74,"24,676"
"Jul 17, 2016",0.001756,0.001764,0.001721,0.001761,24,"24,579"
"Jul 16, 2016",0.002162,0.002902,0.001744,0.001757,70,"30,272"
"Jul 15, 2016",0.001751,0.002178,0.001720,0.002176,64,"24,505"
"Jul 14, 2016",0.001750,0.001750,0.001750,0.001750,53,"24,494"
"Jul 13, 2016",0.002151,0.002151,0.002151,0.002151,0,"30,116"
"Jul 12, 2016",0.001793,0.002154,0.001793,0.002152,0,"25,097"
"Jul 11, 2016",0.001802,0.002144,0.001793,0.001793,13,"25,221"
"Jul 10, 2016",0.001929,0.001930,0.001802,0.001802,144,"27,010"
"Jul 09, 2016",0.002153,0.002153,0.001899,0.001930,20,"30,141"
"Jul 08, 2016",0.001890,0.002142,0.001889,0.002142,18,"26,452"
"Jul 07, 2016",0.001872,0.001904,0.001814,0.001895,40,"26,210"
"Jul 06, 2016",0.001872,0.001878,0.001859,0.001872,34,"26,212"
"Jul 05, 2016",0.001877,0.001877,0.001872,0.001872,37,"26,273"
"Jul 04, 2016",0.001878,0.001879,0.001877,0.001877,19,"26,285"
"Jul 03, 2016",0.001881,0.001896,0.001876,0.001877,58,"26,333"
