Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.000020,0.000020,0.000019,0.000020,63,"295,847"
"Sep 30, 2017",0.000023,0.000025,0.000019,0.000020,510,"345,580"
"Sep 29, 2017",0.000023,0.000024,0.000022,0.000023,0,"341,722"
"Sep 28, 2017",0.000024,0.000027,0.000023,0.000023,1,"354,403"
"Sep 27, 2017",0.000023,0.000024,0.000023,0.000024,3,"332,739"
"Sep 26, 2017",0.000029,0.000029,0.000023,0.000023,38,"422,918"
"Sep 25, 2017",0.000025,0.000029,0.000018,0.000029,4,"365,531"
"Sep 24, 2017",0.000027,0.000028,0.000025,0.000025,15,"396,432"
"Sep 23, 2017",0.000019,0.000028,0.000015,0.000027,33,"282,260"
"Sep 22, 2017",0.000034,0.000035,0.000019,0.000019,0,"496,802"
"Sep 21, 2017",0.000037,0.000037,0.000034,0.000034,4,"542,446"
"Sep 20, 2017",0.000029,0.000030,0.000029,0.000030,0,"425,654"
"Sep 19, 2017",0.000024,0.000032,0.000022,0.000029,0,"356,800"
"Sep 18, 2017",0.000025,0.000027,0.000022,0.000024,351,"371,332"
"Sep 17, 2017",0.000024,0.000027,0.000018,0.000025,0,"357,744"
"Sep 16, 2017",0.000025,0.000027,0.000021,0.000024,506,"363,308"
"Sep 15, 2017",0.000023,0.000026,0.000017,0.000025,8,"341,606"
"Sep 14, 2017",0.000034,0.000034,0.000019,0.000023,163,"495,561"
"Sep 13, 2017",0.000038,0.000040,0.000029,0.000033,155,"550,051"
"Sep 12, 2017",0.000037,0.000040,0.000037,0.000037,1,"545,128"
"Sep 11, 2017",0.000038,0.000038,0.000036,0.000037,28,"550,871"
"Sep 10, 2017",0.000040,0.000041,0.000035,0.000038,34,"581,909"
"Sep 09, 2017",0.000042,0.000042,0.000039,0.000040,126,"618,454"
"Sep 08, 2017",0.000046,0.000047,0.000041,0.000042,39,"666,068"
"Sep 07, 2017",0.000046,0.000046,0.000042,0.000046,103,"674,724"
"Sep 06, 2017",0.000030,0.000047,0.000029,0.000046,24,"437,169"
"Sep 05, 2017",0.000067,0.000071,0.000029,0.000030,43,"981,288"
"Sep 04, 2017",0.000045,0.000070,0.000038,0.000067,529,"657,812"
"Sep 03, 2017",0.000092,0.000093,0.000042,0.000045,69,"1,343,300"
"Sep 02, 2017",0.000048,0.000092,0.000040,0.000092,28,"696,212"
"Sep 01, 2017",0.000045,0.000051,0.000044,0.000048,686,"651,347"
"Aug 31, 2017",0.000041,0.000045,0.000040,0.000045,"1,859","596,557"
"Aug 30, 2017",0.000039,0.000041,0.000038,0.000041,71,"561,845"
"Aug 29, 2017",0.000043,0.000044,0.000036,0.000039,110,"630,576"
"Aug 28, 2017",0.000039,0.000044,0.000039,0.000043,185,"572,274"
"Aug 27, 2017",0.000039,0.000041,0.000038,0.000040,962,"559,325"
"Aug 26, 2017",0.000030,0.000072,0.000027,0.000039,"1,761","429,969"
"Aug 25, 2017",0.000032,0.000034,0.000028,0.000029,0,"467,923"
"Aug 24, 2017",0.000029,0.000033,0.000024,0.000032,19,"416,209"
"Aug 23, 2017",0.000026,0.000029,0.000025,0.000028,248,"384,099"
"Aug 22, 2017",0.000026,0.000027,0.000021,0.000026,88,"381,395"
"Aug 21, 2017",0.000030,0.000031,0.000022,0.000026,33,"437,229"
"Aug 20, 2017",0.000038,0.000039,0.000030,0.000030,101,"545,713"
"Aug 19, 2017",0.000026,0.000038,0.000018,0.000038,120,"376,868"
"Aug 18, 2017",0.000025,0.000026,0.000024,0.000026,151,"362,243"
"Aug 17, 2017",0.000029,0.000030,0.000016,0.000025,33,"425,176"
"Aug 16, 2017",0.000040,0.000041,0.000024,0.000029,7,"582,107"
"Aug 15, 2017",0.000026,0.000041,0.000026,0.000040,45,"377,239"
"Aug 14, 2017",0.000028,0.000029,0.000019,0.000026,165,"407,751"
"Aug 13, 2017",0.000027,0.000032,0.000021,0.000028,102,"387,816"
"Aug 12, 2017",0.000019,0.000044,0.000015,0.000027,216,"270,734"
"Aug 11, 2017",0.000024,0.000028,0.000019,0.000019,14,"349,713"
"Aug 10, 2017",0.000031,0.000031,0.000022,0.000024,17,"450,642"
"Aug 09, 2017",0.000031,0.000033,0.000031,0.000032,143,"442,905"
"Aug 08, 2017",0.000021,0.000031,0.000021,0.000031,26,"297,391"
"Aug 07, 2017",0.000021,0.000025,0.000011,0.000021,36,"295,975"
"Aug 06, 2017",0.000021,0.000021,0.000020,0.000021,8,"305,202"
"Aug 05, 2017",0.000020,0.000022,0.000020,0.000021,89,"289,797"
"Aug 04, 2017",0.000028,0.000029,0.000011,0.000020,93,"405,388"
"Aug 03, 2017",0.000027,0.000028,0.000027,0.000028,1,"385,075"
"Aug 02, 2017",0.000021,0.000027,0.000018,0.000027,16,"295,094"
"Aug 01, 2017",0.000028,0.000029,0.000022,0.000022,38,"403,156"
"Jul 31, 2017",0.000026,0.000029,0.000017,0.000028,85,"371,899"
"Jul 30, 2017",0.000027,0.000027,0.000018,0.000026,3,"389,029"
"Jul 29, 2017",0.000025,0.000029,0.000024,0.000027,56,"359,153"
"Jul 28, 2017",0.000034,0.000035,0.000018,0.000025,28,"490,986"
"Jul 27, 2017",0.000033,0.000048,0.000021,0.000034,180,"472,051"
"Jul 26, 2017",0.000016,0.000032,0.000015,0.000032,8,"224,064"
"Jul 25, 2017",0.000027,0.000034,0.000015,0.000016,518,"392,828"
"Jul 24, 2017",0.000052,0.000053,0.000019,0.000027,862,"744,171"
"Jul 23, 2017",0.000035,0.000055,0.000027,0.000052,75,"497,457"
"Jul 22, 2017",0.000051,0.000051,0.000029,0.000035,157,"732,158"
"Jul 21, 2017",0.000029,0.000055,0.000025,0.000051,227,"415,736"
"Jul 20, 2017",0.000023,0.000053,0.000023,0.000029,"1,015","327,589"
"Jul 19, 2017",0.000030,0.000030,0.000012,0.000014,52,"423,354"
"Jul 18, 2017",0.000021,0.000030,0.000021,0.000029,405,"300,534"
"Jul 17, 2017",0.000008,0.000023,0.000008,0.000021,6,"121,378"
"Jul 16, 2017",0.000022,0.000023,0.000008,0.000008,2,"315,996"
"Jul 15, 2017",0.000014,0.000023,0.000010,0.000022,147,"198,807"
"Jul 14, 2017",0.000023,0.000031,0.000013,0.000014,155,"334,137"
"Jul 13, 2017",0.000024,0.000027,0.000023,0.000023,20,"348,418"
"Jul 12, 2017",0.000024,0.000025,0.000023,0.000024,270,"335,452"
"Jul 11, 2017",0.000024,0.000024,0.000023,0.000024,261,"340,626"
"Jul 10, 2017",0.000026,0.000026,0.000023,0.000024,265,"365,279"
"Jul 09, 2017",0.000050,0.000051,0.000026,0.000026,283,"715,753"
"Jul 08, 2017",0.000050,0.000050,0.000025,0.000050,180,"713,406"
"Jul 07, 2017",0.000052,0.000052,0.000026,0.000050,112,"735,900"
"Jul 06, 2017",0.000026,0.000052,0.000026,0.000052,725,"374,427"
"Jul 05, 2017",0.000074,0.000083,0.000026,0.000026,"4,268","1,047,780"
"Jul 04, 2017",0.000048,0.000077,0.000029,0.000064,316,"686,631"
"Jul 03, 2017",0.000050,0.000051,0.000038,0.000048,"1,866","711,598"
"Jul 02, 2017",0.000024,0.000050,0.000024,0.000050,235,"341,695"
"Jul 01, 2017",0.000064,0.000073,0.000046,0.000072,404,"906,166"
"Jun 30, 2017",0.000076,0.000076,0.000046,0.000064,373,"1,077,410"
"Jun 29, 2017",0.000077,0.000078,0.000025,0.000076,987,"1,095,230"
"Jun 28, 2017",0.000074,0.000082,0.000044,0.000082,"2,226","1,043,710"
"Jun 27, 2017",0.000090,0.000093,0.000049,0.000074,"2,499","1,270,680"
"Jun 26, 2017",0.000101,0.000102,0.000065,0.000090,"1,038","1,428,870"
"Jun 25, 2017",0.000080,0.000106,0.000079,0.000101,"2,069","1,135,960"
"Jun 24, 2017",0.000059,0.000106,0.000059,0.000080,"1,009","833,002"
"Jun 23, 2017",0.000069,0.000099,0.000058,0.000059,642,"978,415"
"Jun 22, 2017",0.000065,0.000075,0.000046,0.000069,554,"914,677"
"Jun 21, 2017",0.000050,0.000074,0.000047,0.000065,"1,953","700,645"
"Jun 20, 2017",0.000024,0.000050,0.000022,0.000050,682,"338,722"
"Jun 19, 2017",0.000039,0.000048,0.000022,0.000024,907,"543,756"
"Jun 18, 2017",0.000029,0.000042,0.000028,0.000036,41,"415,800"
"Jun 17, 2017",0.000045,0.000045,0.000025,0.000029,21,"633,690"
"Jun 16, 2017",0.000029,0.000050,0.000021,0.000045,62,"414,109"
"Jun 15, 2017",0.000022,0.000026,0.000018,0.000023,335,"315,941"
"Jun 14, 2017",0.000025,0.000028,0.000022,0.000022,178,"349,412"
"Jun 13, 2017",0.000026,0.000052,0.000024,0.000025,207,"369,946"
"Jun 12, 2017",0.000049,0.000065,0.000026,0.000026,242,"695,789"
"Jun 11, 2017",0.000016,0.000042,0.000016,0.000042,105,"231,065"
"Jun 10, 2017",0.000016,0.000033,0.000016,0.000016,67,"223,657"
"Jun 09, 2017",0.000015,0.000033,0.000015,0.000016,94,"208,846"
"Jun 08, 2017",0.000023,0.000043,0.000014,0.000015,"1,316","320,980"
"Jun 07, 2017",0.000024,0.000024,0.000023,0.000023,11,"332,214"
"Jun 06, 2017",0.000049,0.000049,0.000022,0.000024,248,"680,756"
"Jun 05, 2017",0.000042,0.000061,0.000023,0.000049,180,"592,588"
"Jun 04, 2017",0.000052,0.000053,0.000020,0.000042,24,"722,893"
"Jun 03, 2017",0.000063,0.000064,0.000060,0.000061,6,"885,866"
"Jun 02, 2017",0.000013,0.000068,0.000013,0.000063,14,"179,138"
"Jun 01, 2017",0.000050,0.000070,0.000009,0.000013,266,"698,302"
"May 31, 2017",0.000021,0.000050,0.000008,0.000050,"1,055","292,382"
"May 30, 2017",0.000050,0.000050,0.000021,0.000021,119,"693,929"
"May 29, 2017",0.000047,0.000051,0.000026,0.000050,421,"651,915"
"May 28, 2017",0.000028,0.000047,0.000027,0.000047,80,"396,095"
"May 27, 2017",0.000042,0.000043,0.000021,0.000028,87,"591,979"
"May 26, 2017",0.000047,0.000050,0.000020,0.000042,85,"650,731"
"May 25, 2017",0.000022,0.000069,0.000021,0.000047,54,"312,133"
"May 24, 2017",0.000017,0.000051,0.000017,0.000022,301,-
"May 23, 2017",0.000009,0.000041,0.000009,0.000017,57,-
"May 22, 2017",0.000013,0.000013,0.000009,0.000009,0,-
"May 21, 2017",0.000040,0.000042,0.000013,0.000013,67,-
"May 19, 2017",0.000006,0.000006,0.000005,0.000005,1,-
"May 18, 2017",0.000005,0.000041,0.000005,0.000006,67,-
"May 16, 2017",0.000004,0.000004,0.000004,0.000004,0,-
"May 15, 2017",0.000005,0.000005,0.000004,0.000004,0,-
"May 13, 2017",0.000005,0.000005,0.000005,0.000005,3,-
"May 12, 2017",0.000006,0.000006,0.000005,0.000005,3,-
"May 08, 2017",0.000045,0.000045,0.000044,0.000044,0,-
"May 07, 2017",0.000042,0.000047,0.000042,0.000045,0,-
"May 06, 2017",0.000038,0.000043,0.000038,0.000042,10,-
"Apr 27, 2017",0.000002,0.000002,0.000002,0.000002,21,-
"Apr 26, 2017",0.000002,0.000003,0.000002,0.000002,21,-
"Apr 23, 2017",0.000002,0.000002,0.000002,0.000002,7,-
"Apr 22, 2017",0.000002,0.000002,0.000002,0.000002,6,-
"Apr 21, 2017",0.000002,0.000002,0.000002,0.000002,0,-
"Apr 20, 2017",0.000002,0.000002,0.000002,0.000002,0,-
"Apr 19, 2017",0.000002,0.000002,0.000002,0.000002,0,-
"Apr 18, 2017",0.000002,0.000002,0.000002,0.000002,3,-
"Apr 17, 2017",0.000002,0.000002,0.000002,0.000002,8,-
"Apr 16, 2017",0.000002,0.000002,0.000002,0.000002,1,-
"Apr 15, 2017",0.000002,0.000002,0.000002,0.000002,0,-
"Apr 14, 2017",0.000002,0.000002,0.000002,0.000002,0,-
"Apr 13, 2017",0.000002,0.000002,0.000002,0.000002,0,-
"Apr 12, 2017",0.000002,0.000002,0.000002,0.000002,1,-
"Apr 11, 2017",0.000001,0.000001,0.000001,0.000001,1,-
"Apr 10, 2017",0.000001,0.000001,0.000001,0.000001,1,-
"Apr 09, 2017",0.000009,0.000009,0.000008,0.000008,4,-
"Apr 08, 2017",0.000009,0.000009,0.000008,0.000009,5,-
"Apr 07, 2017",0.000009,0.000010,0.000008,0.000009,0,-
"Apr 06, 2017",0.000010,0.000010,0.000009,0.000009,1,-
"Apr 05, 2017",0.000008,0.000010,0.000008,0.000010,1,-
"Apr 03, 2017",0.000007,0.000007,0.000007,0.000007,42,-
"Apr 02, 2017",0.000010,0.000010,0.000006,0.000007,44,-
"Apr 01, 2017",0.000010,0.000010,0.000010,0.000010,143,-
"Jan 06, 2017",0.000004,0.000004,0.000004,0.000004,0,"45,333"
"Jan 05, 2017",0.000003,0.000004,0.000003,0.000004,0,"31,465"
"Jan 04, 2017",0.000003,0.000004,0.000003,0.000003,483,"32,248"
"Jan 03, 2017",0.000003,0.000003,0.000002,0.000003,48,"28,204"
"Jan 02, 2017",0.000002,0.000003,0.000002,0.000003,22,"26,360"
"Jan 01, 2017",0.000003,0.000003,0.000002,0.000002,104,"29,074"
"Dec 31, 2016",0.000003,0.000003,0.000003,0.000003,13,"33,381"
"Dec 30, 2016",0.000002,0.000003,0.000002,0.000003,20,"26,116"
"Dec 29, 2016",0.000003,0.000003,0.000002,0.000002,1,"29,061"
"Dec 28, 2016",0.000003,0.000003,0.000003,0.000003,11,"27,016"
"Dec 27, 2016",0.000003,0.000003,0.000002,0.000003,3,"29,116"
"Dec 26, 2016",0.000003,0.000003,0.000003,0.000003,8,"30,588"
"Dec 25, 2016",0.000003,0.000003,0.000002,0.000003,6,"27,125"
"Dec 24, 2016",0.000003,0.000003,0.000003,0.000003,120,"29,389"
"Dec 23, 2016",0.000002,0.000003,0.000002,0.000003,111,"24,652"
"Dec 22, 2016",0.000002,0.000003,0.000002,0.000002,29,"24,771"
"Dec 21, 2016",0.000002,0.000002,0.000002,0.000002,153,"24,049"
"Dec 20, 2016",0.000002,0.000002,0.000002,0.000002,2,"26,325"
"Dec 19, 2016",0.000002,0.000003,0.000002,0.000002,31,"24,758"
"Dec 18, 2016",0.000002,0.000002,0.000002,0.000002,28,"24,426"
"Dec 17, 2016",0.000002,0.000002,0.000002,0.000002,1,"24,220"
"Dec 16, 2016",0.000002,0.000003,0.000002,0.000002,40,"24,460"
"Dec 15, 2016",0.000002,0.000003,0.000002,0.000002,17,"24,957"
"Dec 14, 2016",0.000002,0.000002,0.000002,0.000002,0,"21,866"
"Dec 13, 2016",0.000004,0.000005,0.000002,0.000002,2,"47,690"
"Dec 12, 2016",0.000002,0.000004,0.000002,0.000004,4,"20,763"
"Dec 11, 2016",0.000002,0.000004,0.000002,0.000002,4,"21,718"
"Dec 10, 2016",0.000002,0.000003,0.000002,0.000002,9,"24,660"
"Dec 09, 2016",0.000002,0.000004,0.000002,0.000002,4,"25,088"
"Dec 08, 2016",0.000007,0.000007,0.000002,0.000002,19,"77,487"
"Dec 07, 2016",0.000002,0.000007,0.000002,0.000007,6,"23,407"
"Dec 06, 2016",0.000002,0.000002,0.000002,0.000002,4,"17,659"
"Dec 05, 2016",0.000002,0.000002,0.000002,0.000002,5,"21,443"
"Dec 04, 2016",0.000002,0.000003,0.000002,0.000002,41,"24,918"
"Dec 03, 2016",0.000002,0.000002,0.000002,0.000002,3,"23,400"
"Dec 02, 2016",0.000002,0.000002,0.000002,0.000002,28,"21,890"
"Dec 01, 2016",0.000002,0.000003,0.000002,0.000003,7,"26,838"
"Nov 30, 2016",0.000002,0.000002,0.000002,0.000002,38,"23,413"
"Nov 29, 2016",0.000002,0.000002,0.000002,0.000002,2,"23,414"
"Nov 28, 2016",0.000002,0.000002,0.000002,0.000002,51,"26,593"
"Nov 27, 2016",0.000003,0.000003,0.000002,0.000002,70,"36,093"
"Nov 26, 2016",0.000001,0.000001,0.000001,0.000001,0,"15,179"
"Nov 25, 2016",0.000002,0.000002,0.000001,0.000001,0,"21,801"
"Nov 24, 2016",0.000003,0.000003,0.000002,0.000002,0,"29,963"
"Nov 23, 2016",0.000003,0.000003,0.000003,0.000003,10,"36,114"
"Nov 22, 2016",0.000003,0.000003,0.000003,0.000003,2,"36,958"
"Nov 21, 2016",0.000002,0.000003,0.000002,0.000003,2,"17,201"
"Nov 20, 2016",0.000003,0.000003,0.000002,0.000002,3,"30,940"
"Nov 19, 2016",0.000002,0.000003,0.000002,0.000003,8,"20,348"
"Nov 18, 2016",0.000002,0.000002,0.000002,0.000002,10,"20,275"
"Nov 17, 2016",0.000003,0.000003,0.000002,0.000002,15,"27,536"
"Nov 16, 2016",0.000002,0.000003,0.000002,0.000002,17,"20,421"
"Nov 15, 2016",0.000003,0.000003,0.000002,0.000002,19,"28,367"
"Nov 14, 2016",0.000002,0.000003,0.000002,0.000003,6,"20,361"
"Nov 13, 2016",0.000001,0.000002,0.000001,0.000002,8,"15,580"
"Nov 12, 2016",0.000002,0.000002,0.000001,0.000001,33,"18,978"
"Nov 11, 2016",0.000004,0.000004,0.000002,0.000002,8,"38,413"
"Nov 10, 2016",0.000002,0.000004,0.000002,0.000004,8,"25,958"
"Nov 09, 2016",0.000003,0.000003,0.000002,0.000002,14,"27,276"
"Nov 08, 2016",0.000001,0.000006,0.000001,0.000003,201,"13,908"
"Nov 07, 2016",0.000002,0.000002,0.000001,0.000001,12,"22,309"
"Nov 06, 2016",0.000004,0.000004,0.000002,0.000002,4,"46,935"
"Nov 05, 2016",0.000002,0.000005,0.000002,0.000004,7,"23,391"
"Nov 04, 2016",0.000002,0.000002,0.000002,0.000002,7,"22,294"
"Nov 03, 2016",0.000002,0.000002,0.000002,0.000002,5,"23,896"
"Nov 02, 2016",0.000002,0.000002,0.000002,0.000002,2,"22,277"
"Nov 01, 2016",0.000002,0.000002,0.000002,0.000002,6,"18,887"
"Oct 31, 2016",0.000002,0.000002,0.000001,0.000002,0,"22,008"
"Oct 30, 2016",0.000005,0.000005,0.000001,0.000002,9,"48,900"
"Oct 29, 2016",0.000003,0.000009,0.000002,0.000005,241,"27,013"
"Oct 28, 2016",0.000003,0.000003,0.000002,0.000003,1,"26,941"
"Oct 27, 2016",0.000003,0.000003,0.000003,0.000003,71,"30,177"
"Oct 26, 2016",0.000003,0.000003,0.000002,0.000003,18,"30,900"
"Oct 25, 2016",0.000003,0.000003,0.000003,0.000003,3,"30,131"
"Oct 24, 2016",0.000003,0.000003,0.000003,0.000003,7,"37,229"
"Oct 23, 2016",0.000002,0.000003,0.000001,0.000003,1,"23,461"
