Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.003360,0.003674,0.003306,0.003573,147,"90,008"
"Sep 30, 2017",0.003368,0.003555,0.003159,0.003358,229,"90,202"
"Sep 29, 2017",0.004199,0.004200,0.003211,0.003367,161,"112,425"
"Sep 28, 2017",0.003198,0.005889,0.002244,0.004198,"3,192","85,610"
"Sep 27, 2017",0.003137,0.003291,0.002914,0.003205,216,"83,941"
"Sep 26, 2017",0.003022,0.003262,0.002900,0.003142,196,"80,830"
"Sep 25, 2017",0.002869,0.003185,0.002869,0.003000,84,"76,731"
"Sep 24, 2017",0.002939,0.003371,0.002863,0.002872,135,"78,559"
"Sep 23, 2017",0.003096,0.003211,0.002764,0.002937,266,"82,742"
"Sep 22, 2017",0.003296,0.003357,0.002298,0.003105,"2,131","88,070"
"Sep 21, 2017",0.003537,0.003890,0.003276,0.003300,108,"94,477"
"Sep 20, 2017",0.003259,0.003961,0.003117,0.003554,455,"87,023"
"Sep 19, 2017",0.003722,0.003780,0.003104,0.003263,228,"99,353"
"Sep 18, 2017",0.003102,0.003825,0.003096,0.003713,132,"82,757"
"Sep 17, 2017",0.003297,0.003487,0.002880,0.003108,325,"87,942"
"Sep 16, 2017",0.003678,0.003823,0.003251,0.003293,75,"98,055"
"Sep 15, 2017",0.002853,0.003746,0.002552,0.003691,379,"76,052"
"Sep 14, 2017",0.003227,0.003774,0.002833,0.002833,478,"85,968"
"Sep 13, 2017",0.003940,0.004189,0.002906,0.003222,461,"104,931"
"Sep 12, 2017",0.003985,0.004029,0.003497,0.003587,394,"106,096"
"Sep 11, 2017",0.003197,0.004611,0.003150,0.003981,"1,167","85,077"
"Sep 10, 2017",0.003256,0.003487,0.003032,0.003202,582,"86,608"
"Sep 09, 2017",0.003587,0.003596,0.003084,0.003264,779,"95,384"
"Sep 08, 2017",0.005683,0.005683,0.003095,0.003580,"3,102","151,073"
"Sep 07, 2017",0.005925,0.005991,0.003463,0.005682,"5,431","157,448"
"Sep 06, 2017",0.004102,0.007673,0.003825,0.005936,"5,453","108,963"
"Sep 05, 2017",0.004089,0.004582,0.003585,0.004097,769,"108,597"
"Sep 04, 2017",0.005748,0.008330,0.003379,0.004068,"2,268","152,598"
"Sep 03, 2017",0.004548,0.007007,0.004433,0.005751,442,"120,710"
"Sep 02, 2017",0.005573,0.006000,0.004238,0.004532,"1,197","147,883"
"Sep 01, 2017",0.005974,0.005978,0.004549,0.005566,926,"158,510"
"Aug 31, 2017",0.005863,0.006243,0.004694,0.005973,"1,358","155,551"
"Aug 30, 2017",0.005637,0.007004,0.005617,0.005871,"1,174","149,512"
