Date,Open,High,Low,Close,Volume,Market Cap
"Jan 05, 2016",0.000173,0.000173,0.000100,0.000104,8,-
"Jan 04, 2016",0.000101,0.000203,0.000101,0.000172,13,-
"Jan 03, 2016",0.000118,0.000190,0.000099,0.000101,6,-
"Jan 02, 2016",0.000136,0.000166,0.000104,0.000118,39,-
"Jan 01, 2016",0.000172,0.000191,0.000100,0.000136,15,-
"Dec 31, 2015",0.000185,0.000185,0.000172,0.000172,2,-
"Dec 30, 2015",0.000178,0.000204,0.000174,0.000185,3,-
"Dec 29, 2015",0.000184,0.000187,0.000176,0.000177,16,-
"Dec 28, 2015",0.000188,0.000191,0.000182,0.000184,4,-
"Dec 27, 2015",0.000179,0.000258,0.000176,0.000188,8,-
"Dec 26, 2015",0.000198,0.000229,0.000176,0.000180,5,-
"Dec 25, 2015",0.000196,0.000256,0.000194,0.000198,9,-
"Dec 24, 2015",0.000190,0.000255,0.000190,0.000196,5,-
"Dec 23, 2015",0.000188,0.000195,0.000188,0.000190,4,-
"Dec 22, 2015",0.000184,0.000191,0.000184,0.000188,2,-
"Dec 21, 2015",0.000190,0.000248,0.000184,0.000184,3,-
"Dec 20, 2015",0.000199,0.000255,0.000187,0.000190,1,-
"Dec 19, 2015",0.000264,0.000265,0.000196,0.000199,0,-
"Dec 18, 2015",0.000196,0.000264,0.000196,0.000264,4,-
"Dec 17, 2015",0.000200,0.000256,0.000195,0.000196,6,-
"Dec 16, 2015",0.000209,0.000209,0.000199,0.000200,3,-
"Dec 15, 2015",0.000187,0.000255,0.000186,0.000209,1,-
"Dec 14, 2015",0.000182,0.000246,0.000181,0.000187,1,-
"Dec 13, 2015",0.000183,0.000210,0.000179,0.000182,0,-
"Dec 12, 2015",0.000249,0.000258,0.000182,0.000183,0,-
"Dec 11, 2015",0.000237,0.000241,0.000237,0.000239,3,-
"Dec 10, 2015",0.000244,0.000250,0.000236,0.000237,3,-
"Dec 09, 2015",0.000208,0.000244,0.000171,0.000244,11,-
"Dec 08, 2015",0.000198,0.000207,0.000195,0.000207,1,-
