Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.000130,0.000176,0.000128,0.000132,692,"1,488,970"
"Sep 30, 2017",0.000129,0.000136,0.000128,0.000130,443,"1,473,300"
"Sep 29, 2017",0.000126,0.000171,0.000121,0.000129,664,"1,435,530"
"Sep 28, 2017",0.000126,0.000170,0.000124,0.000126,985,"1,440,180"
"Sep 27, 2017",0.000521,0.000533,0.000073,0.000126,485,"5,951,590"
"Sep 26, 2017",0.000789,0.000850,0.000117,0.000523,"3,493","9,006,880"
"Sep 25, 2017",0.000073,0.000862,0.000073,0.000790,"4,115","837,803"
"Sep 24, 2017",0.000112,0.000112,0.000073,0.000074,272,"1,275,380"
"Sep 23, 2017",0.000147,0.000147,0.000036,0.000112,728,"1,674,740"
"Sep 22, 2017",0.000152,0.000152,0.000143,0.000147,"5,401","1,727,570"
"Sep 21, 2017",0.000119,0.000152,0.000111,0.000152,"145,455","1,351,920"
"Sep 20, 2017",0.000212,0.000217,0.000114,0.000120,"357,267","2,419,240"
"Sep 19, 2017",0.000233,0.000252,0.000212,0.000212,"148,946","2,650,900"
"Sep 18, 2017",0.000203,0.000256,0.000192,0.000227,"434,243","2,313,910"
"Sep 17, 2017",0.000236,0.000236,0.000177,0.000200,"202,649","2,692,710"
"Sep 16, 2017",0.000284,0.000378,0.000203,0.000239,"726,125","3,231,110"
"Sep 15, 2017",0.000181,0.000329,0.000093,0.000284,"1,190,860","2,056,070"
"Sep 14, 2017",0.000253,0.000272,0.000181,0.000181,"874,675","2,877,360"
"Sep 13, 2017",0.000482,0.000482,0.000249,0.000255,"693,523","5,486,890"
"Sep 12, 2017",0.000335,0.000581,0.000321,0.000485,"2,487,720","3,809,770"
"Sep 11, 2017",0.000403,0.000472,0.000331,0.000335,"390,901","4,581,020"
"Sep 10, 2017",0.000515,0.000516,0.000358,0.000403,"431,002","5,858,970"
"Sep 09, 2017",0.000493,0.000605,0.000485,0.000515,"515,845","5,605,050"
"Sep 08, 2017",0.000867,0.000879,0.000454,0.000537,"916,459","9,863,030"
"Sep 07, 2017",0.001032,0.001036,0.000861,0.000872,"886,916","11,736,000"
"Sep 06, 2017",0.000832,0.001051,0.000793,0.001036,"1,637,530","9,457,950"
"Sep 05, 2017",0.000709,0.000848,0.000520,0.000806,"1,120,740","8,060,240"
"Sep 04, 2017",0.001043,0.001043,0.000671,0.000709,"693,542","11,848,600"
"Sep 03, 2017",0.001098,0.001124,0.001010,0.001041,"341,725","12,472,000"
"Sep 02, 2017",0.001227,0.001327,0.001009,0.001103,"1,836,130","13,933,100"
"Sep 01, 2017",0.001077,0.001191,0.001051,0.001191,"572,848","12,233,700"
"Aug 31, 2017",0.001094,0.001201,0.001059,0.001077,"265,283","12,411,200"
"Aug 30, 2017",0.001188,0.001188,0.001029,0.001087,"294,121","13,477,700"
"Aug 29, 2017",0.001103,0.001219,0.001085,0.001187,"261,991","12,511,900"
"Aug 28, 2017",0.001126,0.001172,0.001101,0.001107,"244,310","12,768,300"
"Aug 27, 2017",0.001089,0.001150,0.001065,0.001116,"386,498","12,338,700"
"Aug 26, 2017",0.001105,0.001168,0.001062,0.001089,"376,586","12,523,500"
"Aug 25, 2017",0.001113,0.001114,0.001066,0.001106,"231,443","12,607,900"
"Aug 24, 2017",0.001099,0.001144,0.001087,0.001109,"218,276","12,438,200"
"Aug 23, 2017",0.001032,0.001208,0.001032,0.001099,"644,718","11,667,600"
"Aug 22, 2017",0.001051,0.001053,0.001002,0.001032,"348,699","11,879,500"
"Aug 21, 2017",0.001092,0.001131,0.001016,0.001065,"464,376","12,342,800"
"Aug 20, 2017",0.001073,0.001155,0.001058,0.001092,"296,551","12,120,100"
"Aug 19, 2017",0.001102,0.001107,0.000992,0.001074,"353,146","12,448,400"
"Aug 18, 2017",0.001106,0.001138,0.001074,0.001103,"311,352","12,490,800"
"Aug 17, 2017",0.001174,0.001176,0.001063,0.001106,"399,462","13,251,600"
"Aug 16, 2017",0.001215,0.001225,0.001142,0.001173,"441,929","13,710,700"
"Aug 15, 2017",0.001131,0.001211,0.001089,0.001184,"1,049,680","12,751,500"
"Aug 14, 2017",0.001260,0.001298,0.001098,0.001119,"590,474","14,207,700"
"Aug 13, 2017",0.001331,0.001331,0.001214,0.001251,"572,108","15,009,600"
"Aug 12, 2017",0.001327,0.001372,0.001313,0.001330,"578,099","14,958,000"
"Aug 11, 2017",0.001347,0.001406,0.001285,0.001337,"935,136","15,177,500"
"Aug 10, 2017",0.001396,0.001466,0.001324,0.001363,"1,014,910","15,725,600"
"Aug 09, 2017",0.001424,0.001442,0.001374,0.001393,"629,711","16,036,800"
"Aug 08, 2017",0.001503,0.001503,0.001361,0.001438,"1,354,670","16,922,100"
"Aug 07, 2017",0.001433,0.001524,0.001402,0.001503,"1,289,970","16,126,700"
"Aug 06, 2017",0.001725,0.001759,0.001414,0.001414,"1,922,690","19,409,800"
"Aug 05, 2017",0.001552,0.001719,0.001529,0.001712,"2,169,780","17,464,500"
"Aug 04, 2017",0.001454,0.001619,0.001447,0.001550,"1,938,100","16,352,600"
"Aug 03, 2017",0.001480,0.001506,0.001393,0.001453,"1,535,370","16,638,000"
"Aug 02, 2017",0.001312,0.001565,0.001275,0.001476,"2,024,380","14,747,800"
"Aug 01, 2017",0.001242,0.001347,0.001228,0.001320,"1,018,200","13,954,600"
"Jul 31, 2017",0.001243,0.001260,0.001215,0.001241,"405,949","13,966,900"
"Jul 30, 2017",0.001284,0.001305,0.001234,0.001236,"306,177","14,420,600"
"Jul 29, 2017",0.001323,0.001323,0.001226,0.001291,"381,101","14,848,600"
"Jul 28, 2017",0.001378,0.001388,0.001301,0.001322,"700,538","15,466,600"
"Jul 27, 2017",0.001352,0.001423,0.001313,0.001385,"1,041,480","15,173,400"
"Jul 26, 2017",0.001292,0.001405,0.001151,0.001345,"1,392,860","14,494,400"
"Jul 25, 2017",0.001581,0.001594,0.001206,0.001282,"1,435,410","17,724,000"
"Jul 24, 2017",0.001540,0.001593,0.001470,0.001567,"1,500,350","14,393,100"
"Jul 23, 2017",0.001853,0.001921,0.001402,0.001547,"4,266,150","17,318,700"
"Jul 22, 2017",0.001780,0.001875,0.001736,0.001867,"2,668,850","16,633,100"
"Jul 21, 2017",0.001781,0.001877,0.001537,0.001781,"4,710,400","16,647,900"
"Jul 20, 2017",0.001251,0.001872,0.001251,0.001764,"5,806,260","11,693,900"
"Jul 19, 2017",0.001288,0.001478,0.001113,0.001258,"3,999,860","12,035,200"
"Jul 18, 2017",0.001056,0.001356,0.001000,0.001263,"3,343,310","9,874,100"
"Jul 17, 2017",0.000934,0.001102,0.000934,0.001054,"1,224,190","8,732,280"
"Jul 16, 2017",0.001067,0.001143,0.000934,0.000949,"1,084,010","9,974,520"
"Jul 15, 2017",0.001165,0.001316,0.001048,0.001067,"2,553,470","10,891,100"
"Jul 14, 2017",0.001359,0.001389,0.001122,0.001169,"1,314,620","12,704,400"
"Jul 13, 2017",0.001541,0.001556,0.001316,0.001350,"1,048,410","14,405,300"
"Jul 12, 2017",0.001361,0.001560,0.001217,0.001560,"1,626,500","12,719,300"
"Jul 11, 2017",0.001469,0.001495,0.001292,0.001377,"959,544","13,727,400"
"Jul 10, 2017",0.001621,0.001740,0.001396,0.001466,"838,979","15,155,300"
"Jul 09, 2017",0.001888,0.001926,0.001618,0.001631,"1,239,030","17,644,600"
"Jul 08, 2017",0.001611,0.001969,0.001334,0.001933,"3,376,570","15,060,000"
"Jul 07, 2017",0.002117,0.002141,0.001656,0.001661,"1,819,080","19,789,100"
"Jul 06, 2017",0.002449,0.002476,0.002057,0.002119,"1,107,500","22,888,600"
"Jul 05, 2017",0.002494,0.002589,0.002345,0.002453,"1,628,400","23,307,400"
"Jul 04, 2017",0.002482,0.002610,0.002467,0.002508,"1,499,940","23,200,900"
"Jul 03, 2017",0.002502,0.002602,0.002379,0.002489,"1,873,630","23,386,300"
"Jul 02, 2017",0.002522,0.002584,0.002245,0.002526,"2,481,520","23,576,200"
"Jul 01, 2017",0.002948,0.002960,0.002541,0.002543,"1,985,070","27,555,300"
"Jun 30, 2017",0.002881,0.003043,0.002820,0.002951,"3,184,840","26,926,400"
"Jun 29, 2017",0.003045,0.003074,0.002780,0.002886,"3,536,030","28,458,500"
"Jun 28, 2017",0.002973,0.003278,0.002652,0.003133,"6,067,300","27,789,900"
"Jun 27, 2017",0.003217,0.003319,0.002525,0.002959,"7,748,910","30,067,700"
"Jun 26, 2017",0.004161,0.004276,0.002715,0.003217,"12,871,500","38,892,500"
"Jun 25, 2017",0.003528,0.004507,0.003239,0.004142,"25,150,900","32,971,600"
"Jun 24, 2017",0.002685,0.003612,0.002638,0.003470,"16,344,100","25,097,700"
"Jun 23, 2017",0.002603,0.002858,0.002556,0.002644,"4,667,670","24,332,200"
"Jun 22, 2017",0.002634,0.002689,0.002507,0.002586,"2,906,200","24,619,100"
"Jun 21, 2017",0.002581,0.002879,0.002417,0.002637,"7,302,850","24,122,800"
"Jun 20, 2017",0.002329,0.002607,0.002304,0.002573,"5,675,900","21,764,400"
"Jun 19, 2017",0.002360,0.002404,0.002281,0.002327,"2,336,720","22,053,800"
"Jun 18, 2017",0.002444,0.002455,0.002332,0.002376,"1,588,760","22,840,500"
