Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.154241,0.159250,0.133013,0.136277,513,-
"Sep 30, 2017",0.236386,0.243873,0.146569,0.154158,16,-
"Sep 29, 2017",0.143353,0.236622,0.124972,0.236356,135,-
"Sep 28, 2017",0.204969,0.205381,0.132726,0.143431,48,-
"Sep 27, 2017",0.223241,0.227322,0.146957,0.205037,173,-
"Sep 26, 2017",0.194779,0.223854,0.133989,0.223854,223,-
"Sep 25, 2017",0.192854,0.260930,0.192831,0.194799,4,-
"Sep 24, 2017",0.182417,0.194011,0.175208,0.193012,58,-
"Sep 23, 2017",0.264701,0.337924,0.180015,0.182432,53,-
"Sep 22, 2017",0.261028,0.334912,0.257570,0.265450,33,-
"Sep 21, 2017",0.321643,0.323804,0.257530,0.261327,33,-
"Sep 20, 2017",0.346705,0.355471,0.322468,0.323230,14,-
"Sep 19, 2017",0.366692,0.440364,0.343998,0.347168,35,-
"Sep 18, 2017",0.321137,0.488611,0.321137,0.365807,65,-
"Sep 17, 2017",0.278598,0.400669,0.234887,0.321762,126,-
"Sep 16, 2017",0.178046,0.297239,0.177843,0.278746,282,-
"Sep 15, 2017",0.152497,0.217573,0.140490,0.178512,7,-
"Sep 14, 2017",0.177268,0.234224,0.147668,0.151318,21,-
"Sep 13, 2017",0.188977,0.189665,0.173372,0.177262,30,-
"Sep 12, 2017",0.311008,0.323126,0.188983,0.189698,12,-
"Sep 11, 2017",0.167330,0.313137,0.162851,0.310710,60,-
"Sep 10, 2017",0.246883,0.246883,0.161382,0.167615,30,-
"Sep 09, 2017",0.233496,0.297486,0.176657,0.247519,66,-
"Sep 08, 2017",0.347536,0.347721,0.176688,0.233045,133,-
"Sep 07, 2017",0.169719,0.342092,0.165460,0.342092,210,-
"Sep 06, 2017",0.193155,0.210008,0.167833,0.170045,54,-
"Sep 05, 2017",0.188822,0.196572,0.177895,0.192935,21,-
"Sep 04, 2017",0.166237,0.209628,0.155736,0.187848,30,-
"Sep 03, 2017",0.224929,0.313398,0.127350,0.166182,28,-
"Sep 02, 2017",0.214830,0.350235,0.166024,0.224784,111,-
"Sep 01, 2017",0.152332,0.287842,0.151144,0.214561,190,-
"Aug 31, 2017",0.130660,0.289634,0.130638,0.152304,282,-
"Aug 30, 2017",0.128921,0.219375,0.116076,0.130889,150,-
"Aug 29, 2017",0.206978,0.207114,0.111559,0.129096,42,-
"Aug 28, 2017",0.162177,0.207342,0.109324,0.206626,198,-
"Aug 27, 2017",0.114174,0.163784,0.105937,0.162347,16,-
"Aug 26, 2017",0.123515,0.189961,0.111011,0.114199,32,-
"Aug 25, 2017",0.202109,0.203641,0.103503,0.123478,96,-
"Aug 24, 2017",0.148069,0.242075,0.100463,0.202428,381,-
"Aug 23, 2017",0.252396,0.268710,0.141611,0.148005,565,-
"Aug 22, 2017",0.166439,0.355723,0.039647,0.252912,"1,368",-
"Aug 21, 2017",0.167336,0.168240,0.089529,0.166054,25,-
"Aug 20, 2017",0.086306,0.086306,0.084313,0.084557,6,-
"Aug 19, 2017",0.155385,0.158252,0.082575,0.086710,7,-
"Aug 18, 2017",0.109135,0.162128,0.088067,0.155518,16,-
"Aug 17, 2017",0.111915,0.212970,0.106965,0.109470,13,-
"Aug 16, 2017",0.106377,0.112039,0.101156,0.112019,13,-
"Aug 15, 2017",0.102706,0.107476,0.098921,0.106260,1,-
"Aug 14, 2017",0.103580,0.109636,0.101507,0.109514,7,-
"Aug 13, 2017",0.192923,0.204404,0.100978,0.103514,9,-
"Aug 12, 2017",0.196973,0.201713,0.101352,0.193102,97,-
"Aug 11, 2017",0.102278,0.210377,0.100540,0.197126,101,-
"Aug 10, 2017",0.097047,0.103091,0.096683,0.102284,165,-
"Aug 09, 2017",0.104955,0.105206,0.094692,0.097038,5,-
"Aug 08, 2017",0.105889,0.108146,0.103242,0.105026,2,-
"Aug 07, 2017",0.103367,0.107888,0.102335,0.105783,2,-
"Aug 06, 2017",0.101331,0.106115,0.080796,0.103598,27,-
"Aug 05, 2017",0.088863,0.103411,0.088798,0.101307,2,-
"Aug 04, 2017",0.086676,0.089424,0.086083,0.088903,5,-
"Aug 03, 2017",0.083823,0.087116,0.083771,0.086697,8,-
"Aug 02, 2017",0.084418,0.085228,0.082379,0.083674,27,-
"Aug 01, 2017",0.098234,0.099633,0.083598,0.084434,5,-
"Jul 31, 2017",0.096633,0.101979,0.095567,0.098187,21,-
"Jul 30, 2017",0.097297,0.097795,0.093251,0.096654,11,-
"Jul 29, 2017",0.099573,0.099846,0.095820,0.097253,23,-
"Jul 28, 2017",0.090901,0.101640,0.090901,0.099952,38,-
"Jul 27, 2017",0.092130,0.096344,0.087069,0.090626,10,-
"Jul 26, 2017",0.088380,0.094296,0.071272,0.091870,24,-
"Jul 25, 2017",0.103843,0.104555,0.077424,0.088340,21,-
"Jul 24, 2017",0.105510,0.106442,0.102056,0.103854,1,-
"Jul 23, 2017",0.093717,0.108866,0.092678,0.105633,12,-
"Jul 22, 2017",0.108345,0.119748,0.089532,0.093716,22,-
"Jul 21, 2017",0.121546,0.122232,0.085102,0.108366,32,-
"Jul 20, 2017",0.103943,0.122022,0.100414,0.120651,12,-
"Jul 19, 2017",0.106362,0.110461,0.085147,0.104256,44,-
"Jul 18, 2017",0.102674,0.110006,0.099423,0.106193,5,-
"Jul 17, 2017",0.086205,0.102579,0.086205,0.102410,11,-
"Jul 16, 2017",0.089054,0.101751,0.063714,0.086300,329,-
"Jul 15, 2017",0.110419,0.110646,0.088001,0.089323,190,-
"Jul 14, 2017",0.117051,0.117590,0.102828,0.110609,90,-
"Jul 13, 2017",0.113045,0.122331,0.112609,0.117137,15,-
"Jul 12, 2017",0.128503,0.128721,0.111749,0.112959,15,-
"Jul 11, 2017",0.144891,0.146676,0.117677,0.129145,137,-
