Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.008476,0.009294,0.007819,0.008586,"3,919","1,068,020"
"Sep 30, 2017",0.007887,0.009585,0.007211,0.008472,"3,322","993,702"
"Sep 29, 2017",0.007912,0.008805,0.007172,0.007724,"3,708","996,914"
"Sep 28, 2017",0.007776,0.009813,0.007315,0.007918,"4,098","979,755"
"Sep 27, 2017",0.006256,0.010966,0.005328,0.007776,"30,968","788,204"
"Sep 26, 2017",0.005766,0.006594,0.004313,0.006273,"23,592","726,536"
"Sep 25, 2017",0.005114,0.005803,0.005058,0.005764,881,"644,339"
"Sep 24, 2017",0.006251,0.006251,0.004881,0.005119,690,"787,659"
"Sep 23, 2017",0.004961,0.006670,0.004961,0.006252,581,"625,048"
"Sep 22, 2017",0.004730,0.005539,0.004725,0.004974,409,"595,930"
"Sep 21, 2017",0.006114,0.006144,0.004204,0.004731,"5,008","770,337"
"Sep 20, 2017",0.006464,0.007075,0.005957,0.005971,"1,906","814,483"
"Sep 19, 2017",0.006098,0.006720,0.005884,0.006473,"1,702","768,347"
"Sep 18, 2017",0.006362,0.006811,0.004947,0.006083,"2,784","801,610"
"Sep 17, 2017",0.005846,0.006948,0.005625,0.006375,"1,649","736,640"
"Sep 16, 2017",0.007252,0.008136,0.005824,0.005850,834,"913,710"
"Sep 15, 2017",0.006164,0.008053,0.005991,0.007431,"1,194","776,634"
"Sep 14, 2017",0.006098,0.007332,0.005826,0.006432,"2,535","768,295"
"Sep 13, 2017",0.007764,0.007792,0.005682,0.006097,"4,136","978,264"
"Sep 12, 2017",0.005782,0.007793,0.005782,0.007793,"1,164","728,481"
"Sep 11, 2017",0.007423,0.007760,0.005199,0.005777,"1,220","935,344"
"Sep 10, 2017",0.008438,0.008438,0.007091,0.007436,"1,739","1,063,220"
"Sep 09, 2017",0.007533,0.008389,0.007177,0.008389,518,"949,184"
"Sep 08, 2017",0.008080,0.008991,0.007533,0.007628,"1,919","1,018,110"
"Sep 07, 2017",0.009318,0.009343,0.007464,0.008110,"9,031","1,174,040"
"Sep 06, 2017",0.009325,0.010445,0.008610,0.009330,"4,130","1,174,960"
"Sep 05, 2017",0.009636,0.010063,0.008486,0.009311,"1,482","1,214,130"
