Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.047442,0.051999,0.044435,0.046480,"89,626","8,395,680"
"Sep 30, 2017",0.047665,0.049308,0.046164,0.047418,"37,249","8,430,090"
"Sep 29, 2017",0.049293,0.051211,0.046630,0.047662,"86,822","8,713,040"
"Sep 28, 2017",0.047178,0.053406,0.044603,0.049327,"172,745","8,334,220"
"Sep 27, 2017",0.041302,0.048539,0.040790,0.046372,"93,726","7,291,840"
"Sep 26, 2017",0.041103,0.043251,0.039568,0.041410,"47,209","7,252,330"
"Sep 25, 2017",0.039682,0.042107,0.038762,0.041067,"39,463","6,997,520"
"Sep 24, 2017",0.042146,0.042369,0.039196,0.039729,"40,613","7,427,470"
"Sep 23, 2017",0.038077,0.042494,0.037673,0.042121,"38,509","6,706,180"
"Sep 22, 2017",0.038775,0.040072,0.037053,0.038604,"27,156","6,825,010"
"Sep 21, 2017",0.044117,0.046032,0.038671,0.039364,"71,094","7,760,580"
"Sep 20, 2017",0.045486,0.049675,0.041643,0.044332,"148,293","7,996,570"
"Sep 19, 2017",0.057555,0.063122,0.044337,0.045546,"585,871","10,112,200"
"Sep 18, 2017",0.033722,0.064871,0.033722,0.056573,"1,655,590","5,921,290"
"Sep 17, 2017",0.030850,0.035939,0.029314,0.033623,"119,473","5,413,860"
"Sep 16, 2017",0.032528,0.035438,0.029960,0.030840,"78,723","5,704,650"
"Sep 15, 2017",0.030470,0.034878,0.023297,0.032706,"171,857","5,340,640"
"Sep 14, 2017",0.042811,0.043835,0.030263,0.030263,"82,167","7,499,030"
"Sep 13, 2017",0.047263,0.047346,0.041869,0.042871,"57,586","8,273,770"
"Sep 12, 2017",0.052444,0.056297,0.047776,0.047850,"133,020","9,175,100"
"Sep 11, 2017",0.049654,0.053591,0.048689,0.052083,"176,354","8,681,970"
"Sep 10, 2017",0.049522,0.052889,0.043329,0.050194,"82,628","8,654,780"
"Sep 09, 2017",0.041920,0.050097,0.034365,0.049617,"59,359","7,322,040"
"Sep 08, 2017",0.058685,0.058685,0.038645,0.041879,"69,745","10,243,900"
