Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.084146,0.085899,0.084029,0.085899,1,"53,597"
"Sep 29, 2017",0.081985,0.082717,0.079142,0.082076,2,"52,220"
"Sep 28, 2017",0.079353,0.082320,0.078472,0.082048,3,"50,544"
"Sep 27, 2017",0.078700,0.079674,0.078551,0.079350,87,"50,128"
"Sep 25, 2017",0.082041,0.085004,0.082011,0.084560,1,"52,256"
"Sep 24, 2017",0.071300,0.083451,0.069139,0.082124,1,"45,414"
"Sep 23, 2017",0.080622,0.082698,0.069439,0.071306,2,"51,352"
"Sep 22, 2017",0.072635,0.081458,0.072569,0.080851,2,"46,265"
"Sep 21, 2017",0.077920,0.078346,0.071961,0.072718,29,"49,631"
"Sep 18, 2017",0.110854,0.123023,0.110854,0.121514,0,"70,608"
"Sep 17, 2017",0.111195,0.113981,0.110419,0.111075,0,"70,825"
"Sep 16, 2017",0.111279,0.116427,0.106687,0.106687,1,"70,879"
"Sep 15, 2017",0.099562,0.114734,0.097907,0.111570,1,"63,416"
"Sep 13, 2017",0.124573,0.125026,0.113388,0.113677,0,"79,347"
"Sep 12, 2017",0.126409,0.131334,0.123076,0.125048,1,"80,516"
"Sep 11, 2017",0.127506,0.131280,0.124093,0.126288,4,"81,215"
"Sep 10, 2017",0.129549,0.129549,0.127320,0.127723,2,"82,516"
"Sep 08, 2017",0.143509,0.145490,0.133013,0.134960,0,"91,408"
"Sep 07, 2017",0.142948,0.145069,0.139361,0.143480,0,"91,051"
"Sep 06, 2017",0.142407,0.143584,0.141769,0.143222,5,"90,706"
"Sep 04, 2017",0.143096,0.143200,0.128652,0.136617,41,"91,145"
"Sep 03, 2017",0.141820,0.143745,0.132962,0.143048,66,"90,332"
"Sep 01, 2017",0.094763,0.097240,0.093844,0.096675,28,"60,360"
"Aug 31, 2017",0.094745,0.095268,0.094460,0.094746,28,"60,348"
"Aug 29, 2017",0.087777,0.092863,0.086989,0.091947,5,"55,909"
"Aug 28, 2017",0.100278,0.132908,0.087426,0.087628,12,"63,872"
"Aug 27, 2017",0.134624,0.136406,0.133875,0.134732,1,"85,749"
"Aug 26, 2017",0.132854,0.134948,0.132670,0.134654,1,"84,622"
"Aug 24, 2017",0.128390,0.130603,0.127358,0.129089,1,"81,778"
"Aug 23, 2017",0.127237,0.131858,0.126494,0.128335,1,"81,044"
"Aug 22, 2017",0.124029,0.124029,0.112305,0.117380,23,"79,000"
"Aug 21, 2017",0.125711,0.126407,0.123488,0.123742,24,"80,072"
"Aug 20, 2017",0.132360,0.132449,0.129304,0.132449,0,"84,307"
"Aug 19, 2017",0.115039,0.133232,0.111052,0.132981,0,"73,274"
"Aug 18, 2017",0.123901,0.136231,0.114505,0.115137,154,"78,918"
"Aug 17, 2017",0.127276,0.129992,0.121647,0.124280,1,"81,069"
"Aug 16, 2017",0.120458,0.127417,0.114546,0.127394,4,"76,726"
"Aug 15, 2017",0.123883,0.126748,0.115286,0.120326,1,"78,907"
"Aug 14, 2017",0.116335,0.123627,0.114007,0.123551,1,"74,100"
"Aug 13, 2017",0.115691,0.118085,0.110486,0.116261,9,"73,689"
"Aug 12, 2017",0.104509,0.109051,0.103421,0.107681,0,"66,567"
"Aug 11, 2017",0.097837,0.106005,0.097405,0.104591,0,"62,318"
"Aug 10, 2017",0.095710,0.098615,0.095008,0.097843,0,"60,962"
"Aug 09, 2017",0.097913,0.098147,0.092971,0.095701,3,"62,366"
"Aug 08, 2017",0.096494,0.099720,0.095697,0.097979,1,"61,462"
"Aug 07, 2017",0.091613,0.096827,0.090814,0.096397,1,"58,353"
"Aug 06, 2017",0.093004,0.093351,0.091527,0.091818,0,"59,239"
"Aug 05, 2017",0.081213,0.094508,0.081153,0.091545,1,"51,729"
"Aug 04, 2017",0.079123,0.081553,0.078582,0.081249,1,"50,397"
"Aug 03, 2017",0.076766,0.079525,0.076718,0.079143,1,"48,896"
"Aug 02, 2017",0.066868,0.076629,0.032447,0.076629,22,"42,592"
"Aug 01, 2017",0.081232,0.082558,0.066219,0.066881,1,"51,741"
"Jul 31, 2017",0.077777,0.081595,0.076702,0.081193,207,"49,540"
"Jul 30, 2017",0.062059,0.077757,0.062008,0.077698,35,"39,528"
"Jul 29, 2017",0.065168,0.065346,0.062548,0.063107,9,"41,509"
"Jul 28, 2017",0.065092,0.065682,0.063811,0.065416,9,"41,460"
"Jul 27, 2017",0.081299,0.083443,0.080986,0.082479,0,"51,783"
"Jul 26, 2017",0.079608,0.081598,0.079244,0.081069,0,"50,706"
"Jul 25, 2017",0.063437,0.063872,0.056365,0.058915,6,"40,406"
"Jul 24, 2017",0.060967,0.063541,0.060627,0.063443,7,"38,833"
"Jul 22, 2017",0.091754,0.099213,0.091315,0.095540,25,"58,443"
"Jul 21, 2017",0.056638,0.095202,0.053206,0.091773,24,"36,076"
"Jul 20, 2017",0.076655,0.090638,0.052962,0.056222,6,"48,825"
"Jul 19, 2017",0.046054,0.078563,0.045026,0.076886,1,"29,334"
"Jul 18, 2017",0.076467,0.076652,0.045439,0.045981,1,"48,706"
"Jul 17, 2017",0.057688,0.076396,0.057688,0.076270,146,"36,744"
"Jul 16, 2017",0.039703,0.057752,0.022044,0.057752,59,"25,289"
"Jul 15, 2017",0.063230,0.063345,0.039823,0.039823,4,"40,274"
"Jul 14, 2017",0.071097,0.071424,0.017587,0.063339,111,"45,285"
"Jul 13, 2017",0.113348,0.114169,0.040932,0.071149,273,"72,197"
"Jul 12, 2017",0.109523,0.114218,0.106703,0.113263,0,"69,761"
"Jul 11, 2017",0.111166,0.112525,0.071045,0.110070,"1,548","70,807"
"Jul 10, 2017",0.118998,0.119631,0.108339,0.111403,9,"75,796"
"Jul 09, 2017",0.076965,0.120461,0.076695,0.118766,24,"49,023"
"Jul 08, 2017",0.115026,0.116926,0.076457,0.076897,3,"73,266"
"Jul 07, 2017",0.119531,0.119752,0.113782,0.114929,7,"76,135"
"Jul 06, 2017",0.118795,0.119783,0.118398,0.119443,2,"75,667"
"Jul 02, 2017",0.114911,0.117127,0.113223,0.116918,1,"73,192"
"Jul 01, 2017",0.117685,0.119727,0.113941,0.114925,1,"74,960"
"Jun 30, 2017",0.120769,0.121684,0.075582,0.117730,3,"76,924"
"Jun 29, 2017",0.114864,0.116035,0.112299,0.114885,5,"73,163"
"Jun 28, 2017",0.114676,0.116492,0.111265,0.114971,5,"73,043"
"Jun 27, 2017",0.109622,0.113933,0.103156,0.113933,19,"69,824"
"Jun 26, 2017",0.095692,0.113513,0.095239,0.109622,4,"60,951"
"Jun 25, 2017",0.123141,0.123141,0.093011,0.095742,12,"78,434"
"Jun 24, 2017",0.132042,0.133502,0.121037,0.123424,60,"84,104"
"Jun 23, 2017",0.099920,0.133226,0.099920,0.132057,342,"63,644"
"Jun 22, 2017",0.112410,0.112410,0.099920,0.099920,1,"71,600"
"Jun 21, 2017",0.114733,0.114733,0.112410,0.112410,3,"73,079"
"Jun 20, 2017",0.114733,0.114733,0.087430,0.114733,16,"73,079"
"Jun 19, 2017",0.099920,0.114733,0.097422,0.114733,82,"63,644"
"Jun 18, 2017",0.087430,0.099920,0.087430,0.099920,1,"55,689"
"Jun 15, 2017",0.107707,0.109765,0.093284,0.101004,0,"68,604"
"Jun 14, 2017",0.124431,0.128018,0.102991,0.107711,0,"79,256"
"Jun 13, 2017",0.121371,0.126881,0.121232,0.124504,2,"77,307"
"Jun 12, 2017",0.128794,0.130837,0.115672,0.121778,290,"82,035"
"Jun 10, 2017",0.124218,0.128741,0.124064,0.127133,7,"79,121"
"Jun 09, 2017",0.079389,0.125816,0.079059,0.124032,47,"50,567"
"Jun 08, 2017",0.076254,0.079515,0.074221,0.079515,1,"48,570"
"Jun 07, 2017",0.075794,0.079773,0.074376,0.075872,3,"48,277"
"Jun 06, 2017",0.070846,0.077334,0.070846,0.075775,3,"45,126"
"Jun 05, 2017",0.065437,0.070632,0.065437,0.070632,3,"41,680"
"Jun 04, 2017",0.065267,0.065595,0.065259,0.065425,1,"41,572"
"Jun 03, 2017",0.061575,0.063708,0.060481,0.063588,2,"39,220"
"Jun 02, 2017",0.056056,0.061602,0.055366,0.061602,8,"35,705"
"Jun 01, 2017",0.056536,0.056536,0.054136,0.056031,0,"36,010"
"May 31, 2017",0.051161,0.052310,0.050531,0.052298,0,"32,587"
"May 30, 2017",0.102504,0.104354,0.045119,0.050962,36,"65,290"
"May 29, 2017",0.082734,0.104353,0.081148,0.102385,42,"52,697"
"May 28, 2017",0.040922,0.044530,0.040922,0.044530,163,"26,065"
"May 27, 2017",0.102815,0.105896,0.039748,0.040679,150,"65,488"
"May 26, 2017",0.105223,0.118843,0.102304,0.102475,1,"67,022"
"May 25, 2017",0.097449,0.126763,0.097445,0.106001,54,"62,070"
"May 24, 2017",0.091147,0.106959,0.091147,0.097632,112,"58,056"
"May 23, 2017",0.084577,0.091473,0.084577,0.091037,55,"53,871"
"May 22, 2017",0.077297,0.089936,0.038986,0.084701,314,"49,234"
"May 21, 2017",0.077722,0.079145,0.075709,0.077037,26,"49,505"
"May 20, 2017",0.033518,0.078285,0.033484,0.077750,0,"21,350"
"May 19, 2017",0.032188,0.033613,0.032188,0.033555,11,"20,502"
"May 18, 2017",0.072783,0.072902,0.031069,0.032170,199,"46,359"
"May 16, 2017",0.029432,0.029453,0.028695,0.029329,1,"18,747"
"May 15, 2017",0.029747,0.029747,0.028806,0.029476,1,"18,947"
"May 12, 2017",0.033053,0.033122,0.031496,0.032357,2,"21,053"
"May 11, 2017",0.029976,0.033640,0.029648,0.033020,2,"19,093"
"May 10, 2017",0.029876,0.030030,0.029259,0.029922,2,"19,030"
"May 09, 2017",0.029331,0.031206,0.029019,0.029862,1,"18,683"
"May 08, 2017",0.046305,0.047328,0.027809,0.029326,11,"29,494"
"May 07, 2017",0.045785,0.046305,0.045233,0.046305,79,"29,163"
"May 06, 2017",0.031125,0.045782,0.031125,0.045782,5,"19,825"
"May 05, 2017",0.031577,0.032377,0.030621,0.031133,21,"20,113"
"May 02, 2017",0.028816,0.029876,0.028696,0.029124,0,"18,354"
"May 01, 2017",0.028758,0.029052,0.028758,0.028834,0,"18,318"
"Apr 30, 2017",0.026528,0.026934,0.026390,0.026934,2,"16,897"
"Apr 29, 2017",0.032912,0.033180,0.026396,0.026523,3,"20,963"
"Apr 28, 2017",0.026302,0.037861,0.026254,0.032921,34,"16,753"
"Apr 24, 2017",0.036216,0.036830,0.036216,0.036830,1,"23,068"
"Apr 23, 2017",0.024634,0.036440,0.024297,0.036203,1,"15,691"
"Apr 22, 2017",0.036661,0.036941,0.024580,0.024643,0,"23,352"
"Apr 21, 2017",0.035643,0.036974,0.035494,0.036646,25,"22,703"
"Apr 20, 2017",0.027849,0.035810,0.018219,0.035641,72,"17,738"
"Apr 19, 2017",0.012117,0.027841,0.012084,0.027841,323,"7,718"
"Apr 18, 2017",0.012091,0.012176,0.012089,0.012117,0,"7,701"
"Apr 16, 2017",0.010659,0.010777,0.010659,0.010777,4,"6,789"
"Apr 15, 2017",0.008418,0.017808,0.008399,0.010658,45,"5,362"
"Apr 14, 2017",0.007993,0.011749,0.007921,0.008420,64,"5,091"
"Apr 13, 2017",0.008087,0.008087,0.007898,0.007984,1,"5,151"
"Apr 10, 2017",0.007424,0.007440,0.007369,0.007384,23,"4,729"
"Apr 09, 2017",0.007904,0.008045,0.007425,0.007425,147,"5,034"
"Apr 08, 2017",0.007885,0.007922,0.007789,0.007890,2,"5,022"
"Apr 07, 2017",0.007877,0.007950,0.007748,0.007881,2,"5,017"
"Apr 06, 2017",0.007713,0.007915,0.007680,0.007881,1,"4,913"
"Apr 05, 2017",0.007117,0.007128,0.006994,0.007061,1,"4,533"
"Apr 04, 2017",0.007160,0.007230,0.007037,0.007114,1,"4,561"
"Apr 03, 2017",0.007715,0.007970,0.007048,0.007151,4,"4,914"
"Apr 02, 2017",0.007684,0.007753,0.007684,0.007714,1,"4,894"
"Apr 01, 2017",0.007974,0.008122,0.007895,0.007992,7,"5,079"
"Mar 31, 2017",0.007195,0.007975,0.007195,0.007972,7,"4,583"
"Mar 30, 2017",0.007297,0.007751,0.007159,0.007194,4,"4,648"
"Mar 29, 2017",0.007058,0.007058,0.006847,0.007004,0,"4,495"
"Mar 28, 2017",0.007048,0.007308,0.006927,0.007060,1,"4,490"
"Mar 27, 2017",0.006371,0.007053,0.006358,0.007053,7,"4,058"
"Mar 26, 2017",0.006323,0.006508,0.006202,0.006359,8,"4,027"
"Mar 25, 2017",0.006178,0.006342,0.005937,0.006336,0,"3,935"
"Mar 24, 2017",0.006551,0.006573,0.006157,0.006163,1,"4,172"
"Mar 23, 2017",0.006274,0.006327,0.006153,0.006298,0,"3,996"
"Mar 22, 2017",0.005883,0.006332,0.005776,0.006275,0,"3,747"
"Mar 21, 2017",0.008303,0.008332,0.005680,0.005880,16,"5,288"
"Mar 20, 2017",0.008045,0.008241,0.008045,0.008215,12,"5,124"
"Mar 19, 2017",0.004397,0.008303,0.004312,0.008055,14,"2,801"
"Mar 18, 2017",0.004764,0.004824,0.004762,0.004817,0,"3,034"
"Mar 17, 2017",0.005030,0.005079,0.004761,0.004761,0,"3,204"
"Mar 16, 2017",0.005273,0.005309,0.004863,0.004957,2,"3,359"
"Mar 15, 2017",0.005096,0.005274,0.005095,0.005273,3,"3,246"
"Mar 14, 2017",0.007084,0.007220,0.005089,0.005097,22,"4,512"
"Mar 13, 2017",0.007487,0.007491,0.006828,0.007083,24,"4,769"
"Mar 12, 2017",0.007467,0.008270,0.007399,0.007487,3,"4,756"
"Mar 11, 2017",0.007370,0.007568,0.007260,0.007463,3,"4,695"
"Mar 10, 2017",0.007285,0.009276,0.007110,0.007368,4,"4,640"
"Mar 09, 2017",0.007475,0.007688,0.007085,0.007285,3,"4,761"
"Mar 08, 2017",0.008198,0.008251,0.007278,0.007487,4,"5,222"
"Mar 07, 2017",0.011239,0.011263,0.008137,0.008199,4,"7,159"
"Mar 06, 2017",0.012545,0.012561,0.007781,0.011238,20,"7,990"
"Mar 05, 2017",0.008384,0.012566,0.007699,0.012546,6,"5,340"
"Mar 04, 2017",0.008300,0.012796,0.007148,0.008388,26,"5,287"
"Mar 03, 2017",0.007006,0.019141,0.007004,0.008301,102,"4,462"
"Mar 02, 2017",0.006858,0.007567,0.006822,0.007008,5,"4,368"
"Mar 01, 2017",0.006643,0.007950,0.006618,0.006852,3,"4,231"
"Feb 28, 2017",0.007682,0.007768,0.006526,0.006642,65,"4,893"
"Feb 27, 2017",0.007585,0.007695,0.007574,0.007675,3,"4,832"
"Feb 26, 2017",0.007286,0.007600,0.007199,0.007588,6,"4,641"
"Feb 25, 2017",0.008803,0.008906,0.006804,0.007282,8,"5,607"
"Feb 24, 2017",0.008750,0.009003,0.008490,0.008804,3,"5,574"
"Feb 23, 2017",0.008437,0.008825,0.008433,0.008810,3,"5,374"
"Feb 22, 2017",0.008956,0.009948,0.008351,0.008439,6,"5,704"
"Feb 21, 2017",0.007657,0.008948,0.007635,0.008944,4,"4,877"
"Feb 20, 2017",0.007335,0.010573,0.007292,0.007661,10,"4,672"
"Feb 19, 2017",0.007381,0.007383,0.006334,0.007334,3,"4,701"
"Feb 18, 2017",0.012084,0.012624,0.005831,0.007379,3,"7,697"
"Feb 17, 2017",0.010274,0.012130,0.004261,0.012096,41,"6,544"
"Feb 16, 2017",0.010135,0.010334,0.010078,0.010276,4,"6,456"
"Feb 15, 2017",0.010357,0.010390,0.010104,0.010135,3,"6,597"
"Feb 14, 2017",0.010223,0.010429,0.010171,0.010357,3,"6,512"
"Feb 13, 2017",0.010881,0.010886,0.010217,0.010227,23,"6,931"
"Feb 12, 2017",0.012154,0.012154,0.010498,0.010880,6,"7,741"
"Feb 11, 2017",0.011963,0.012219,0.011892,0.012150,3,"7,620"
"Feb 10, 2017",0.010511,0.017372,0.010164,0.011977,12,"6,695"
"Feb 09, 2017",0.014298,0.014647,0.010077,0.010495,2,"9,107"
"Feb 08, 2017",0.011144,0.014358,0.010894,0.014297,1,"7,098"
"Feb 07, 2017",0.010734,0.013456,0.010734,0.011143,6,"6,837"
"Feb 06, 2017",0.010602,0.017686,0.010602,0.010730,2,"6,753"
"Feb 05, 2017",0.014601,0.018468,0.010521,0.010613,8,"9,300"
"Feb 04, 2017",0.010618,0.014643,0.010466,0.014596,2,"6,763"
"Feb 03, 2017",0.012556,0.014474,0.010572,0.010606,3,"7,998"
"Feb 02, 2017",0.010128,0.012573,0.010068,0.012555,8,"6,451"
"Feb 01, 2017",0.010878,0.011009,0.009931,0.010129,5,"6,929"
"Jan 31, 2017",0.009416,0.010448,0.009416,0.010016,4,"5,997"
"Jan 30, 2017",0.011155,0.011347,0.009352,0.009419,17,"7,105"
"Jan 29, 2017",0.010842,0.011317,0.010070,0.011156,29,"6,906"
"Jan 28, 2017",0.012354,0.012388,0.010541,0.010842,66,"7,869"
"Jan 27, 2017",0.012282,0.013531,0.011541,0.012354,18,"7,823"
"Jan 26, 2017",0.011538,0.012286,0.009650,0.012282,25,"7,349"
"Jan 25, 2017",0.011151,0.012368,0.009998,0.011524,37,"7,102"
"Jan 24, 2017",0.012419,0.012419,0.010631,0.011145,17,"7,911"
"Jan 23, 2017",0.011979,0.013594,0.011253,0.012427,30,"7,630"
"Jan 22, 2017",0.011983,0.012785,0.010118,0.011965,75,"7,633"
"Jan 21, 2017",0.011782,0.012709,0.011317,0.011984,33,"7,504"
"Jan 20, 2017",0.013368,0.013850,0.011777,0.011781,27,"8,515"
"Jan 19, 2017",0.012744,0.013646,0.012724,0.013426,112,"8,117"
"Jan 18, 2017",0.018095,0.018387,0.004930,0.012692,553,"11,526"
"Jan 17, 2017",0.016556,0.019828,0.014953,0.018083,29,"10,545"
"Jan 16, 2017",0.017489,0.017540,0.015558,0.015887,17,"11,140"
"Jan 15, 2017",0.016769,0.017495,0.014927,0.017490,16,"10,681"
"Jan 14, 2017",0.016867,0.017444,0.016132,0.016776,18,"10,743"
"Jan 13, 2017",0.016773,0.017359,0.015919,0.016844,12,"10,683"
"Jan 12, 2017",0.016014,0.016879,0.015303,0.016783,27,"10,200"
"Jan 11, 2017",0.016789,0.028358,0.015739,0.016037,179,"10,693"
"Jan 10, 2017",0.015357,0.017959,0.015047,0.016787,31,"9,782"
"Jan 09, 2017",0.015737,0.016736,0.015196,0.015365,16,"10,023"
"Jan 08, 2017",0.015589,0.016059,0.015246,0.015715,30,"9,929"
"Jan 07, 2017",0.016234,0.017065,0.014023,0.015589,20,"10,340"
"Jan 06, 2017",0.017599,0.018184,0.014913,0.016211,24,"11,210"
"Jan 05, 2017",0.019838,0.020153,0.015204,0.017521,55,"12,636"
"Jan 04, 2017",0.023166,0.023242,0.019086,0.019749,20,"14,756"
"Jan 03, 2017",0.021334,0.023171,0.020555,0.023171,80,"13,589"
"Jan 02, 2017",0.021148,0.021535,0.020961,0.021335,14,"13,470"
"Jan 01, 2017",0.021244,0.021674,0.020651,0.021136,11,"13,532"
"Dec 31, 2016",0.021311,0.021323,0.021000,0.021241,13,"13,574"
"Dec 30, 2016",0.021567,0.021926,0.020705,0.021308,12,"13,737"
"Dec 29, 2016",0.021665,0.021743,0.021156,0.021569,57,"13,800"
"Dec 28, 2016",0.021277,0.021774,0.021097,0.021662,51,"13,552"
"Dec 27, 2016",0.020694,0.021433,0.020617,0.021264,8,"13,181"
"Dec 26, 2016",0.020466,0.020850,0.020449,0.020681,9,"13,036"
"Dec 25, 2016",0.020952,0.020971,0.019673,0.020475,9,"13,345"
