Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.004997,0.005055,0.004904,0.005055,9,"144,656"
"Sep 30, 2017",0.003963,0.005012,0.003960,0.004994,16,"114,702"
"Sep 29, 2017",0.003984,0.004873,0.003846,0.003963,45,"115,263"
"Sep 28, 2017",0.004797,0.004857,0.003947,0.003987,16,"138,741"
"Sep 27, 2017",0.004433,0.004816,0.003964,0.004796,23,"128,161"
"Sep 26, 2017",0.003815,0.004469,0.003715,0.004445,10,"110,275"
"Sep 25, 2017",0.003672,0.003851,0.003651,0.003816,13,"106,108"
"Sep 24, 2017",0.004546,0.004546,0.003653,0.003676,0,"131,303"
"Sep 23, 2017",0.004112,0.004547,0.003728,0.004547,107,"118,760"
"Sep 22, 2017",0.004128,0.004287,0.004031,0.004124,27,"119,184"
"Sep 21, 2017",0.003685,0.004452,0.003622,0.004133,40,"106,376"
"Sep 20, 2017",0.004461,0.004533,0.003695,0.003704,199,"128,753"
"Sep 19, 2017",0.004678,0.004702,0.003883,0.004467,15,"134,933"
"Sep 18, 2017",0.003695,0.004707,0.003695,0.004666,52,"106,563"
"Sep 17, 2017",0.003714,0.004262,0.003489,0.003703,104,"107,082"
"Sep 16, 2017",0.003709,0.003881,0.003556,0.003717,67,"106,907"
"Sep 15, 2017",0.003245,0.003970,0.003163,0.003719,36,"93,465"
"Sep 14, 2017",0.003696,0.003733,0.003220,0.003220,756,"106,463"
"Sep 13, 2017",0.004152,0.004168,0.003929,0.003987,1,"119,593"
"Sep 12, 2017",0.004214,0.004378,0.004103,0.004168,1,"121,321"
"Sep 11, 2017",0.003188,0.004290,0.003138,0.004210,30,"91,751"
"Sep 10, 2017",0.003248,0.004206,0.003075,0.003193,88,"93,471"
"Sep 09, 2017",0.003333,0.003394,0.003211,0.003257,5,"95,874"
"Sep 08, 2017",0.003568,0.003617,0.003191,0.003327,0,"102,593"
"Sep 07, 2017",0.004985,0.004986,0.003465,0.003567,0,"143,317"
"Sep 06, 2017",0.004818,0.005256,0.004816,0.004995,18,"138,483"
"Sep 05, 2017",0.004694,0.004903,0.003358,0.004812,222,"134,859"
"Sep 04, 2017",0.003926,0.004988,0.003865,0.004669,46,"112,768"
"Sep 03, 2017",0.005072,0.005200,0.003923,0.003925,0,"145,621"
"Sep 02, 2017",0.003988,0.005136,0.003643,0.005069,273,"114,453"
"Sep 01, 2017",0.006823,0.006878,0.003912,0.003983,194,"195,719"
"Aug 31, 2017",0.003938,0.006859,0.003938,0.006822,1,"112,927"
"Aug 30, 2017",0.007121,0.007209,0.003913,0.003945,0,"204,112"
"Aug 29, 2017",0.003555,0.007336,0.003534,0.007130,2,"101,874"
"Aug 28, 2017",0.004778,0.006785,0.003513,0.003549,9,"136,879"
"Aug 27, 2017",0.005647,0.006924,0.004758,0.004783,15,"161,785"
"Aug 26, 2017",0.006944,0.006960,0.005551,0.005649,0,"198,927"
"Aug 25, 2017",0.006926,0.007096,0.006836,0.006942,30,"198,384"
"Aug 24, 2017",0.005966,0.006988,0.003206,0.006937,193,"170,844"
"Aug 23, 2017",0.003269,0.006127,0.003258,0.005963,6,"93,579"
"Aug 22, 2017",0.005841,0.005841,0.003015,0.003276,0,"167,167"
"Aug 21, 2017",0.006045,0.006091,0.005816,0.005828,1,"172,920"
"Aug 20, 2017",0.006177,0.006188,0.006034,0.006068,5,"176,641"
"Aug 19, 2017",0.005957,0.006217,0.003371,0.006205,150,"170,348"
"Aug 18, 2017",0.007276,0.007337,0.005764,0.005962,3,"208,005"
"Aug 17, 2017",0.007461,0.007620,0.007131,0.007298,8,"213,277"
"Aug 16, 2017",0.007061,0.007469,0.004486,0.007468,8,"201,793"
"Aug 15, 2017",0.007356,0.007526,0.004289,0.007054,940,"210,104"
"Aug 14, 2017",0.006499,0.007336,0.006369,0.007336,87,"185,561"
"Aug 13, 2017",0.006188,0.006703,0.006175,0.006495,179,"176,612"
"Aug 12, 2017",0.005841,0.006335,0.005780,0.006194,70,"166,630"
"Aug 11, 2017",0.005466,0.005924,0.005442,0.005845,29,"155,904"
"Aug 10, 2017",0.004647,0.005509,0.003746,0.005466,633,"132,514"
"Aug 09, 2017",0.004786,0.004798,0.004546,0.004646,37,"136,427"
"Aug 08, 2017",0.004070,0.004789,0.003417,0.004789,471,"115,992"
"Aug 07, 2017",0.003413,0.004082,0.003236,0.004066,"1,807","97,265"
"Aug 06, 2017",0.003906,0.003951,0.003372,0.003421,"2,980","111,306"
"Aug 05, 2017",0.003311,0.003986,0.003309,0.003905,59,"94,357"
"Aug 04, 2017",0.003344,0.003356,0.002109,0.003313,43,"95,283"
"Aug 03, 2017",0.003245,0.027787,0.003243,0.003345,"30,533","92,394"
