Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.128159,0.131288,0.122546,0.126309,"40,156","5,194,030"
"Sep 30, 2017",0.127118,0.130766,0.123757,0.128089,"43,167","5,151,540"
"Sep 29, 2017",0.135731,0.136146,0.125413,0.127381,"43,222","5,500,340"
"Sep 28, 2017",0.135398,0.161577,0.127114,0.135795,"307,156","5,486,600"
"Sep 27, 2017",0.126083,0.137692,0.122716,0.135475,"50,788","5,108,910"
"Sep 26, 2017",0.126014,0.132538,0.124392,0.126325,"49,978","5,105,890"
"Sep 25, 2017",0.116348,0.132366,0.112160,0.126026,"128,113","4,714,030"
"Sep 24, 2017",0.116441,0.122759,0.110968,0.116123,"40,340","4,717,520"
"Sep 23, 2017",0.111910,0.117525,0.109071,0.116523,"36,103","4,533,760"
"Sep 22, 2017",0.115742,0.123118,0.105286,0.112227,"78,462","4,688,780"
"Sep 21, 2017",0.115803,0.149158,0.109165,0.115234,"320,158","4,691,040"
"Sep 20, 2017",0.129878,0.145522,0.114532,0.116374,"272,026","5,260,940"
"Sep 19, 2017",0.114903,0.142933,0.105002,0.129078,"470,189","4,654,120"
"Sep 18, 2017",0.102738,0.116315,0.102738,0.114625,"36,157","4,161,180"
"Sep 17, 2017",0.103554,0.109877,0.095756,0.105400,"79,569","4,194,000"
"Sep 16, 2017",0.109884,0.117508,0.103162,0.103622,"70,948","4,450,120"
"Sep 15, 2017",0.105834,0.126823,0.093143,0.110609,"246,939","4,285,780"
"Sep 14, 2017",0.114144,0.122274,0.096573,0.117386,"122,503","4,622,090"
"Sep 13, 2017",0.112747,0.147524,0.106340,0.114225,"300,952","4,565,200"
"Sep 12, 2017",0.106739,0.120774,0.104720,0.111146,"61,262","4,321,680"
"Sep 11, 2017",0.118150,0.119247,0.104447,0.107980,"66,076","4,783,460"
"Sep 10, 2017",0.126696,0.132454,0.112133,0.116820,"139,341","5,129,210"
"Sep 09, 2017",0.164426,0.184757,0.116011,0.128403,"1,388,980","6,656,260"
"Sep 08, 2017",0.108959,0.159958,0.103987,0.150778,"912,837","4,410,570"
"Sep 07, 2017",0.106492,0.111820,0.102735,0.108938,"38,971","4,310,390"
"Sep 06, 2017",0.106028,0.121759,0.105141,0.106697,"36,617","4,291,400"
"Sep 05, 2017",0.102074,0.107163,0.090525,0.105865,"29,804","4,131,200"
"Sep 04, 2017",0.123398,0.123487,0.097520,0.101716,"54,432","4,993,900"
"Sep 03, 2017",0.118425,0.146100,0.118425,0.122081,"161,500","4,792,430"
"Sep 02, 2017",0.126527,0.142173,0.115543,0.122336,"89,561","5,120,050"
"Sep 01, 2017",0.123513,0.128167,0.122566,0.128167,"20,853","4,997,780"
"Aug 31, 2017",0.121222,0.127764,0.121201,0.125012,"17,411","4,904,820"
"Aug 30, 2017",0.121962,0.125144,0.117063,0.121434,"28,478","4,934,470"
"Aug 29, 2017",0.116950,0.125383,0.115075,0.122345,"33,691","4,731,400"
"Aug 28, 2017",0.115994,0.118777,0.112169,0.116746,"18,622","4,692,490"
"Aug 27, 2017",0.116577,0.119570,0.115118,0.116117,"25,285","4,715,840"
"Aug 26, 2017",0.116063,0.119788,0.113768,0.116603,"17,166","4,694,780"
"Aug 25, 2017",0.120781,0.132888,0.113560,0.116028,"66,865","4,885,360"
"Aug 24, 2017",0.109558,0.123122,0.109096,0.120972,"51,157","4,431,130"
"Aug 23, 2017",0.109928,0.121234,0.107234,0.112618,"51,444","4,445,850"
"Aug 22, 2017",0.115227,0.117957,0.096698,0.110153,"39,771","4,659,960"
"Aug 21, 2017",0.111320,0.142144,0.102285,0.114961,"205,061","4,501,680"
"Aug 20, 2017",0.104590,0.113945,0.092695,0.111863,"42,949","4,229,330"
"Aug 19, 2017",0.106139,0.116647,0.096175,0.104957,"42,727","4,291,780"
"Aug 18, 2017",0.117000,0.117901,0.104056,0.106231,"17,604","4,730,720"
"Aug 17, 2017",0.125646,0.125646,0.109587,0.117350,"23,591","5,080,040"
"Aug 16, 2017",0.127805,0.135348,0.106404,0.125877,"66,011","5,167,110"
"Aug 15, 2017",0.115667,0.129585,0.101595,0.127665,"46,842","4,676,130"
"Aug 14, 2017",0.110456,0.123914,0.107595,0.115357,"24,635","4,465,220"
"Aug 13, 2017",0.118945,0.128705,0.110173,0.110386,"28,930","4,808,130"
"Aug 12, 2017",0.117761,0.129604,0.112109,0.119056,"49,932","4,760,020"
"Aug 11, 2017",0.128731,0.136663,0.110033,0.117851,"101,309","5,203,120"
"Aug 10, 2017",0.166930,0.211406,0.127198,0.129690,"845,337","6,746,600"
"Aug 09, 2017",0.095680,0.222456,0.090051,0.165139,"1,645,810","3,866,680"
"Aug 08, 2017",0.092003,0.100836,0.087992,0.096838,"15,712","3,717,920"
"Aug 07, 2017",0.092278,0.134128,0.084280,0.091910,"159,863","3,728,830"
"Aug 06, 2017",0.095929,0.105681,0.089344,0.092514,"22,541","3,876,200"
"Aug 05, 2017",0.095487,0.100592,0.091324,0.095937,"9,539","3,858,110"
"Aug 04, 2017",0.100418,0.100456,0.092713,0.095530,"14,682","4,057,040"
"Aug 03, 2017",0.089554,0.100723,0.088144,0.100696,"11,254","3,617,920"
"Aug 02, 2017",0.090133,0.091133,0.080950,0.089395,"9,752","3,641,070"
"Aug 01, 2017",0.089333,0.091853,0.078775,0.089217,"6,235","3,608,510"
"Jul 31, 2017",0.085315,0.090570,0.082999,0.089291,"5,236","3,446,050"
"Jul 30, 2017",0.085687,0.088434,0.077978,0.085227,"4,480","3,460,930"
"Jul 29, 2017",0.090081,0.093655,0.081793,0.085699,"5,792","3,638,240"
"Jul 28, 2017",0.092024,0.100306,0.088482,0.090424,"6,630","3,716,520"
"Jul 27, 2017",0.090030,0.094270,0.085896,0.091746,"4,508","3,635,770"
"Jul 26, 2017",0.089434,0.094069,0.085984,0.089775,"5,895","3,611,480"
"Jul 25, 2017",0.107316,0.108743,0.081710,0.089357,"14,940","4,333,280"
"Jul 24, 2017",0.099329,0.108849,0.097523,0.107328,"5,722","4,010,500"
"Jul 23, 2017",0.104601,0.106866,0.096229,0.099418,"23,770","4,223,130"
"Jul 22, 2017",0.099990,0.113072,0.098518,0.103479,"13,464","4,036,740"
"Jul 21, 2017",0.105379,0.124248,0.089216,0.100011,"46,263","4,253,980"
"Jul 20, 2017",0.084832,0.112353,0.084832,0.104478,"19,323","3,424,290"
"Jul 19, 2017",0.089425,0.104295,0.083615,0.085086,"50,471","3,609,410"
"Jul 18, 2017",0.071222,0.096545,0.070786,0.089283,"23,341","2,874,530"
"Jul 17, 2017",0.062187,0.080681,0.062187,0.071039,"19,693","2,509,780"
"Jul 16, 2017",0.064014,0.083007,0.056067,0.062257,"24,269","2,583,370"
"Jul 15, 2017",0.069418,0.072520,0.061162,0.064848,"12,151","2,801,290"
"Jul 14, 2017",0.069857,0.078872,0.063330,0.066953,"16,089","2,818,850"
"Jul 13, 2017",0.072085,0.075803,0.066836,0.072084,"11,614","2,908,630"
"Jul 12, 2017",0.076778,0.077573,0.066182,0.070240,"13,592","3,097,810"
"Jul 11, 2017",0.088336,0.093794,0.065429,0.077162,"37,620","3,563,960"
"Jul 10, 2017",0.101980,0.103905,0.086135,0.088525,"33,114","4,114,150"
"Jul 09, 2017",0.127376,0.127376,0.100867,0.100867,"29,826","5,138,410"
"Jul 08, 2017",0.122327,0.173447,0.094616,0.127262,"405,140","4,934,460"
"Jul 07, 2017",0.104486,0.134341,0.094350,0.123758,"100,279","4,214,600"
"Jul 06, 2017",0.102798,0.111625,0.092164,0.104409,"49,191","4,146,300"
"Jul 05, 2017",0.108824,0.109271,0.095576,0.102746,"17,255","4,389,060"
"Jul 04, 2017",0.101659,0.115762,0.101659,0.108881,"23,892","4,099,890"
"Jul 03, 2017",0.096927,0.122100,0.090633,0.102470,"81,770","3,908,790"
"Jul 02, 2017",0.096181,0.114098,0.080033,0.097285,"350,776","3,878,500"
"Jul 01, 2017",0.105346,0.105955,0.084841,0.096193,"25,183","4,247,850"
"Jun 30, 2017",0.119579,0.125655,0.103388,0.105411,"25,289","4,821,480"
"Jun 29, 2017",0.122661,0.128049,0.106586,0.117268,"17,239","4,945,540"
"Jun 28, 2017",0.104116,0.130505,0.100493,0.122775,"107,478","4,197,580"
"Jun 27, 2017",0.081083,0.099401,0.078784,0.099401,"27,771","3,268,750"
"Jun 26, 2017",0.093889,0.135277,0.066874,0.081083,"113,174","3,784,860"
"Jun 25, 2017",0.101769,0.107256,0.092296,0.093937,"14,840","4,102,270"
"Jun 24, 2017",0.121156,0.121338,0.093837,0.102003,"46,289","4,883,420"
"Jun 23, 2017",0.080095,0.148002,0.078802,0.121170,"171,849","3,228,140"
"Jun 22, 2017",0.072052,0.078493,0.069758,0.078490,"15,150","2,903,770"
"Jun 21, 2017",0.063453,0.074805,0.063453,0.069249,"16,440","2,557,070"
"Jun 20, 2017",0.064166,0.068574,0.062682,0.063452,"7,199","2,585,630"
"Jun 19, 2017",0.068567,0.071584,0.063256,0.064166,"11,437","2,762,820"
"Jun 18, 2017",0.074234,0.078320,0.063605,0.068567,"11,500","2,990,980"
"Jun 17, 2017",0.076428,0.084350,0.065217,0.074234,"13,518","3,079,220"
"Jun 16, 2017",0.082590,0.095945,0.063230,0.076428,"41,964","3,327,250"
"Jun 15, 2017",0.070672,0.085986,0.068390,0.082651,"13,063","2,847,010"
"Jun 14, 2017",0.078022,0.082381,0.067126,0.070675,"7,104","3,142,940"
"Jun 13, 2017",0.075070,0.082732,0.062534,0.078068,"6,686","3,023,870"
"Jun 12, 2017",0.091335,0.092470,0.069397,0.075322,"4,760","3,678,850"
"Jun 11, 2017",0.094459,0.096775,0.087803,0.091456,"6,754","3,804,430"
"Jun 10, 2017",0.082337,0.103778,0.082337,0.095126,"15,554","3,315,980"
"Jun 09, 2017",0.092898,0.095020,0.077144,0.082218,"13,013","3,741,110"
"Jun 08, 2017",0.096568,0.101843,0.087058,0.092191,"8,432","3,888,660"
"Jun 07, 2017",0.112468,0.113774,0.094407,0.096085,"23,231","4,528,620"
"Jun 06, 2017",0.096818,0.139739,0.096811,0.111883,"86,348","3,898,180"
"Jun 05, 2017",0.050718,0.141084,0.050718,0.096528,"178,719","2,041,930"
"Jun 04, 2017",0.047774,0.052968,0.046507,0.050709,"13,173","1,923,230"
"Jun 03, 2017",0.045404,0.051971,0.042724,0.047903,"6,066","1,827,750"
"Jun 02, 2017",0.047702,0.050349,0.027589,0.045382,"19,660","1,920,170"
"Jun 01, 2017",0.041904,0.048879,0.039911,0.047680,"6,239","1,686,690"
"May 31, 2017",0.042526,0.045662,0.037594,0.041867,"17,016","1,711,620"
"May 30, 2017",0.043360,0.061311,0.040332,0.042359,"67,169","1,745,090"
"May 29, 2017",0.046132,0.048678,0.042820,0.043310,"2,956","1,856,560"
"May 28, 2017",0.045238,0.050979,0.044093,0.046226,"3,053","1,820,460"
"May 27, 2017",0.047241,0.049427,0.032940,0.044960,"5,260","1,900,930"
"May 26, 2017",0.045574,0.051066,0.041934,0.047051,"3,064","1,833,780"
"May 25, 2017",0.051399,0.053941,0.043026,0.045888,"6,035","2,068,030"
"May 24, 2017",0.050836,0.053491,0.047561,0.051496,"4,545","2,045,230"
"May 23, 2017",0.042563,0.052042,0.040861,0.050775,"10,170","1,712,240"
"May 22, 2017",0.051114,0.054744,0.037062,0.042846,"27,840","2,056,150"
"May 21, 2017",0.050811,0.061651,0.049712,0.050964,"13,194","2,043,820"
"May 20, 2017",0.046676,0.053722,0.046676,0.050612,"3,440","1,877,370"
"May 19, 2017",0.045328,0.052147,0.043862,0.046976,"4,726","1,823,070"
"May 18, 2017",0.042349,0.047708,0.040881,0.045063,"9,296","1,703,170"
"May 17, 2017",0.039025,0.043456,0.037319,0.041493,"4,953","1,569,390"
"May 16, 2017",0.029987,0.042289,0.029883,0.037787,"9,589","1,205,810"
"May 15, 2017",0.038535,0.042272,0.029528,0.029757,"8,903","1,549,440"
"May 14, 2017",0.032124,0.041215,0.031745,0.038546,"9,185","1,291,560"
"May 13, 2017",0.030427,0.033668,0.029472,0.031832,"11,948","1,223,280"
"May 12, 2017",0.037289,0.037719,0.028025,0.030384,"7,318","1,499,110"
"May 11, 2017",0.045955,0.047473,0.019661,0.037313,"27,832","1,847,370"
"May 10, 2017",0.044518,0.047997,0.040728,0.045664,"12,652","1,789,480"
"May 09, 2017",0.048959,0.051630,0.042976,0.045195,"15,477","1,967,910"
"May 08, 2017",0.046033,0.049094,0.045249,0.048889,"16,824","1,850,200"
"May 07, 2017",0.046992,0.047839,0.042789,0.046082,"7,505","1,888,610"
"May 06, 2017",0.046974,0.048844,0.044161,0.047183,"16,848","1,887,730"
"May 05, 2017",0.048140,0.052152,0.045126,0.045943,"11,488","1,934,500"
"May 04, 2017",0.054823,0.056340,0.045511,0.048539,"13,200","2,202,900"
"May 03, 2017",0.050427,0.063614,0.045207,0.054492,"10,203","2,026,150"
"May 02, 2017",0.048917,0.051425,0.044780,0.049794,"9,491","1,965,410"
"May 01, 2017",0.058470,0.059068,0.048649,0.048714,"15,884","2,349,110"
"Apr 30, 2017",0.059790,0.064860,0.054115,0.057981,"6,763","2,402,030"
"Apr 29, 2017",0.059990,0.065106,0.054307,0.064842,"7,634","2,409,900"
"Apr 28, 2017",0.051651,0.065804,0.043445,0.060205,"13,886","2,074,770"
"Apr 27, 2017",0.062916,0.063851,0.037140,0.051658,"8,106","2,527,180"
"Apr 26, 2017",0.068494,0.070202,0.058104,0.062907,"6,474","2,751,090"
"Apr 25, 2017",0.069133,0.074266,0.060150,0.068479,"11,240","2,776,590"
"Apr 24, 2017",0.074645,0.077409,0.061795,0.068713,"7,755","2,997,780"
"Apr 23, 2017",0.071612,0.077319,0.064269,0.070651,"8,172","2,875,830"
"Apr 22, 2017",0.069508,0.071799,0.060596,0.071623,"8,446","2,791,180"
"Apr 21, 2017",0.075128,0.081242,0.067499,0.069905,"18,297","3,016,620"
"Apr 20, 2017",0.071967,0.077627,0.064634,0.076656,"11,236","2,889,510"
"Apr 19, 2017",0.068837,0.075792,0.065609,0.072128,"19,572","2,763,700"
"Apr 18, 2017",0.071687,0.073365,0.063782,0.069261,"20,405","2,877,950"
"Apr 17, 2017",0.074734,0.075353,0.061874,0.071764,"32,445","3,000,120"
