Date,Open,High,Low,Close,Volume,Market Cap
"Apr 02, 2017",7.5e-07,7.6e-07,7.3e-07,7.5e-07,0,-
"Apr 01, 2017",7.5e-07,7.7e-07,7.4e-07,7.6e-07,0,-
"Jan 05, 2016",0.000026,0.000026,0.000022,0.000026,68,"10,564"
"Jan 04, 2016",0.000026,0.000026,0.000022,0.000026,66,"10,489"
"Jan 03, 2016",0.000026,0.000026,0.000021,0.000026,4,"10,573"
"Jan 02, 2016",0.000026,0.000026,0.000022,0.000026,2,"10,595"
"Jan 01, 2016",0.000026,0.000030,0.000022,0.000026,10,"10,503"
"Dec 31, 2015",0.000021,0.000026,0.000021,0.000026,13,"8,672"
"Dec 30, 2015",0.000026,0.000026,0.000021,0.000021,0,"10,562"
"Dec 29, 2015",0.000021,0.000026,0.000021,0.000026,0,"8,584"
"Dec 28, 2015",0.000021,0.000026,0.000021,0.000021,2,"8,595"
"Dec 27, 2015",0.000021,0.000021,0.000020,0.000021,0,"8,482"
"Dec 26, 2015",0.000027,0.000027,0.000020,0.000021,0,"11,115"
"Dec 25, 2015",0.000027,0.000027,0.000023,0.000027,2,"11,098"
"Dec 24, 2015",0.000022,0.000028,0.000022,0.000027,5,"8,993"
"Dec 23, 2015",0.000026,0.000027,0.000022,0.000022,2,"10,649"
"Dec 22, 2015",0.000022,0.000027,0.000022,0.000026,3,"8,916"
"Dec 21, 2015",0.000031,0.000031,0.000022,0.000022,59,"12,598"
"Dec 20, 2015",0.000032,0.000032,0.000028,0.000031,1,"13,157"
"Dec 19, 2015",0.000032,0.000033,0.000028,0.000032,0,"13,194"
"Dec 18, 2015",0.000032,0.000033,0.000018,0.000032,140,"12,979"
"Dec 17, 2015",0.000027,0.000032,0.000023,0.000032,1,"11,097"
"Dec 16, 2015",0.000033,0.000033,0.000023,0.000027,14,"13,242"
"Dec 15, 2015",0.000027,0.000033,0.000027,0.000032,3,"10,835"
"Dec 14, 2015",0.000030,0.000031,0.000026,0.000027,0,"12,344"
"Dec 13, 2015",0.000030,0.000031,0.000026,0.000030,131,"12,379"
"Dec 12, 2015",0.000032,0.000033,0.000025,0.000031,6,"12,861"
"Dec 11, 2015",0.000025,0.000032,0.000025,0.000032,7,"10,135"
"Dec 10, 2015",0.000025,0.000029,0.000025,0.000025,3,"10,186"
"Dec 09, 2015",0.000029,0.000030,0.000024,0.000025,13,"11,826"
"Dec 08, 2015",0.000024,0.000029,0.000024,0.000029,1,"9,648"
"Dec 07, 2015",0.000027,0.000028,0.000023,0.000024,0,"11,064"
"Dec 06, 2015",0.000023,0.000028,0.000023,0.000027,0,"9,488"
"Dec 05, 2015",0.000022,0.000027,0.000022,0.000023,29,"8,859"
"Dec 04, 2015",0.000022,0.000025,0.000021,0.000022,6,"8,807"
"Dec 03, 2015",0.000025,0.000026,0.000021,0.000022,8,"10,222"
"Dec 02, 2015",0.000022,0.000025,0.000021,0.000025,0,"8,813"
"Dec 01, 2015",0.000026,0.000027,0.000025,0.000025,0,"10,738"
"Nov 30, 2015",0.000022,0.000027,0.000022,0.000026,0,"9,057"
"Nov 29, 2015",0.000021,0.000022,0.000021,0.000022,0,"8,718"
"Nov 28, 2015",0.000025,0.000025,0.000021,0.000021,4,"10,189"
"Nov 27, 2015",0.000025,0.000025,0.000021,0.000025,1,"10,037"
"Nov 26, 2015",0.000020,0.000025,0.000020,0.000025,0,"8,006"
"Nov 25, 2015",0.000019,0.000023,0.000019,0.000020,0,"7,807"
"Nov 24, 2015",0.000019,0.000022,0.000019,0.000019,1,"7,880"
"Nov 23, 2015",0.000019,0.000023,0.000019,0.000019,31,"7,916"
"Nov 22, 2015",0.000020,0.000023,0.000019,0.000019,1,"7,975"
"Nov 21, 2015",0.000019,0.000023,0.000019,0.000020,7,"7,855"
