Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.005214,0.005319,0.005075,0.005319,76,"311,245"
"Sep 30, 2017",0.005340,0.005466,0.004977,0.005211,"1,079","318,789"
"Sep 29, 2017",0.005452,0.005470,0.005182,0.005339,299,"325,447"
"Sep 28, 2017",0.005596,0.006235,0.005359,0.005456,343,"334,059"
"Sep 27, 2017",0.005444,0.005991,0.005128,0.005596,373,"324,990"
"Sep 26, 2017",0.005743,0.005812,0.005177,0.005654,591,"342,818"
"Sep 25, 2017",0.005325,0.005788,0.005323,0.005743,15,"317,879"
"Sep 24, 2017",0.005380,0.005708,0.005094,0.005330,696,"321,147"
"Sep 23, 2017",0.005336,0.006056,0.005288,0.005380,883,"318,541"
"Aug 31, 2017",0.006186,0.006875,0.006185,0.006395,1,"359,279"
"Aug 30, 2017",0.005513,0.006573,0.005436,0.005876,65,"320,156"
"Aug 29, 2017",0.006544,0.007069,0.005520,0.005520,254,"379,673"
"Aug 28, 2017",0.006732,0.008514,0.006369,0.006576,192,"389,724"
"Aug 27, 2017",0.007430,0.007842,0.006698,0.006739,217,"429,202"
"Aug 26, 2017",0.007905,0.009422,0.007413,0.007432,191,"454,955"
"Aug 25, 2017",0.009059,0.009587,0.007694,0.007903,72,"520,623"
"Aug 24, 2017",0.008171,0.016842,0.007390,0.009073,989,"468,702"
"Aug 23, 2017",0.005464,0.016516,0.005446,0.008163,853,"313,052"
"Aug 22, 2017",0.005168,0.006100,0.004119,0.005468,99,"295,679"
"Aug 21, 2017",0.004005,0.005249,0.003966,0.005156,48,"228,596"
"Aug 20, 2017",0.004370,0.005496,0.003992,0.004021,336,"248,830"
"Aug 19, 2017",0.004931,0.005184,0.004270,0.004388,393,"279,968"
"Aug 18, 2017",0.005135,0.005318,0.004770,0.004935,319,"290,838"
"Aug 17, 2017",0.005266,0.005445,0.005033,0.005151,202,"297,805"
"Aug 16, 2017",0.005025,0.005785,0.004739,0.005271,230,"283,753"
"Aug 15, 2017",0.005197,0.005282,0.004676,0.005019,262,"292,596"
"Aug 14, 2017",0.005204,0.005738,0.004934,0.005184,299,"292,658"
"Aug 13, 2017",0.005187,0.006278,0.005074,0.005201,161,"291,074"
"Aug 12, 2017",0.004983,0.005441,0.004932,0.005192,21,"279,160"
"Aug 11, 2017",0.005807,0.005823,0.004832,0.004987,45,"324,844"
"Aug 10, 2017",0.005815,0.006682,0.005168,0.005808,47,"324,451"
"Aug 09, 2017",0.005607,0.006142,0.004622,0.005816,903,"311,864"
"Aug 08, 2017",0.005795,0.005795,0.005391,0.005611,341,"321,591"
"Aug 07, 2017",0.004573,0.017447,0.004533,0.005789,"3,399","253,403"
"Aug 06, 2017",0.005338,0.005400,0.004568,0.004583,"1,698","295,260"
