Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.020850,0.218306,0.015042,0.174581,232,"437,472"
"Sep 30, 2017",0.018001,0.020996,0.016964,0.020286,21,"377,694"
"Sep 29, 2017",0.015802,0.016400,0.015221,0.016256,627,"331,564"
"Sep 28, 2017",0.036384,0.036384,0.014474,0.015814,342,"763,408"
"Sep 27, 2017",0.023113,0.037567,0.021269,0.036404,115,"484,961"
"Sep 26, 2017",0.023611,0.023727,0.020701,0.023177,49,"495,414"
"Sep 25, 2017",0.058330,0.188208,0.016404,0.023588,339,"1,223,880"
"Sep 24, 2017",0.023254,0.058646,0.023026,0.058390,586,"487,905"
"Sep 23, 2017",0.009631,0.042163,0.009538,0.023252,"2,338","202,071"
"Sep 22, 2017",0.009052,0.009731,0.009016,0.009658,12,"189,931"
"Sep 21, 2017",0.012283,0.012366,0.008994,0.009063,25,"257,708"
"Sep 20, 2017",0.047452,0.059852,0.011737,0.012344,69,"995,624"
"Sep 19, 2017",0.009888,0.400266,0.009552,0.047515,104,"207,476"
"Sep 18, 2017",0.008865,0.011769,0.008865,0.009865,27,"185,997"
"Sep 17, 2017",0.014252,0.014252,0.006686,0.008884,35,"299,028"
"Sep 16, 2017",0.012612,0.025828,0.011343,0.014253,47,"264,612"
"Sep 15, 2017",0.010801,0.014707,0.009716,0.012645,84,"226,628"
"Sep 14, 2017",0.014539,0.014733,0.000510,0.010731,"1,115","305,053"
"Sep 13, 2017",0.020437,0.020511,0.014173,0.014540,25,"428,799"
"Sep 12, 2017",0.015873,0.020663,0.015873,0.020515,19,"333,047"
"Sep 11, 2017",0.016434,0.019063,0.015648,0.015879,27,"344,800"
"Sep 10, 2017",0.018689,0.018689,0.016051,0.016382,0,"392,110"
"Sep 09, 2017",0.020106,0.022659,0.016151,0.018672,129,"421,847"
"Sep 08, 2017",0.024327,0.025331,0.018632,0.020061,202,"510,420"
"Sep 07, 2017",0.024994,0.025032,0.023624,0.024323,6,"524,397"
"Sep 05, 2017",0.023252,0.024036,0.021907,0.024036,2,"487,863"
"Sep 04, 2017",0.024069,0.024982,0.020972,0.023133,10,"504,994"
"Sep 03, 2017",0.026514,0.027013,0.023093,0.024061,6,"556,285"
"Sep 02, 2017",0.027963,0.028906,0.024687,0.026497,15,"586,686"
"Sep 01, 2017",0.027106,0.029641,0.026848,0.027895,153,"568,719"
"Aug 31, 2017",0.026862,0.035832,0.024228,0.027105,38,"563,582"
"Aug 30, 2017",0.026328,0.045704,0.025920,0.026807,23,"552,384"
"Aug 29, 2017",0.027267,0.027372,0.022038,0.022727,0,"572,087"
"Aug 28, 2017",0.027826,0.027826,0.026605,0.027221,5,"583,810"
"Aug 27, 2017",0.026144,0.028020,0.026122,0.027798,44,"548,511"
"Aug 26, 2017",0.025109,0.025109,0.023463,0.023463,1,"526,811"
"Aug 25, 2017",0.022128,0.025746,0.021775,0.024975,1,"464,255"
"Aug 24, 2017",0.021801,0.025851,0.021403,0.022163,11,"457,397"
"Aug 23, 2017",0.024996,0.030625,0.021026,0.021786,25,"524,427"
"Aug 22, 2017",0.027250,0.029580,0.018970,0.025024,1,"571,716"
"Aug 21, 2017",0.020360,0.027500,0.019911,0.027092,1,"427,162"
"Aug 20, 2017",0.031590,0.050444,0.020438,0.020438,106,"662,767"
"Aug 19, 2017",0.015766,0.051029,0.015764,0.031618,1,"330,767"
"Aug 18, 2017",0.022912,0.022982,0.015235,0.015770,36,"480,706"
"Aug 17, 2017",0.028867,0.029261,0.022580,0.022980,18,"605,644"
"Aug 16, 2017",0.028544,0.029080,0.009489,0.028884,676,"598,859"
"Aug 15, 2017",0.029930,0.031911,0.026175,0.028517,7,"627,944"
"Aug 14, 2017",0.030929,0.034375,0.029589,0.029853,22,"648,888"
"Aug 13, 2017",0.030903,0.037657,0.021576,0.030908,396,"648,352"
