Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.000013,0.000015,0.000013,0.000015,636,"1,157,740"
"Sep 30, 2017",0.000013,0.000014,0.000011,0.000013,492,"1,172,470"
"Sep 29, 2017",0.000012,0.000014,0.000012,0.000013,445,"1,046,820"
"Sep 28, 2017",0.000012,0.000013,0.000011,0.000012,"1,314","1,091,040"
"Sep 27, 2017",0.000012,0.000012,0.000010,0.000012,500,"1,083,230"
"Sep 26, 2017",0.000013,0.000014,0.000011,0.000012,641,"1,207,610"
"Sep 25, 2017",0.000011,0.000016,0.000011,0.000013,"2,305","982,971"
"Sep 24, 2017",0.000011,0.000013,0.000009,0.000011,396,"988,254"
"Sep 23, 2017",0.000010,0.000012,0.000008,0.000011,550,"922,353"
"Sep 22, 2017",0.000009,0.000015,0.000007,0.000010,"4,153","848,420"
"Sep 21, 2017",0.000014,0.000014,0.000009,0.000009,951,"1,261,460"
"Sep 20, 2017",0.000008,0.000014,0.000008,0.000014,781,"732,126"
"Sep 19, 2017",0.000008,0.000009,0.000004,0.000008,"870,956","703,035"
"Sep 18, 2017",0.000007,0.000008,0.000006,0.000008,"505,913","636,877"
"Sep 17, 2017",0.000008,0.000008,0.000005,0.000007,"398,756","704,577"
"Sep 16, 2017",0.000009,0.000011,0.000007,0.000008,"489,967","829,502"
"Sep 15, 2017",0.000013,0.000015,0.000008,0.000009,"1,052,940","1,133,280"
"Sep 14, 2017",0.000020,0.000024,0.000012,0.000012,"1,310,110","1,827,760"
"Sep 13, 2017",0.000033,0.000034,0.000021,0.000021,"1,526,350","2,979,200"
"Sep 12, 2017",0.000014,0.000039,0.000014,0.000032,"4,992,110","1,249,060"
"Sep 11, 2017",0.000024,0.000028,0.000012,0.000014,"588,005","2,219,150"
"Sep 10, 2017",0.000029,0.000029,0.000019,0.000025,"575,493","2,598,450"
"Sep 09, 2017",0.000031,0.000035,0.000024,0.000029,"548,365","2,825,590"
"Sep 08, 2017",0.000059,0.000061,0.000028,0.000032,"1,108,860","5,325,390"
