Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.082341,0.087946,0.069235,0.084487,19,"1,729,080"
"Sep 30, 2017",0.072205,0.089115,0.072137,0.082297,2,"1,516,230"
"Sep 29, 2017",0.066829,0.073298,0.059301,0.072195,86,"1,403,350"
"Sep 28, 2017",0.064712,0.067101,0.059309,0.066880,64,"1,358,900"
"Sep 27, 2017",0.063023,0.067886,0.062886,0.065043,8,"1,323,420"
"Sep 26, 2017",0.069946,0.069946,0.062739,0.063151,29,"1,468,790"
"Sep 25, 2017",0.064616,0.071798,0.064108,0.068837,8,"1,356,880"
"Sep 24, 2017",0.055810,0.074662,0.053783,0.064650,7,"1,171,960"
"Sep 23, 2017",0.059846,0.065912,0.047297,0.055815,"1,019","1,256,700"
"Sep 22, 2017",0.058701,0.062134,0.058618,0.060015,438,"1,232,660"
"Sep 21, 2017",0.059013,0.065591,0.056842,0.058768,586,"1,239,220"
"Sep 20, 2017",0.063146,0.065575,0.059164,0.059303,791,"1,326,000"
"Sep 19, 2017",0.067631,0.069961,0.062650,0.063230,682,"1,420,190"
"Sep 18, 2017",0.060745,0.068039,0.060745,0.067463,192,"1,275,590"
"Sep 17, 2017",0.062106,0.062230,0.055784,0.060866,356,"1,304,170"
"Sep 16, 2017",0.070153,0.071682,0.060125,0.062148,735,"1,473,140"
"Sep 15, 2017",0.066332,0.072389,0.057468,0.070366,54,"1,392,900"
"Sep 14, 2017",0.067207,0.076543,0.063730,0.064888,13,"1,411,290"
"Sep 13, 2017",0.071938,0.072205,0.065582,0.067453,15,"1,510,640"
"Sep 12, 2017",0.074309,0.080475,0.071717,0.072199,26,"1,560,420"
"Sep 11, 2017",0.094429,0.097517,0.072136,0.074241,32,"1,982,930"
"Sep 10, 2017",0.074840,0.098406,0.073471,0.094565,111,"1,571,560"
"Sep 09, 2017",0.074936,0.076143,0.071310,0.075035,222,"1,573,590"
"Sep 08, 2017",0.079702,0.085613,0.071769,0.074795,221,"1,673,660"
"Sep 07, 2017",0.088952,0.091131,0.077537,0.079757,5,"1,867,910"
"Sep 06, 2017",0.081630,0.092373,0.075661,0.089123,375,"1,714,150"
"Sep 05, 2017",0.074184,0.083074,0.069868,0.081537,2,"1,557,800"
"Sep 04, 2017",0.085936,0.085999,0.070158,0.073812,240,"1,804,590"
"Sep 03, 2017",0.081725,0.086325,0.076644,0.085907,253,"1,716,160"
"Sep 02, 2017",0.085709,0.088883,0.076487,0.081673,985,"1,799,810"
"Sep 01, 2017",0.086257,0.090638,0.078082,0.085605,741,"1,811,330"
"Aug 31, 2017",0.091607,0.101258,0.084355,0.086243,"1,412","1,923,660"
"Aug 30, 2017",0.082513,0.091764,0.082262,0.091764,125,"1,732,700"
"Aug 29, 2017",0.092303,0.092364,0.079147,0.082623,520,"1,938,280"
"Aug 28, 2017",0.082521,0.095781,0.078116,0.092147,716,"1,732,880"
"Aug 27, 2017",0.082804,0.083899,0.081926,0.082608,166,"1,738,810"
"Aug 26, 2017",0.099956,0.100194,0.082781,0.082823,"1,473","2,098,980"
"Aug 25, 2017",0.098060,0.102110,0.098060,0.099925,698,"2,059,170"
"Aug 24, 2017",0.081335,0.118427,0.078106,0.098215,"2,478","1,707,960"
"Aug 23, 2017",0.066516,0.082988,0.065563,0.081295,899,"1,396,770"
"Aug 22, 2017",0.079409,0.079409,0.065584,0.066651,754,"1,667,510"
"Aug 21, 2017",0.071968,0.080363,0.071968,0.079215,735,"1,511,260"
"Aug 20, 2017",0.077175,0.081618,0.070119,0.072252,214,"1,620,610"
"Aug 19, 2017",0.085185,0.097185,0.074690,0.077536,349,"1,788,800"
"Aug 18, 2017",0.086353,0.104853,0.080036,0.084896,38,"1,813,330"
"Aug 17, 2017",0.095629,0.098865,0.086593,0.086618,843,"2,008,120"
"Aug 16, 2017",0.100175,0.101241,0.092559,0.095924,919,"2,103,580"
"Aug 15, 2017",0.092536,0.100522,0.081475,0.097513,"2,987","1,943,160"
"Aug 14, 2017",0.104420,0.105502,0.075132,0.092287,"3,163","2,192,720"
"Aug 13, 2017",0.094933,0.109830,0.093309,0.104357,"1,040","1,993,500"
"Aug 12, 2017",0.090403,0.110997,0.089466,0.095099,678,"1,898,390"
"Aug 11, 2017",0.073935,0.094492,0.071389,0.090474,65,"1,552,570"
"Aug 10, 2017",0.098984,0.104742,0.073026,0.073916,3,"2,078,570"
"Aug 09, 2017",0.090718,0.103089,0.089127,0.098974,669,"1,904,990"
"Aug 08, 2017",0.092504,0.099106,0.091416,0.093468,292,"1,942,510"
"Aug 07, 2017",0.089771,0.206401,0.086148,0.091707,669,"1,885,120"
"Aug 06, 2017",0.094366,0.095512,0.087890,0.089971,375,"1,981,610"
"Aug 05, 2017",0.083835,0.096682,0.083774,0.094345,381,"1,760,460"
"Aug 04, 2017",0.082969,0.084135,0.081809,0.083872,38,"1,742,270"
"Aug 03, 2017",0.090380,0.090748,0.080954,0.082989,95,"1,897,890"
"Aug 02, 2017",0.076103,0.280613,0.076103,0.090220,708,"1,598,100"
"Aug 01, 2017",0.077711,0.084309,0.074956,0.076118,6,"1,631,850"
"Jul 31, 2017",0.113957,0.137277,0.076988,0.077673,418,"2,393,000"
"Jul 30, 2017",0.084933,0.113895,0.078849,0.113895,"1,186","1,783,530"
"Jul 29, 2017",0.098380,0.114466,0.084151,0.084945,161,"2,065,900"
"Jul 28, 2017",0.086143,0.103976,0.084942,0.098592,217,"1,808,920"
