Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.003917,0.004261,0.001375,0.003215,"11,155","132,814"
"Sep 30, 2017",0.003500,0.004409,0.003384,0.003915,"1,739","118,643"
"Sep 29, 2017",0.004052,0.004131,0.002259,0.003499,"1,742","137,341"
"Sep 28, 2017",0.004099,0.005524,0.003260,0.004055,"1,929","138,878"
"Sep 27, 2017",0.005755,0.006022,0.004094,0.004099,"1,293","194,956"
"Sep 26, 2017",0.005863,0.005945,0.005488,0.005771,286,"198,580"
"Sep 25, 2017",0.005545,0.005945,0.005495,0.005864,500,"187,742"
"Sep 24, 2017",0.005490,0.005943,0.005388,0.005550,516,"185,846"
"Sep 23, 2017",0.005446,0.005808,0.005393,0.005490,53,"184,301"
"Sep 22, 2017",0.005482,0.005717,0.005338,0.005461,118,"185,502"
"Sep 21, 2017",0.005898,0.007728,0.005447,0.005489,115,"199,515"
"Sep 20, 2017",0.006217,0.006476,0.005913,0.005927,12,"210,247"
"Sep 19, 2017",0.006398,0.006861,0.006083,0.006225,82,"216,318"
"Sep 18, 2017",0.006274,0.007050,0.006212,0.006382,207,"212,096"
"Sep 17, 2017",0.006180,0.006623,0.006016,0.006287,417,"208,863"
"Sep 16, 2017",0.005714,0.006196,0.005354,0.006184,"1,003","193,078"
"Sep 15, 2017",0.005203,0.006649,0.004772,0.005729,114,"175,763"
"Sep 14, 2017",0.008087,0.008172,0.005163,0.005163,87,"273,112"
"Sep 13, 2017",0.006284,0.008217,0.005616,0.008087,329,"212,174"
"Sep 12, 2017",0.006083,0.006758,0.005866,0.006308,135,"205,330"
"Sep 11, 2017",0.005604,0.008107,0.005371,0.006077,153,"189,104"
"Sep 10, 2017",0.005538,0.008210,0.005232,0.005613,291,"186,830"
"Sep 09, 2017",0.005713,0.006180,0.005419,0.005552,97,"192,675"
"Sep 08, 2017",0.006184,0.006946,0.004972,0.005702,138,"208,514"
"Sep 07, 2017",0.006331,0.006517,0.005429,0.006183,135,"213,412"
"Sep 06, 2017",0.006758,0.007198,0.006030,0.006343,197,"227,742"
"Sep 05, 2017",0.006217,0.007161,0.005856,0.006750,306,"209,460"
"Sep 04, 2017",0.007041,0.007290,0.004936,0.006185,371,"237,156"
"Sep 03, 2017",0.006871,0.007211,0.006591,0.007038,82,"231,375"
"Sep 02, 2017",0.007627,0.007804,0.006400,0.006866,128,"256,764"
"Sep 01, 2017",0.007534,0.008231,0.007359,0.007614,300,"253,547"
"Aug 31, 2017",0.008294,0.010489,0.007525,0.007532,195,"279,054"
"Aug 30, 2017",0.006466,0.011885,0.006438,0.008309,"1,029","217,510"
"Aug 29, 2017",0.005219,0.006889,0.005205,0.006483,128,"175,470"
"Aug 28, 2017",0.005547,0.008514,0.004885,0.005211,326,"186,413"
"Aug 27, 2017",0.005574,0.008258,0.004978,0.005553,284,"187,221"
"Aug 26, 2017",0.005265,0.008517,0.004809,0.005575,735,"176,749"
"Aug 25, 2017",0.004525,0.006690,0.004525,0.005263,246,"151,851"
"Aug 24, 2017",0.004794,0.005012,0.004339,0.004532,117,"160,811"
"Aug 23, 2017",0.005128,0.005385,0.004222,0.004792,487,"171,923"
"Aug 22, 2017",0.004851,0.006572,0.004336,0.005139,121,"162,533"
"Aug 21, 2017",0.005605,0.006718,0.004530,0.004839,161,"187,737"
"Aug 20, 2017",0.004566,0.007359,0.004469,0.005627,366,"152,849"
"Aug 19, 2017",0.004361,0.008178,0.003957,0.004587,351,"145,904"
"Aug 18, 2017",0.004397,0.006284,0.004246,0.004400,357,"147,047"
"Aug 17, 2017",0.005305,0.006546,0.004268,0.004410,624,"177,327"
"Aug 16, 2017",0.004356,0.008546,0.003381,0.005307,"1,212","145,532"
"Aug 15, 2017",0.004504,0.007876,0.003680,0.004357,782,"150,411"
"Aug 14, 2017",0.004991,0.005643,0.003948,0.004492,379,"166,585"
"Aug 13, 2017",0.004127,0.006807,0.003678,0.004987,935,"137,707"
"Aug 12, 2017",0.004225,0.005480,0.003967,0.004131,130,"140,895"
"Aug 11, 2017",0.004044,0.004285,0.003653,0.004228,370,"134,803"
"Aug 10, 2017",0.003668,0.005010,0.003668,0.004044,535,"122,223"
"Aug 09, 2017",0.003789,0.004207,0.003502,0.003667,212,"126,202"
"Aug 08, 2017",0.003732,0.003807,0.003575,0.003792,81,"124,244"
"Aug 07, 2017",0.003534,0.004041,0.003404,0.003729,613,"117,592"
"Aug 06, 2017",0.004156,0.004628,0.003531,0.003542,221,"138,223"
"Aug 05, 2017",0.003659,0.004866,0.003656,0.004156,104,"121,612"
"Aug 04, 2017",0.003666,0.003852,0.003545,0.003658,91,"121,796"
"Aug 03, 2017",0.005607,0.005978,0.003619,0.003667,99,"186,208"
"Aug 02, 2017",0.003180,0.006599,0.002971,0.005597,"1,210","105,545"
"Aug 01, 2017",0.003523,0.003894,0.003084,0.003180,94,"116,883"
"Jul 31, 2017",0.003876,0.003879,0.003434,0.003518,194,"128,522"
"Jul 30, 2017",0.004342,0.004404,0.003508,0.004001,528,"143,909"
"Jul 29, 2017",0.004875,0.004992,0.004106,0.004342,312,"161,498"
"Jul 28, 2017",0.006066,0.006184,0.004406,0.004893,880,"200,853"
"Jul 27, 2017",0.006075,0.008584,0.005435,0.006053,477,"201,056"
"Jul 26, 2017",0.006039,0.008895,0.005520,0.006058,"1,849","199,787"
"Jul 25, 2017",0.007347,0.007921,0.005583,0.006037,"1,464","242,920"
"Jul 24, 2017",0.007141,0.008836,0.006959,0.007348,965,"235,983"
"Jul 23, 2017",0.007967,0.008012,0.006581,0.007150,831,"263,159"
"Jul 22, 2017",0.008609,0.009919,0.006373,0.007967,"1,799","284,242"
"Jul 21, 2017",0.007148,0.010304,0.006243,0.008611,"1,823","235,904"
"Jul 20, 2017",0.006966,0.008370,0.005833,0.007095,"1,267","229,806"
"Jul 19, 2017",0.008572,0.008964,0.006978,0.006978,"1,733","282,642"
"Jul 18, 2017",0.006670,0.009798,0.006444,0.007354,"1,678","219,817"
"Jul 17, 2017",0.006772,0.008667,0.005690,0.006695,"1,587","223,073"
"Jul 16, 2017",0.004654,0.008129,0.004513,0.006779,"1,792","153,239"
"Jul 15, 2017",0.003984,0.007786,0.003971,0.004668,"1,556","131,108"
"Jul 14, 2017",0.004972,0.007029,0.003201,0.003990,764,"163,546"
"Jul 13, 2017",0.004382,0.009754,0.002553,0.004975,"2,243","144,085"
"Jul 12, 2017",0.004384,0.004580,0.001901,0.004379,"1,613","144,068"
"Jul 11, 2017",0.001799,0.004483,0.001693,0.004405,546,"59,086"
"Jul 10, 2017",0.002113,0.003254,0.001717,0.001803,114,"69,386"
"Jul 09, 2017",0.002398,0.002576,0.002066,0.002109,36,"78,684"
"Jul 08, 2017",0.001932,0.002396,0.001902,0.002395,43,"63,358"
"Jul 07, 2017",0.002725,0.002825,0.001930,0.001930,133,"89,355"
"Jul 06, 2017",0.002087,0.002962,0.001934,0.002724,135,"68,387"
"Jul 05, 2017",0.001888,0.002288,0.001877,0.002086,98,"61,855"
"Jul 04, 2017",0.001861,0.002381,0.001784,0.001889,42,"60,947"
"Jul 03, 2017",0.001942,0.002505,0.001854,0.001866,24,"63,550"
"Jul 02, 2017",0.002161,0.002164,0.001835,0.001949,45,"70,685"
"Jul 01, 2017",0.001953,0.002453,0.001878,0.002161,56,"63,870"
"Jun 30, 2017",0.002235,0.002446,0.001927,0.001954,47,"73,028"
"Jun 29, 2017",0.002535,0.002589,0.002164,0.002230,112,"82,793"
"Jun 28, 2017",0.002692,0.002798,0.002242,0.002537,83,"87,886"
"Jun 27, 2017",0.002651,0.002808,0.002381,0.002675,156,"86,504"
"Jun 26, 2017",0.002276,0.002651,0.002173,0.002651,156,"74,244"
"Jun 25, 2017",0.003283,0.003397,0.002248,0.002277,173,"107,042"
"Jun 24, 2017",0.002050,0.003523,0.001956,0.003291,243,"66,807"
"Jun 23, 2017",0.002579,0.003439,0.001875,0.002052,427,"84,002"
"Jun 22, 2017",0.001731,0.003692,0.001729,0.002623,352,"56,360"
"Jun 21, 2017",0.001791,0.001851,0.001726,0.001731,55,"58,285"
"Jun 20, 2017",0.001980,0.003694,0.001722,0.001791,683,"64,405"
"Jun 19, 2017",0.001771,0.002461,0.001699,0.001979,337,"57,577"
"Jun 18, 2017",0.001877,0.002158,0.001712,0.001771,91,"60,990"
"Jun 17, 2017",0.001806,0.002084,0.001647,0.001876,205,"58,678"
"Jun 16, 2017",0.001569,0.001806,0.001383,0.001806,204,"50,957"
"Jun 15, 2017",0.001425,0.001615,0.001246,0.001571,55,"46,258"
"Jun 14, 2017",0.001741,0.001999,0.001363,0.001425,43,"56,461"
"Jun 13, 2017",0.001875,0.001965,0.001736,0.001742,103,"60,802"
"Jun 12, 2017",0.001886,0.002071,0.001787,0.001882,267,"61,104"
"Jun 11, 2017",0.001920,0.002058,0.001854,0.001888,44,"62,202"
"Jun 10, 2017",0.002014,0.002057,0.001858,0.001922,24,"65,188"
"Jun 09, 2017",0.001830,0.002551,0.001825,0.002011,112,"59,201"
"Jun 08, 2017",0.001712,0.002475,0.001667,0.001832,55,"55,384"
"Jun 07, 2017",0.001829,0.002000,0.001668,0.001704,75,"59,131"
"Jun 06, 2017",0.001700,0.001906,0.001700,0.001829,128,"54,931"
"Jun 05, 2017",0.001653,0.001769,0.001447,0.001696,104,"53,399"
"Jun 04, 2017",0.001413,0.001632,0.001385,0.001537,190,"45,606"
"Jun 03, 2017",0.001309,0.001709,0.001300,0.001417,73,"42,224"
"Jun 02, 2017",0.001462,0.001465,0.001237,0.001309,16,"47,146"
