Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.000012,0.000013,0.000011,0.000011,21,"169,130"
"Sep 30, 2017",0.000012,0.000013,0.000012,0.000012,31,"176,486"
"Sep 29, 2017",0.000010,0.000012,0.000009,0.000012,2,"150,753"
"Sep 28, 2017",0.000012,0.000016,0.000010,0.000010,29,"179,935"
"Sep 27, 2017",0.000014,0.000015,0.000011,0.000012,5,"206,101"
"Sep 26, 2017",0.000015,0.000017,0.000012,0.000014,2,"216,513"
"Sep 25, 2017",0.000011,0.000015,0.000009,0.000014,65,"160,448"
"Sep 24, 2017",0.000013,0.000014,0.000010,0.000011,112,"188,471"
"Sep 23, 2017",0.000011,0.000013,0.000010,0.000013,10,"154,191"
"Sep 22, 2017",0.000010,0.000011,0.000009,0.000011,0,"147,646"
"Sep 21, 2017",0.000019,0.000021,0.000007,0.000010,1,"269,136"
"Sep 20, 2017",0.000013,0.000019,0.000012,0.000019,35,"184,256"
"Sep 19, 2017",0.000013,0.000014,0.000012,0.000013,22,"194,723"
"Sep 18, 2017",0.000011,0.000014,0.000011,0.000013,17,"161,975"
"Sep 17, 2017",0.000010,0.000013,0.000010,0.000011,6,"151,206"
"Sep 16, 2017",0.000010,0.000012,0.000010,0.000010,143,"150,096"
"Sep 15, 2017",0.000010,0.000013,0.000008,0.000010,210,"141,177"
"Sep 14, 2017",0.000015,0.000015,0.000010,0.000010,1,"214,751"
"Sep 13, 2017",0.000016,0.000016,0.000013,0.000015,15,"228,839"
"Sep 12, 2017",0.000015,0.000017,0.000015,0.000016,26,"217,368"
"Sep 11, 2017",0.000017,0.000017,0.000015,0.000015,0,"248,557"
"Sep 10, 2017",0.000018,0.000019,0.000015,0.000017,1,"254,460"
"Sep 09, 2017",0.000017,0.000019,0.000016,0.000018,5,"241,862"
"Sep 08, 2017",0.000021,0.000021,0.000016,0.000017,31,"298,917"
"Sep 07, 2017",0.000020,0.000021,0.000016,0.000021,163,"287,714"
"Sep 06, 2017",0.000017,0.000021,0.000017,0.000020,65,"249,545"
"Sep 05, 2017",0.000015,0.000017,0.000013,0.000017,0,"210,845"
"Sep 04, 2017",0.000019,0.000019,0.000013,0.000015,72,"269,623"
"Sep 03, 2017",0.000018,0.000019,0.000018,0.000019,18,"259,436"
"Sep 02, 2017",0.000020,0.000028,0.000018,0.000018,44,"295,499"
"Sep 01, 2017",0.000015,0.000021,0.000013,0.000020,30,"222,516"
"Aug 31, 2017",0.000017,0.000017,0.000014,0.000015,104,"239,484"
"Aug 30, 2017",0.000016,0.000017,0.000014,0.000017,51,"225,781"
"Aug 29, 2017",0.000010,0.000016,0.000010,0.000016,6,"138,068"
"Aug 28, 2017",0.000015,0.000016,0.000009,0.000010,0,"217,232"
"Aug 27, 2017",0.000011,0.000015,0.000010,0.000015,"2,344","162,777"
"Aug 26, 2017",0.000011,0.000011,0.000009,0.000011,35,"163,967"
"Aug 25, 2017",0.000010,0.000011,0.000010,0.000011,26,"140,545"
"Aug 24, 2017",0.000010,0.000011,0.000010,0.000010,63,"144,994"
"Aug 23, 2017",0.000010,0.000010,0.000009,0.000010,75,"141,242"
"Aug 22, 2017",0.000010,0.000011,0.000009,0.000010,20,"146,346"
"Aug 21, 2017",0.000011,0.000011,0.000010,0.000010,73,"154,502"
"Aug 20, 2017",0.000010,0.000011,0.000009,0.000011,0,"141,361"
"Aug 19, 2017",0.000010,0.000012,0.000009,0.000010,8,"139,840"
"Aug 18, 2017",0.000011,0.000011,0.000009,0.000010,0,"152,299"
"Aug 17, 2017",0.000011,0.000011,0.000010,0.000011,37,"163,203"
"Aug 16, 2017",0.000010,0.000011,0.000010,0.000011,25,"143,709"
"Aug 15, 2017",0.000011,0.000011,0.000010,0.000010,3,"164,569"
"Aug 14, 2017",0.000011,0.000012,0.000011,0.000011,7,"158,318"
"Aug 13, 2017",0.000014,0.000014,0.000011,0.000011,33,"200,992"
"Aug 12, 2017",0.000014,0.000014,0.000013,0.000014,"2,884","204,471"
"Aug 11, 2017",0.000013,0.000014,0.000013,0.000014,50,"190,980"
"Aug 10, 2017",0.000012,0.000014,0.000011,0.000013,96,"170,548"
"Aug 09, 2017",0.000012,0.000016,0.000010,0.000012,0,"170,791"
"Aug 08, 2017",0.000016,0.000016,0.000011,0.000012,648,"227,760"
"Aug 07, 2017",0.000013,0.000016,0.000012,0.000016,507,"191,490"
"Aug 06, 2017",0.000014,0.000017,0.000013,0.000013,"1,580","204,905"
"Aug 05, 2017",0.000015,0.000016,0.000014,0.000014,1,"218,795"
"Aug 04, 2017",0.000015,0.000015,0.000013,0.000015,876,"216,404"
"Aug 03, 2017",0.000015,0.000016,0.000015,0.000015,68,"211,671"
"Aug 02, 2017",0.000011,0.000016,0.000011,0.000015,"1,578","159,036"
"Aug 01, 2017",0.000012,0.000012,0.000008,0.000011,486,"173,139"
"Jul 31, 2017",0.000014,0.000014,0.000012,0.000012,32,"195,747"
"Jul 30, 2017",0.000014,0.000017,0.000013,0.000014,15,"208,909"
"Jul 29, 2017",0.000016,0.000016,0.000014,0.000014,125,"235,416"
"Jul 28, 2017",0.000016,0.000017,0.000012,0.000016,524,"236,552"
"Jul 27, 2017",0.000022,0.000022,0.000016,0.000016,171,"312,798"
"Jul 26, 2017",0.000022,0.000024,0.000017,0.000022,"8,009","324,381"
"Jul 25, 2017",0.000016,0.000022,0.000013,0.000022,"13,251","236,594"
"Jul 24, 2017",0.000012,0.000021,0.000012,0.000016,"2,345","171,534"
"Jul 23, 2017",0.000012,0.000013,0.000011,0.000012,40,"177,246"
"Jul 22, 2017",0.000014,0.000014,0.000012,0.000012,36,"206,944"
"Jul 21, 2017",0.000012,0.000014,0.000011,0.000014,0,"179,699"
"Jul 20, 2017",0.000011,0.000012,0.000010,0.000012,19,"156,270"
"Jul 19, 2017",0.000013,0.000013,0.000011,0.000011,45,"187,452"
"Jul 18, 2017",0.000012,0.000013,0.000011,0.000013,3,"170,167"
"Jul 17, 2017",0.000010,0.000012,0.000010,0.000012,66,"151,021"
"Jul 16, 2017",0.000011,0.000011,0.000009,0.000010,32,"154,794"
"Jul 15, 2017",0.000011,0.000011,0.000010,0.000011,6,"153,251"
"Jul 14, 2017",0.000013,0.000014,0.000010,0.000011,130,"185,707"
"Jul 13, 2017",0.000014,0.000014,0.000012,0.000013,176,"197,820"
"Jul 12, 2017",0.000014,0.000015,0.000013,0.000014,726,"196,415"
"Jul 11, 2017",0.000014,0.000015,0.000013,0.000014,5,"206,217"
"Jul 10, 2017",0.000016,0.000019,0.000013,0.000014,863,"230,494"
"Jul 09, 2017",0.000010,0.000016,0.000010,0.000016,32,"139,976"
"Jul 08, 2017",0.000012,0.000013,0.000010,0.000010,7,"174,121"
"Jul 07, 2017",0.000017,0.000017,0.000012,0.000012,311,"248,622"
"Jul 06, 2017",0.000017,0.000018,0.000016,0.000017,42,"239,453"
"Jul 05, 2017",0.000019,0.000019,0.000016,0.000017,46,"281,237"
"Jul 04, 2017",0.000014,0.000019,0.000014,0.000019,528,"197,494"
"Jul 03, 2017",0.000016,0.000018,0.000012,0.000014,858,"234,092"
"Jul 02, 2017",0.000016,0.000017,0.000012,0.000016,794,"228,959"
"Jul 01, 2017",0.000013,0.000017,0.000011,0.000016,"1,551","186,318"
"Jun 30, 2017",0.000011,0.000019,0.000011,0.000013,40,"160,924"
"Jun 29, 2017",0.000012,0.000016,0.000011,0.000011,10,"169,168"
"Jun 28, 2017",0.000016,0.000016,0.000011,0.000012,67,"228,953"
"Jun 27, 2017",0.000015,0.000016,0.000013,0.000016,66,"216,809"
"Jun 26, 2017",0.000019,0.000021,0.000012,0.000015,31,"282,233"
"Jun 25, 2017",0.000017,0.000018,0.000015,0.000017,105,"244,854"
"Jun 24, 2017",0.000018,0.000018,0.000016,0.000017,142,"265,620"
"Jun 23, 2017",0.000025,0.000025,0.000017,0.000018,3,"359,346"
"Jun 22, 2017",0.000017,0.000025,0.000016,0.000025,41,"249,011"
"Jun 21, 2017",0.000018,0.000019,0.000017,0.000017,24,"264,651"
"Jun 20, 2017",0.000017,0.000018,0.000016,0.000018,38,"246,938"
"Jun 19, 2017",0.000017,0.000036,0.000016,0.000017,"1,094","249,219"
"Jun 18, 2017",0.000025,0.000042,0.000017,0.000017,180,"355,395"
"Jun 17, 2017",0.000019,0.000025,0.000014,0.000025,460,"269,847"
"Jun 16, 2017",0.000017,0.000020,0.000012,0.000019,7,"252,704"
"Jun 15, 2017",0.000020,0.000023,0.000017,0.000017,188,"290,265"
"Jun 14, 2017",0.000013,0.000021,0.000013,0.000020,253,"188,109"
"Jun 13, 2017",0.000014,0.000027,0.000012,0.000013,399,"209,555"
"Jun 12, 2017",0.000020,0.000034,0.000014,0.000014,"2,987","282,602"
"Jun 11, 2017",0.000023,0.000025,0.000019,0.000019,108,"329,986"
"Jun 10, 2017",0.000090,0.000091,0.000016,0.000023,249,"1,300,210"
"Jun 09, 2017",0.000041,0.000210,0.000013,0.000090,"2,032","595,665"
"Jun 08, 2017",0.000013,0.000048,0.000013,0.000041,131,"188,501"
"Jun 07, 2017",0.000015,0.000015,0.000011,0.000013,111,"210,163"
"Jun 06, 2017",0.000009,0.000082,0.000009,0.000014,"1,168","131,032"
"Jun 05, 2017",0.000011,0.000012,0.000008,0.000009,336,"157,367"
"Jun 04, 2017",0.000008,0.000012,0.000008,0.000011,28,"114,087"
"Jun 03, 2017",0.000010,0.000011,0.000008,0.000008,0,"151,614"
"Jun 02, 2017",0.000010,0.000011,0.000007,0.000010,11,"144,782"
"Jun 01, 2017",0.000008,0.000010,0.000008,0.000010,18,"117,739"
"May 31, 2017",0.000008,0.000009,0.000007,0.000008,22,"114,797"
"May 30, 2017",0.000008,0.000009,0.000008,0.000008,28,"115,291"
"May 29, 2017",0.000008,0.000061,0.000008,0.000008,98,"120,521"
"May 28, 2017",0.000028,0.000032,0.000008,0.000008,92,"404,779"
"May 27, 2017",0.000009,0.000028,0.000006,0.000028,2,"123,609"
"May 26, 2017",0.000009,0.000010,0.000008,0.000009,147,"126,355"
"May 25, 2017",0.000012,0.000013,0.000009,0.000009,57,"174,640"
"May 24, 2017",0.000010,0.000012,0.000010,0.000012,8,"149,492"
"May 23, 2017",0.000009,0.000038,0.000009,0.000010,7,"126,018"
"May 22, 2017",0.000009,0.000009,0.000008,0.000009,32,"131,157"
"May 21, 2017",0.000010,0.000010,0.000009,0.000009,109,"140,893"
