Date,Open,High,Low,Close,Volume,Market Cap
"Aug 25, 2016",0.000580,0.000580,0.000576,0.000576,0,"11,213"
"Aug 24, 2016",0.000117,0.000583,0.000117,0.000580,0,"2,253"
"Aug 12, 2016",0.001414,0.001414,0.001401,0.001409,0,"27,325"
"Aug 11, 2016",0.001424,0.001434,0.001414,0.001414,0,"27,518"
"Aug 03, 2016",0.001631,0.001658,0.001614,0.001658,75,"31,530"
"Aug 02, 2016",0.001788,0.001810,0.001583,0.001621,74,"34,563"
"Jun 06, 2016",0.002300,0.002344,0.002298,0.002334,74,"44,449"
"Jun 05, 2016",0.002297,0.002331,0.002277,0.002300,73,"44,387"
"Jun 01, 2016",0.002126,0.002172,0.002103,0.002147,12,"41,079"
"May 31, 2016",0.002123,0.002135,0.002083,0.002126,12,"41,024"
"Jan 05, 2016",0.000243,0.000246,0.000242,0.000246,0,"4,687"
"Jan 04, 2016",0.000254,0.000255,0.000241,0.000243,0,"4,903"
"Jan 03, 2016",0.000260,0.000260,0.000234,0.000254,1,"5,026"
"Jan 02, 2016",0.000239,0.000260,0.000238,0.000260,0,"4,617"
"Jan 01, 2016",0.000215,0.000239,0.000214,0.000239,3,"4,161"
"Dec 31, 2015",0.000213,0.000216,0.000209,0.000215,0,"4,123"
"Dec 30, 2015",0.000216,0.000221,0.000211,0.000213,0,"4,184"
"Dec 29, 2015",0.000224,0.000233,0.000214,0.000216,14,"4,325"
"Dec 28, 2015",0.000228,0.000232,0.000222,0.000224,0,"4,413"
"Dec 27, 2015",0.000259,0.000340,0.000226,0.000228,2,"5,000"
"Dec 26, 2015",0.000342,0.000343,0.000256,0.000259,2,"6,605"
"Dec 25, 2015",0.000382,0.000385,0.000342,0.000342,0,"7,386"
"Dec 24, 2015",0.000265,0.000383,0.000265,0.000382,2,"5,130"
"Dec 23, 2015",0.000371,0.000376,0.000263,0.000265,1,"7,172"
"Dec 22, 2015",0.000364,0.000376,0.000262,0.000372,7,"7,036"
"Dec 21, 2015",0.000266,0.000373,0.000256,0.000364,2,"5,133"
"Dec 20, 2015",0.000291,0.000378,0.000261,0.000265,1,"5,629"
"Dec 19, 2015",0.000278,0.000293,0.000276,0.000291,1,"5,376"
"Dec 18, 2015",0.000310,0.000348,0.000274,0.000278,10,"5,994"
"Dec 17, 2015",0.000278,0.000314,0.000274,0.000310,0,"5,363"
"Dec 16, 2015",0.000275,0.000277,0.000262,0.000277,0,"5,306"
"Dec 15, 2015",0.000262,0.000274,0.000262,0.000274,50,"5,065"
"Dec 14, 2015",0.000256,0.000264,0.000252,0.000262,0,"4,946"
"Dec 13, 2015",0.000257,0.000269,0.000251,0.000256,4,"4,960"
"Dec 12, 2015",0.000289,0.000300,0.000242,0.000257,7,"5,590"
"Dec 11, 2015",0.000249,0.000294,0.000249,0.000288,0,"4,818"
"Dec 10, 2015",0.000322,0.000325,0.000249,0.000249,80,"6,214"
"Dec 09, 2015",0.000312,0.000322,0.000305,0.000321,9,"6,023"
"Dec 08, 2015",0.000360,0.000361,0.000292,0.000310,0,"6,956"
"Dec 07, 2015",0.000327,0.000361,0.000292,0.000360,0,"6,312"
"Dec 06, 2015",0.000296,0.000335,0.000292,0.000329,7,"5,713"
"Dec 05, 2015",0.000276,0.000323,0.000276,0.000296,3,"5,334"
"Dec 04, 2015",0.000282,0.000330,0.000270,0.000276,16,"5,443"
"Dec 03, 2015",0.000334,0.000348,0.000273,0.000282,9,"6,456"
