Date,Open,High,Low,Close,Volume,Market Cap
"Oct 09, 2017",22.84,26.34,18.70,19.38,"369,834","12,786,800"
"Oct 08, 2017",21.17,24.10,19.97,22.86,"1,029,260","11,852,000"
"Oct 07, 2017",22.17,22.17,20.45,21.13,"44,280","12,411,400"
"Oct 06, 2017",22.46,23.04,21.68,22.16,"55,524","12,574,800"
"Oct 05, 2017",23.18,23.39,21.57,22.46,"63,553","12,977,100"
"Oct 04, 2017",22.97,25.37,22.07,23.16,"666,590","12,860,600"
"Oct 03, 2017",24.21,24.74,22.47,22.92,"100,036","13,551,300"
"Oct 02, 2017",25.44,25.74,23.75,24.20,"92,421","14,239,900"
"Oct 01, 2017",26.95,28.13,24.85,25.45,"368,433","15,085,400"
"Sep 30, 2017",25.81,27.43,25.77,26.93,"546,115","14,450,700"
"Sep 29, 2017",26.48,26.57,24.96,25.64,"71,375","14,821,800"
"Sep 28, 2017",26.63,27.38,25.79,26.40,"65,499","14,907,100"
"Sep 27, 2017",25.67,27.15,25.22,26.41,"97,720","14,369,400"
"Sep 26, 2017",26.02,26.80,25.40,25.74,"98,657","14,568,500"
"Sep 25, 2017",25.90,27.83,24.51,25.99,"369,542","14,499,900"
"Sep 24, 2017",23.72,27.90,22.29,26.45,"1,834,200","13,277,700"
"Sep 23, 2017",22.40,23.72,22.28,23.61,"40,888","12,540,800"
"Sep 22, 2017",22.71,24.06,22.03,22.39,"36,257","12,713,300"
"Sep 21, 2017",25.43,26.91,22.62,22.74,"196,909","14,235,000"
"Sep 20, 2017",25.34,26.79,25.05,25.56,"96,723","14,184,300"
"Sep 19, 2017",26.31,27.87,24.68,25.37,"113,419","14,728,000"
"Sep 18, 2017",23.68,29.03,23.68,26.25,"135,525","13,257,500"
"Sep 17, 2017",23.12,24.46,22.08,23.73,"64,947","12,944,000"
"Sep 16, 2017",23.72,25.30,22.20,23.46,"144,153","13,277,900"
"Sep 15, 2017",21.52,24.61,18.93,23.78,"122,332","12,047,700"
"Sep 14, 2017",27.76,28.57,21.36,21.36,"149,266","15,538,000"
"Sep 13, 2017",30.37,30.94,26.61,27.80,"173,647","16,996,700"
"Sep 12, 2017",30.85,33.48,30.19,30.95,"216,330","17,268,000"
"Sep 11, 2017",30.87,31.86,29.39,30.82,"178,468","17,275,900"
"Sep 10, 2017",32.88,33.77,29.42,30.92,"113,102","18,402,300"
