Date,Open,High,Low,Close,Volume,Market Cap
"Sep 06, 2016",0.002408,0.002408,0.002221,0.002240,676,"24,258"
"Sep 05, 2016",0.002854,0.003020,0.001224,0.002408,567,"28,753"
"Sep 04, 2016",0.003039,0.004224,0.002542,0.002854,550,"30,611"
"Sep 03, 2016",0.004081,0.004081,0.002591,0.003037,"1,214","41,104"
"Sep 02, 2016",0.003434,0.006085,0.003182,0.004081,"3,719","34,589"
"Sep 01, 2016",0.003148,0.004092,0.002412,0.003434,462,"31,708"
"Aug 31, 2016",0.001981,0.004387,0.001980,0.003147,"1,611","19,953"
"Aug 30, 2016",0.002009,0.002221,0.001979,0.001980,412,"20,241"
"Aug 29, 2016",0.002135,0.002304,0.001967,0.002009,185,"21,505"
"Aug 28, 2016",0.002120,0.002141,0.001962,0.002135,294,"21,357"
"Aug 27, 2016",0.002817,0.002822,0.002127,0.002127,537,"28,377"
"Aug 26, 2016",0.002432,0.003643,0.001876,0.002817,639,"24,501"
"Aug 25, 2016",0.001450,0.004084,0.001450,0.002433,"2,044","14,611"
"Aug 24, 2016",0.004317,0.006687,0.001450,0.001450,"2,041","43,488"
"Aug 23, 2016",0.010409,0.010665,0.003268,0.004318,"7,954","104,850"
"Aug 22, 2016",0.010580,0.011186,0.009376,0.010410,527,"106,571"
"Aug 21, 2016",0.010756,0.010787,0.010103,0.010582,239,"108,342"
"Aug 20, 2016",0.011035,0.011052,0.010147,0.010756,463,"111,154"
"Aug 19, 2016",0.011067,0.011092,0.010909,0.011036,9,"111,479"
"Aug 18, 2016",0.011046,0.011098,0.010684,0.011064,319,"111,266"
"Aug 17, 2016",0.011127,0.011194,0.010682,0.011049,175,"112,085"
"Aug 16, 2016",0.010908,0.011208,0.010748,0.011125,196,"109,877"
"Aug 15, 2016",0.010508,0.011212,0.010317,0.010906,145,"105,848"
"Aug 14, 2016",0.011103,0.011103,0.010270,0.010507,237,"111,838"
"Aug 13, 2016",0.011164,0.011224,0.009549,0.011102,"1,062","112,451"
"Aug 12, 2016",0.011782,0.011786,0.010595,0.011165,120,"118,685"
"Aug 11, 2016",0.013778,0.013792,0.009840,0.011787,393,"138,788"
"Aug 10, 2016",0.010240,0.014682,0.009424,0.013772,"1,524","103,143"
"Aug 09, 2016",0.013458,0.013459,0.010225,0.010243,212,"135,566"
"Aug 08, 2016",0.010052,0.013477,0.008858,0.013456,751,"101,254"
"Aug 07, 2016",0.010010,0.010058,0.008431,0.010051,261,"100,830"
"Aug 06, 2016",0.009977,0.010109,0.008936,0.010010,311,"100,499"
"Aug 05, 2016",0.009790,0.009993,0.009750,0.009980,4,"98,619"
"Aug 04, 2016",0.008954,0.009793,0.008930,0.009790,41,"90,195"
"Aug 03, 2016",0.009203,0.009780,0.008566,0.008955,50,"92,701"
"Aug 02, 2016",0.012265,0.012293,0.008880,0.009144,69,"123,545"
"Aug 01, 2016",0.011869,0.013644,0.010125,0.012259,354,"119,556"
"Jul 31, 2016",0.013402,0.013403,0.011863,0.011876,46,"135,002"
"Jul 30, 2016",0.010670,0.014272,0.010651,0.013402,211,"107,474"
"Jul 29, 2016",0.010094,0.010782,0.009967,0.010669,53,"101,678"
"Jul 28, 2016",0.012204,0.012410,0.010095,0.010095,65,"122,928"
"Jul 27, 2016",0.009979,0.014261,0.008598,0.012203,"1,475","100,517"
"Jul 26, 2016",0.011244,0.011266,0.008507,0.009984,509,"113,260"
"Jul 25, 2016",0.011678,0.011688,0.011039,0.011241,520,"117,636"
"Jul 24, 2016",0.013485,0.013485,0.011035,0.011677,217,"135,833"
"Jul 23, 2016",0.013416,0.013491,0.012709,0.013486,160,"135,138"
"Jul 22, 2016",0.012589,0.015149,0.012566,0.013414,77,"126,806"
"Jul 21, 2016",0.011969,0.014504,0.011705,0.012584,214,"120,564"
"Jul 20, 2016",0.011452,0.011973,0.011207,0.011971,100,"115,357"
"Jul 19, 2016",0.010622,0.011971,0.010470,0.011453,66,"106,992"
"Jul 18, 2016",0.011388,0.011423,0.010360,0.010626,76,"114,709"
"Jul 17, 2016",0.011068,0.012162,0.010292,0.011377,122,"111,486"
"Jul 16, 2016",0.010818,0.016531,0.009546,0.011317,998,"108,967"
"Jul 15, 2016",0.009687,0.011690,0.009292,0.011690,85,"97,577"
"Jul 14, 2016",0.009954,0.010172,0.008836,0.009683,113,"100,272"
"Jul 13, 2016",0.010945,0.011119,0.007764,0.009973,218,"110,251"
"Jul 12, 2016",0.009980,0.011121,0.009817,0.010945,126,"100,533"
"Jul 11, 2016",0.011435,0.012588,0.009234,0.009981,403,"115,187"
"Jul 10, 2016",0.012056,0.013012,0.007554,0.011442,"1,422","121,438"
"Jul 09, 2016",0.009998,0.025657,0.006424,0.012244,"14,325","100,709"
"Jul 08, 2016",0.008968,0.010090,0.006193,0.010001,449,"90,334"
