Date,Open,High,Low,Close,Volume,Market Cap
"Feb 21, 2016",0.000263,0.000269,0.000258,0.000260,0,452
"Feb 20, 2016",0.000252,0.000265,0.000252,0.000262,0,435
"Feb 19, 2016",0.000252,0.000252,0.000252,0.000252,0,434
"Feb 16, 2016",0.000292,0.000299,0.000292,0.000298,0,503
"Feb 15, 2016",0.000296,0.000297,0.000290,0.000292,1,509
"Feb 14, 2016",0.000396,0.000408,0.000396,0.000408,4,681
"Feb 13, 2016",0.000576,0.000587,0.000394,0.000395,7,992
"Feb 12, 2016",0.000588,0.000597,0.000575,0.000576,7,"1,013"
"Feb 11, 2016",0.000585,0.000588,0.000583,0.000588,1,"1,007"
"Feb 09, 2016",0.000586,0.000589,0.000585,0.000589,1,"1,009"
"Feb 08, 2016",0.000595,0.000595,0.000586,0.000586,1,"1,024"
"Feb 07, 2016",0.000753,0.000757,0.000751,0.000754,1,"1,296"
"Feb 06, 2016",0.000812,0.000812,0.000748,0.000753,3,"1,397"
"Feb 05, 2016",0.000819,0.000820,0.000810,0.000811,0,"1,411"
"Feb 04, 2016",0.000777,0.000786,0.000777,0.000786,3,"1,337"
"Feb 03, 2016",0.000805,0.000806,0.000773,0.000777,3,"1,386"
"Feb 02, 2016",0.000933,0.000936,0.000803,0.000805,0,"1,605"
"Feb 01, 2016",0.000553,0.000945,0.000552,0.000932,0,952
"Jan 31, 2016",0.000590,0.000593,0.000552,0.000553,1,"1,016"
"Jan 30, 2016",0.000590,0.000594,0.000588,0.000590,0,"1,016"
"Jan 29, 2016",0.000593,0.000600,0.000570,0.000589,2,"1,021"
"Jan 28, 2016",0.000577,0.000600,0.000555,0.000593,2,993
"Jan 27, 2016",0.000576,0.000578,0.000576,0.000577,1,991
"Jan 05, 2016",0.001858,0.001863,0.001740,0.001749,2,"3,198"
"Jan 04, 2016",0.001849,0.001949,0.001845,0.001858,6,"3,183"
"Jan 03, 2016",0.001950,0.001952,0.001826,0.001848,3,"3,357"
"Jan 02, 2016",0.001976,0.001984,0.001948,0.001950,2,"3,402"
"Jan 01, 2016",0.001968,0.001994,0.001954,0.001975,28,"3,387"
"Dec 31, 2015",0.001992,0.001992,0.001914,0.001968,15,"3,429"
"Dec 30, 2015",0.002026,0.002033,0.001975,0.001991,2,"3,488"
"Dec 29, 2015",0.002111,0.002144,0.001999,0.002023,13,"3,634"
"Dec 28, 2015",0.002114,0.002149,0.002092,0.002112,1,"3,639"
"Dec 27, 2015",0.001911,0.002120,0.001897,0.002111,2,"3,290"
"Dec 26, 2015",0.002087,0.002095,0.001858,0.001914,1,"3,592"
"Dec 25, 2015",0.002102,0.002117,0.002083,0.002086,0,"3,618"
"Dec 24, 2015",0.002212,0.002292,0.002091,0.002103,1,"3,808"
"Dec 23, 2015",0.002017,0.002218,0.002017,0.002211,2,"3,472"
"Dec 22, 2015",0.002092,0.002187,0.001990,0.002020,11,"3,602"
"Dec 21, 2015",0.002027,0.002094,0.001957,0.002092,4,"3,490"
"Dec 20, 2015",0.002247,0.002248,0.001989,0.002026,2,"3,868"
"Dec 19, 2015",0.002202,0.002276,0.002102,0.002246,1,"3,791"
"Dec 18, 2015",0.002226,0.002273,0.002103,0.002202,1,"3,831"
"Dec 17, 2015",0.002079,0.002227,0.002051,0.002227,8,"3,579"
"Dec 16, 2015",0.002140,0.002140,0.002028,0.002078,3,"3,685"
"Dec 15, 2015",0.002065,0.002137,0.002064,0.002135,5,"3,555"
"Dec 14, 2015",0.001982,0.002079,0.001973,0.002066,1,"3,412"
"Dec 13, 2015",0.001988,0.002029,0.001948,0.001985,8,"3,422"
"Dec 12, 2015",0.002065,0.002144,0.001877,0.001992,5,"3,555"
"Dec 11, 2015",0.001903,0.002064,0.001902,0.002060,56,"3,276"
"Dec 10, 2015",0.002025,0.002035,0.001885,0.001904,0,"3,486"
"Dec 09, 2015",0.001899,0.002044,0.001887,0.002024,20,"3,269"
"Dec 08, 2015",0.001808,0.001888,0.001782,0.001888,23,"3,112"
"Dec 07, 2015",0.001816,0.001828,0.001761,0.001808,10,"3,125"
"Dec 06, 2015",0.001778,0.001911,0.001769,0.001829,8,"3,060"
"Dec 05, 2015",0.001663,0.001875,0.001663,0.001777,2,"2,863"
"Dec 04, 2015",0.001650,0.001785,0.001626,0.001663,2,"2,840"
"Dec 03, 2015",0.001641,0.001815,0.001633,0.001650,3,"2,826"
"Dec 02, 2015",0.001657,0.001782,0.001597,0.001640,1,"2,852"
"Dec 01, 2015",0.001894,0.001933,0.001629,0.001656,1,"3,261"
"Nov 30, 2015",0.001712,0.001927,0.001705,0.001894,1,"2,946"
"Nov 29, 2015",0.001644,0.001898,0.001633,0.001898,8,"2,830"
"Nov 28, 2015",0.001693,0.001860,0.001617,0.001642,2,"2,914"
"Nov 27, 2015",0.001696,0.001898,0.001677,0.001697,2,"2,919"
"Nov 26, 2015",0.001642,0.001829,0.001580,0.001700,1,"2,826"
"Nov 25, 2015",0.001607,0.001744,0.001590,0.001641,4,"2,766"
"Nov 24, 2015",0.001622,0.001720,0.001597,0.001607,3,"2,792"
"Nov 23, 2015",0.001762,0.001762,0.001606,0.001621,2,"3,033"
"Nov 22, 2015",0.001543,0.001790,0.001538,0.001754,12,"2,656"
"Nov 21, 2015",0.001472,0.001646,0.001461,0.001542,3,"2,533"
"Nov 20, 2015",0.001507,0.001733,0.001458,0.001472,4,"2,594"
"Nov 19, 2015",0.001559,0.001768,0.001503,0.001506,4,"2,684"
"Nov 18, 2015",0.001532,0.001716,0.001514,0.001558,2,"2,638"
"Nov 17, 2015",0.001548,0.001657,0.001520,0.001535,8,"2,664"
"Nov 16, 2015",0.001482,0.001555,0.001455,0.001548,2,"2,552"
