Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.000608,0.000616,0.000556,0.000561,440,"478,793"
"Sep 30, 2017",0.000572,0.000629,0.000561,0.000608,889,"449,919"
"Sep 29, 2017",0.000653,0.000653,0.000504,0.000571,152,"514,204"
"Sep 28, 2017",0.000550,0.002174,0.000541,0.000653,71,"432,927"
"Sep 27, 2017",0.000521,0.000629,0.000521,0.000550,446,"410,053"
"Sep 26, 2017",0.000569,0.000615,0.000518,0.000522,434,"448,259"
"Sep 25, 2017",0.000478,0.000585,0.000478,0.000568,463,"376,376"
"Sep 24, 2017",0.000534,0.000534,0.000477,0.000479,133,"420,567"
"Sep 23, 2017",0.000468,0.000534,0.000465,0.000534,298,"368,165"
"Sep 22, 2017",0.000543,0.000553,0.000426,0.000469,666,"427,514"
"Sep 21, 2017",0.000544,0.000554,0.000478,0.000544,"1,015","428,255"
"Sep 20, 2017",0.000548,0.000610,0.000510,0.000547,669,"431,498"
"Sep 19, 2017",0.000537,0.000609,0.000503,0.000549,"1,501","422,792"
"Sep 18, 2017",0.000476,0.000539,0.000444,0.000536,86,"374,918"
"Sep 17, 2017",0.000446,0.000493,0.000424,0.000477,285,"350,783"
"Sep 16, 2017",0.000482,0.000505,0.000427,0.000446,102,"379,529"
"Sep 15, 2017",0.000390,0.000497,0.000333,0.000483,208,"307,102"
"Sep 14, 2017",0.000504,0.000511,0.000355,0.000387,"3,055","396,849"
"Sep 13, 2017",0.000581,0.000583,0.000504,0.000504,508,"457,577"
"Sep 12, 2017",0.000631,0.000645,0.000537,0.000584,276,"496,732"
"Sep 11, 2017",0.000571,0.000631,0.000543,0.000631,87,"449,814"
"Sep 10, 2017",0.000650,0.000650,0.000537,0.000562,185,"511,646"
"Sep 09, 2017",0.000560,0.000681,0.000541,0.000652,954,"440,432"
"Sep 08, 2017",0.000697,0.000708,0.000534,0.000558,213,"549,009"
"Sep 07, 2017",0.000600,0.000700,0.000587,0.000698,431,"472,277"
"Sep 06, 2017",0.000616,0.000695,0.000593,0.000601,351,"485,213"
"Sep 05, 2017",0.000603,0.000671,0.000568,0.000616,275,"474,461"
