Date,Open,High,Low,Close,Volume,Market Cap
"Jan 05, 2016",0.000325,0.000326,0.000168,0.000168,0,731
"Jan 04, 2016",0.000318,0.000326,0.000301,0.000325,1,716
"Jan 03, 2016",0.000303,0.000318,0.000297,0.000318,0,683
"Jan 02, 2016",0.000130,0.000317,0.000130,0.000303,1,293
"Jan 01, 2016",0.000362,0.000366,0.000130,0.000130,1,814
"Dec 31, 2015",0.000213,0.000364,0.000148,0.000362,13,480
"Dec 30, 2015",0.000281,0.000581,0.000121,0.000213,7,634
"Dec 29, 2015",0.000343,0.000593,0.000280,0.000281,14,771
"Dec 27, 2015",0.000601,0.000611,0.000589,0.000608,0,"1,353"
"Dec 26, 2015",0.000661,0.000661,0.000311,0.000602,2,"1,487"
"Dec 25, 2015",0.000346,0.000661,0.000344,0.000661,1,778
"Dec 24, 2015",0.000314,0.000679,0.000314,0.000346,0,707
"Dec 23, 2015",0.000650,0.000769,0.000307,0.000314,1,"1,464"
"Dec 22, 2015",0.000474,0.000783,0.000311,0.000652,4,"1,066"
"Dec 21, 2015",0.000792,0.000793,0.000309,0.000474,2,"1,784"
"Dec 20, 2015",0.000305,0.000795,0.000303,0.000792,1,687
"Dec 19, 2015",0.000306,0.000307,0.000301,0.000305,17,689
"Dec 18, 2015",0.000347,0.000492,0.000303,0.000306,0,780
"Dec 17, 2015",0.000346,0.000348,0.000341,0.000347,0,778
"Dec 16, 2015",0.000484,0.000508,0.000345,0.000346,32,"1,089"
"Dec 15, 2015",0.000617,0.000638,0.000477,0.000483,63,"1,390"
"Dec 14, 2015",0.000603,0.000621,0.000598,0.000618,0,"1,357"
"Dec 13, 2015",0.000591,0.000614,0.000587,0.000604,4,"1,331"
"Dec 12, 2015",0.000637,0.000661,0.000579,0.000600,0,"1,435"
"Dec 11, 2015",0.000578,0.000637,0.000577,0.000635,0,"1,300"
"Dec 10, 2015",0.000572,0.000608,0.000564,0.000578,4,"1,288"
"Dec 09, 2015",0.000575,0.000580,0.000557,0.000572,0,"1,295"
"Dec 07, 2015",0.000622,0.000635,0.000617,0.000633,0,"1,400"
"Dec 06, 2015",0.000545,0.000639,0.000545,0.000627,2,"1,226"
"Dec 05, 2015",0.000577,0.000594,0.000524,0.000544,7,"1,300"
