Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",4.67,4.71,4.47,4.52,"32,794","8,650,460"
"Sep 30, 2017",4.58,4.79,4.51,4.67,"76,517","8,487,430"
"Sep 29, 2017",4.73,4.73,4.55,4.58,"53,498","8,757,690"
"Sep 28, 2017",4.79,5.20,4.73,4.73,"158,081","8,874,440"
"Sep 27, 2017",4.53,4.87,4.46,4.80,"134,528","8,380,160"
"Sep 26, 2017",4.61,4.67,4.44,4.53,"50,461","8,528,290"
"Sep 25, 2017",4.41,4.71,4.39,4.61,"113,767","8,160,590"
"Sep 24, 2017",4.68,4.68,4.41,4.43,"71,485","8,651,910"
"Sep 23, 2017",4.41,4.71,4.39,4.69,"120,979","8,152,010"
"Sep 22, 2017",4.53,4.72,4.34,4.42,"83,650","8,358,860"
"Sep 21, 2017",4.67,4.69,4.16,4.25,"13,785","8,615,570"
"Sep 20, 2017",4.31,4.71,4.24,4.56,"15,056","7,955,370"
"Sep 19, 2017",4.84,4.84,4.32,4.42,"10,402","8,918,750"
"Sep 18, 2017",4.60,4.98,4.39,4.83,"16,256","8,486,780"
"Sep 17, 2017",4.72,4.74,3.98,4.59,"23,261","8,695,130"
"Sep 16, 2017",4.28,5.52,4.23,4.64,"52,838","7,883,160"
"Sep 15, 2017",2.84,4.83,2.57,4.39,"28,728","5,225,310"
"Sep 14, 2017",3.00,3.07,2.74,2.86,"14,825","5,507,210"
"Sep 13, 2017",3.00,3.08,2.65,2.95,"13,861","5,516,660"
"Sep 12, 2017",2.94,3.28,2.90,2.98,"8,248","5,388,890"
"Sep 11, 2017",3.22,3.31,2.92,2.94,"7,439","5,917,450"
"Sep 10, 2017",3.66,3.72,3.11,3.22,"9,114","6,704,260"
"Sep 09, 2017",3.35,4.68,3.29,3.74,"11,116","6,131,820"
"Sep 08, 2017",4.12,4.57,3.04,3.50,"54,515","7,547,010"
"Sep 07, 2017",3.64,4.52,3.27,3.82,"9,637","6,659,540"
"Sep 06, 2017",3.27,3.84,3.26,3.64,"10,919","5,981,560"
"Sep 05, 2017",3.29,4.30,2.95,3.22,"13,072","6,012,000"
"Sep 04, 2017",3.59,3.59,2.75,3.28,"19,917","6,562,070"
"Sep 03, 2017",3.63,3.78,3.30,3.50,"7,673","6,622,810"
"Sep 02, 2017",4.22,4.41,3.53,3.64,"11,412","7,696,650"
"Sep 01, 2017",3.93,4.92,3.85,4.22,"15,476","7,171,270"
"Aug 31, 2017",3.85,4.07,3.71,4.00,"8,214","7,014,360"
"Aug 30, 2017",3.66,4.63,3.43,3.83,"18,305","6,667,210"
"Aug 29, 2017",3.25,3.76,3.24,3.62,"13,978","5,916,610"
"Aug 28, 2017",2.76,3.33,2.60,3.23,"13,278","5,025,020"
