Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.098217,0.102041,0.093460,0.100242,54,"298,903"
"Sep 30, 2017",0.090624,0.110572,0.089300,0.098164,180,"275,731"
"Sep 29, 2017",0.110556,0.110556,0.089803,0.090611,23,"336,295"
"Sep 28, 2017",0.111354,0.112243,0.097424,0.110640,119,"338,638"
"Sep 27, 2017",0.106529,0.111845,0.096371,0.111615,105,"323,890"
"Sep 26, 2017",0.112976,0.113386,0.095038,0.106791,145,"343,407"
"Sep 25, 2017",0.142012,0.142299,0.073577,0.106627,"1,075","431,566"
"Sep 24, 2017",0.140368,0.159557,0.126305,0.139663,315,"426,467"
"Sep 23, 2017",0.143247,0.150548,0.137441,0.140260,89,"435,112"
"Sep 22, 2017",0.147270,0.156110,0.136558,0.143819,46,"447,223"
"Sep 21, 2017",0.141218,0.158974,0.130163,0.147474,105,"428,747"
"Sep 20, 2017",0.136664,0.174934,0.135942,0.141896,121,"414,822"
"Sep 19, 2017",0.130709,0.173821,0.123333,0.136826,156,"396,659"
"Sep 18, 2017",0.129189,0.152015,0.129189,0.130737,54,"391,949"
"Sep 17, 2017",0.125272,0.134077,0.112308,0.129415,115,"379,976"
"Sep 16, 2017",0.127898,0.134691,0.113259,0.125345,276,"387,851"
"Sep 15, 2017",0.103734,0.132184,0.099871,0.128384,86,"314,494"
"Sep 14, 2017",0.140160,0.141941,0.102978,0.102978,213,"424,829"
"Sep 13, 2017",0.185352,0.186108,0.133148,0.140121,82,"561,674"
"Sep 12, 2017",0.138916,0.186207,0.138916,0.186147,86,"420,856"
"Sep 11, 2017",0.158466,0.163928,0.137294,0.138801,29,"479,970"
"Sep 10, 2017",0.143162,0.161033,0.136099,0.158718,12,"433,510"
"Sep 09, 2017",0.167388,0.186046,0.138422,0.143908,45,"506,753"
"Sep 08, 2017",0.232696,0.232696,0.133351,0.167112,961,"704,294"
"Sep 07, 2017",0.207660,0.233489,0.201488,0.233042,441,"628,366"
"Sep 06, 2017",0.198070,0.216078,0.197983,0.208058,"1,176","599,203"
"Sep 05, 2017",0.193774,0.201574,0.182561,0.197844,194,"586,066"
"Sep 04, 2017",0.212125,0.212273,0.190002,0.192774,87,"641,412"
"Sep 03, 2017",0.212166,0.231340,0.203869,0.212059,41,"641,378"
"Sep 02, 2017",0.246685,0.248988,0.205959,0.212032,106,"745,549"
"Sep 01, 2017",0.264479,0.270680,0.225761,0.246373,791,"799,133"
"Aug 31, 2017",0.222265,0.284245,0.216118,0.245636,323,"671,422"
"Aug 30, 2017",0.216116,0.222653,0.211487,0.222653,38,"652,687"
"Aug 29, 2017",0.233648,0.243406,0.216082,0.216406,114,"705,462"
"Aug 28, 2017",0.219437,0.240041,0.212070,0.233127,163,"662,397"
"Aug 27, 2017",0.217240,0.241643,0.215828,0.219668,55,"655,606"
"Aug 26, 2017",0.199900,0.259934,0.175489,0.217289,"1,808","603,127"
"Aug 25, 2017",0.201123,0.203666,0.190764,0.199831,30,"606,671"
"Aug 24, 2017",0.207651,0.244533,0.192594,0.201437,290,"626,207"
"Aug 23, 2017",0.233483,0.241207,0.185471,0.207557,"1,334","703,944"
"Aug 22, 2017",0.224841,0.254859,0.205689,0.233908,86,"677,722"
"Aug 21, 2017",0.241775,0.292165,0.224129,0.224129,133,"728,589"
"Aug 20, 2017",0.242771,0.267700,0.235709,0.242725,114,"731,415"
"Aug 19, 2017",0.260836,0.276148,0.237831,0.243682,331,"785,647"
"Aug 18, 2017",0.256716,0.289760,0.246498,0.259836,174,"773,055"
"Aug 17, 2017",0.307197,0.310027,0.251764,0.257499,598,"924,844"
"Aug 16, 2017",0.290713,0.307537,0.282219,0.307481,69,"875,001"
"Aug 15, 2017",0.294553,0.309421,0.279342,0.298379,272,"886,341"
"Aug 14, 2017",0.286600,0.303987,0.276797,0.293828,272,"862,198"
"Aug 13, 2017",0.288634,0.303884,0.272581,0.286391,155,"868,107"
"Aug 12, 2017",0.264495,0.318212,0.263658,0.288834,757,"795,314"
"Aug 11, 2017",0.277614,0.288088,0.263281,0.264709,181,"834,557"
"Aug 10, 2017",0.268512,0.278813,0.247291,0.277622,541,"806,998"
"Aug 09, 2017",0.294241,0.294820,0.233616,0.268484,430,"884,110"
"Aug 08, 2017",0.336318,0.355098,0.274833,0.294429,308,"1,010,300"
"Aug 07, 2017",0.318743,0.337864,0.239701,0.336062,652,"957,264"
"Aug 06, 2017",0.290281,0.323622,0.259764,0.319270,613,"871,580"
"Aug 05, 2017",0.288030,0.315607,0.276805,0.289890,362,"864,611"
"Aug 04, 2017",0.268331,0.333534,0.264686,0.288131,322,"805,281"
"Aug 03, 2017",0.253147,0.273090,0.224020,0.268097,750,"759,529"
"Aug 02, 2017",0.219686,0.255278,0.211680,0.252680,810,"658,973"
"Aug 01, 2017",0.211499,0.239566,0.188525,0.219695,641,"634,262"
"Jul 31, 2017",0.256401,0.256628,0.191874,0.211284,"1,087","768,732"
"Jul 30, 2017",0.260849,0.261437,0.221367,0.255896,29,"781,878"
"Jul 29, 2017",0.262787,0.274999,0.248699,0.260897,228,"787,492"
"Jul 28, 2017",0.243197,0.264542,0.232864,0.263112,348,"728,618"
"Jul 27, 2017",0.237847,0.250724,0.235276,0.242993,107,"712,417"
"Jul 26, 2017",0.233302,0.240943,0.225474,0.237288,172,"698,630"
"Jul 25, 2017",0.258615,0.261771,0.198442,0.233233,485,"774,246"
"Jul 24, 2017",0.257519,0.261060,0.253428,0.258493,111,"770,778"
"Jul 23, 2017",0.245055,0.264738,0.231739,0.257877,"2,052","733,291"
"Jul 22, 2017",0.230911,0.252791,0.229834,0.245145,227,"690,802"
"Jul 21, 2017",0.255913,0.255913,0.226920,0.230906,70,"765,407"
"Jul 20, 2017",0.210514,0.259767,0.205475,0.254425,84,"629,469"
"Jul 19, 2017",0.187661,0.211139,0.173389,0.211139,839,"560,999"
"Jul 18, 2017",0.194897,0.219680,0.185232,0.187532,197,"582,492"
"Jul 17, 2017",0.164872,0.198140,0.164872,0.194355,95,"492,634"
"Jul 16, 2017",0.177498,0.183834,0.156835,0.165040,604,"530,227"
"Jul 15, 2017",0.173006,0.188604,0.150815,0.178048,"2,304","516,683"
"Jul 14, 2017",0.164257,0.176367,0.154169,0.173269,516,"490,437"
"Jul 13, 2017",0.124441,0.178416,0.120099,0.164332,"2,851","371,462"
"Jul 12, 2017",0.113402,0.133145,0.112538,0.124349,"1,002","338,430"
"Jul 11, 2017",0.118090,0.122934,0.109041,0.113730,133,"352,334"
"Jul 10, 2017",0.130777,0.131201,0.117486,0.118405,160,"390,097"
"Jul 09, 2017",0.132289,0.133817,0.126390,0.130549,43,"394,510"
"Jul 08, 2017",0.124811,0.132437,0.122355,0.132176,23,"372,116"
"Jul 07, 2017",0.136432,0.136926,0.123567,0.124738,705,"406,666"
"Jul 06, 2017",0.141083,0.141234,0.135384,0.136423,176,"420,425"
"Jul 05, 2017",0.140464,0.142027,0.133810,0.141019,558,"418,478"
"Jul 04, 2017",0.126286,0.196299,0.125910,0.139929,752,"376,147"
