Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.003995,0.004700,0.003920,0.003995,222,"242,989"
"Sep 30, 2017",0.004056,0.004155,0.003783,0.003993,507,"246,562"
"Sep 29, 2017",0.003904,0.004539,0.003884,0.004055,21,"237,227"
"Sep 28, 2017",0.004623,0.004761,0.003893,0.003907,504,"280,820"
"Sep 27, 2017",0.003381,0.004636,0.003381,0.004623,769,"205,269"
"Sep 26, 2017",0.003617,0.004691,0.003260,0.003390,331,"219,501"
"Sep 25, 2017",0.003771,0.003943,0.003199,0.003614,198,"228,781"
"Sep 24, 2017",0.004529,0.004529,0.002903,0.003775,273,"274,651"
"Sep 23, 2017",0.002668,0.004529,0.002646,0.004529,"1,113","161,751"
"Sep 22, 2017",0.002804,0.003250,0.002309,0.002676,244,"169,899"
"Sep 21, 2017",0.003156,0.003260,0.002776,0.002807,36,"191,177"
"Sep 20, 2017",0.003058,0.003536,0.002926,0.003170,50,"185,178"
"Sep 19, 2017",0.003938,0.003951,0.002961,0.003062,454,"238,360"
"Sep 18, 2017",0.003534,0.004201,0.003524,0.003929,672,"213,794"
"Sep 17, 2017",0.003751,0.004027,0.003384,0.003541,112,"226,866"
"Sep 16, 2017",0.003600,0.003929,0.003409,0.003753,93,"217,646"
"Sep 15, 2017",0.003272,0.004180,0.002721,0.003609,186,"197,701"
"Sep 14, 2017",0.002938,0.004539,0.002932,0.003248,323,"177,493"
"Sep 13, 2017",0.005013,0.005031,0.002932,0.002932,566,"302,688"
"Sep 12, 2017",0.005899,0.005997,0.004319,0.005032,"2,249","356,054"
"Sep 11, 2017",0.005308,0.006032,0.005046,0.005893,195,"320,232"
"Sep 10, 2017",0.006805,0.006805,0.004888,0.005316,69,"410,415"
"Sep 09, 2017",0.005585,0.006950,0.005429,0.006833,435,"336,713"
"Sep 08, 2017",0.005518,0.006056,0.005389,0.005574,74,"332,531"
"Sep 07, 2017",0.005539,0.005919,0.005421,0.005519,107,"333,637"
"Sep 06, 2017",0.005699,0.006506,0.004789,0.005549,378,"343,177"
"Sep 05, 2017",0.006114,0.006200,0.005314,0.005693,63,"368,021"
"Sep 04, 2017",0.006283,0.007276,0.005315,0.006083,668,"378,027"
"Sep 03, 2017",0.005549,0.007547,0.005549,0.006281,680,"333,717"
"Sep 02, 2017",0.007830,0.007977,0.005605,0.005703,167,"470,717"
"Sep 01, 2017",0.007704,0.008110,0.007135,0.007816,372,"462,967"
"Aug 31, 2017",0.007284,0.009060,0.007282,0.007703,"1,212","437,546"
"Aug 30, 2017",0.007531,0.008630,0.006953,0.007297,193,"452,225"
"Aug 29, 2017",0.008644,0.009099,0.007541,0.007541,"1,040","518,810"
"Aug 28, 2017",0.008947,0.009201,0.007981,0.008629,"2,379","536,784"
"Aug 27, 2017",0.008125,0.009234,0.007624,0.008956,"6,321","487,305"
"Aug 26, 2017",0.007288,0.009133,0.007183,0.008127,"3,437","436,950"
"Aug 25, 2017",0.006497,0.012221,0.000718,0.007286,"17,493","389,296"
"Aug 24, 2017",0.005423,0.006833,0.005411,0.006507,"1,597","324,826"
"Aug 23, 2017",0.005101,0.006762,0.005088,0.005421,382,"305,433"
"Aug 22, 2017",0.004839,0.005193,0.004394,0.005110,123,"289,586"
"Aug 21, 2017",0.004711,0.005838,0.004610,0.004826,360,"281,797"
"Aug 20, 2017",0.005389,0.005389,0.004729,0.004729,311,"322,252"
"Aug 19, 2017",0.005287,0.005933,0.005211,0.005414,"1,138","316,038"
"Aug 18, 2017",0.005688,0.006090,0.005020,0.005280,125,"339,855"
"Aug 17, 2017",0.006314,0.008215,0.005704,0.005705,796,"377,109"
"Aug 16, 2017",0.004808,0.006901,0.004676,0.006320,752,"287,038"
"Aug 15, 2017",0.005062,0.005140,0.004511,0.004803,491,"302,062"
"Aug 14, 2017",0.006782,0.006812,0.004168,0.005048,"2,153","404,570"
"Aug 13, 2017",0.005414,0.008052,0.005414,0.006777,"1,254","322,844"
"Aug 12, 2017",0.006264,0.007795,0.003607,0.005419,"2,934","373,361"
"Aug 11, 2017",0.004918,0.006616,0.004706,0.006614,"2,333","293,053"
"Aug 10, 2017",0.005081,0.005616,0.003528,0.004919,"1,537","302,609"
"Aug 09, 2017",0.006185,0.006200,0.004579,0.005081,505,"368,230"
"Aug 08, 2017",0.006782,0.006782,0.004715,0.006189,"2,144","403,553"
"Aug 07, 2017",0.005409,0.008337,0.004330,0.006775,"2,760","321,747"
"Aug 06, 2017",0.005077,0.006373,0.004281,0.004485,96,"301,887"
"Aug 05, 2017",0.004539,0.006515,0.004535,0.005076,251,"269,772"
"Aug 04, 2017",0.005907,0.005925,0.004425,0.004541,263,"350,960"
"Aug 03, 2017",0.004770,0.006118,0.004368,0.005909,565,"283,270"
"Aug 02, 2017",0.002969,0.006038,0.002630,0.004761,"1,673","176,196"
"Aug 01, 2017",0.003864,0.003864,0.002911,0.002969,266,"229,216"
"Jul 31, 2017",0.004100,0.004953,0.003407,0.003862,409,"243,168"
"Jul 30, 2017",0.003420,0.006729,0.003303,0.003826,400,"202,776"
"Jul 29, 2017",0.003546,0.004896,0.003358,0.003421,77,"210,114"
"Jul 28, 2017",0.003828,0.004038,0.003349,0.003559,72,"226,775"
"Jul 27, 2017",0.003601,0.004643,0.003586,0.003817,249,"213,216"
"Jul 26, 2017",0.003891,0.004065,0.003498,0.003591,97,"230,324"
"Jul 25, 2017",0.004964,0.004998,0.003885,0.003890,512,"293,676"
"Jul 24, 2017",0.005527,0.006108,0.004964,0.004964,"1,808","326,891"
"Jul 23, 2017",0.005603,0.006219,0.005319,0.005534,271,"331,214"
"Jul 22, 2017",0.006266,0.006637,0.005433,0.005688,"1,155","370,330"
"Jul 21, 2017",0.005650,0.007110,0.005297,0.006268,575,"333,722"
"Jul 20, 2017",0.004893,0.005782,0.004741,0.005605,428,"288,873"
"Jul 19, 2017",0.006031,0.006036,0.004767,0.004907,482,"355,944"
"Jul 18, 2017",0.005156,0.006475,0.004664,0.006022,689,"304,190"
"Jul 17, 2017",0.003845,0.005718,0.003845,0.005143,"1,209","226,757"
"Jul 16, 2017",0.004327,0.006359,0.003748,0.003850,"1,088","255,058"
"Jul 15, 2017",0.004762,0.006623,0.003841,0.004340,"3,044","280,548"
"Jul 14, 2017",0.004703,0.007096,0.004265,0.004770,"2,746","277,000"
"Jul 13, 2017",0.003770,0.004520,0.003178,0.004520,"1,780","221,943"
"Jul 12, 2017",0.003828,0.004294,0.003615,0.003768,"1,696","225,263"
"Jul 11, 2017",0.006404,0.008521,0.003812,0.003870,"2,096","376,690"
"Jul 10, 2017",0.004531,0.007229,0.004003,0.006396,"1,429","266,413"
"Jul 09, 2017",0.004840,0.005196,0.003857,0.004522,310,"284,475"
"Jul 08, 2017",0.005393,0.007082,0.003960,0.004836,"2,156","316,811"
"Jul 07, 2017",0.003768,0.008452,0.003121,0.005388,"6,266","221,248"
"Jul 06, 2017",0.004277,0.005469,0.003069,0.003765,"2,608","251,044"
"Jul 05, 2017",0.002579,0.005873,0.002563,0.004275,"2,424","151,334"
"Jul 04, 2017",0.003196,0.003226,0.002568,0.002580,45,"187,416"
"Jul 03, 2017",0.002514,0.003264,0.002494,0.003203,402,"147,368"
"Jul 02, 2017",0.002573,0.002660,0.002431,0.002523,328,"150,753"
"Jul 01, 2017",0.002880,0.003331,0.002558,0.002573,401,"168,700"
"Jun 30, 2017",0.002783,0.003235,0.002693,0.002881,535,"162,938"
"Jun 29, 2017",0.002704,0.003073,0.002656,0.002777,472,"158,232"
"Jun 28, 2017",0.002702,0.002996,0.002600,0.002706,349,"158,039"
"Jun 27, 2017",0.002559,0.002684,0.002467,0.002684,309,"149,650"
"Jun 26, 2017",0.003100,0.003149,0.002417,0.002559,"1,004","181,185"
"Jun 25, 2017",0.003446,0.003898,0.002964,0.003102,366,"201,322"
"Jun 24, 2017",0.004019,0.004138,0.003226,0.003454,300,"234,720"
"Jun 23, 2017",0.002818,0.004915,0.002569,0.004020,"1,112","164,485"
"Jun 22, 2017",0.002944,0.003593,0.002521,0.002818,149,"171,803"
"Jun 21, 2017",0.002946,0.003594,0.002944,0.002944,320,"171,814"
"Jun 20, 2017",0.002572,0.004969,0.002572,0.002896,497,"149,964"
"Jun 19, 2017",0.001993,0.004146,0.001992,0.002572,"1,332","116,159"
"Jun 18, 2017",0.002248,0.002248,0.001640,0.001970,253,"130,977"
"Jun 17, 2017",0.002637,0.002669,0.002248,0.002248,255,"153,547"
"Jun 16, 2017",0.002607,0.002645,0.002291,0.002633,41,"151,740"
"Jun 15, 2017",0.002335,0.002735,0.002132,0.002609,603,"135,850"
"Jun 14, 2017",0.002735,0.002933,0.002234,0.002335,263,"159,067"
"Jun 13, 2017",0.003064,0.003465,0.002421,0.002737,244,"178,132"
"Jun 12, 2017",0.004382,0.004971,0.002870,0.003074,716,"254,680"
"Jun 11, 2017",0.003267,0.005298,0.002954,0.004388,"2,541","189,792"
"Jun 10, 2017",0.002845,0.003696,0.002730,0.003269,949,"165,165"
"Jun 09, 2017",0.002603,0.003859,0.002541,0.002841,"2,181","151,087"
"Jun 08, 2017",0.002525,0.002656,0.002361,0.002607,422,"146,472"
"Jun 07, 2017",0.002650,0.002702,0.002468,0.002512,253,"153,665"
"Jun 06, 2017",0.002755,0.003333,0.002533,0.002649,563,"159,673"
"Jun 05, 2017",0.002266,0.002771,0.002089,0.002747,664,"131,291"
"Jun 04, 2017",0.002228,0.002709,0.001644,0.002266,523,"129,039"
"Jun 03, 2017",0.002079,0.002517,0.001997,0.002234,443,"120,330"
"Jun 02, 2017",0.001702,0.002408,0.001541,0.002079,657,"98,503"
"Jun 01, 2017",0.001466,0.002542,0.000978,0.001701,"1,053","84,816"
"May 31, 2017",0.000963,0.001552,0.000847,0.001470,29,"55,660"
"May 30, 2017",0.000957,0.001040,0.000890,0.000959,35,"55,288"
"May 29, 2017",0.000955,0.001234,0.000902,0.000956,159,"55,181"
"May 28, 2017",0.000921,0.001243,0.000893,0.000957,9,"53,166"
"May 27, 2017",0.001186,0.001220,0.000628,0.000915,73,"68,435"
"May 26, 2017",0.001099,0.002447,0.001047,0.001182,840,"63,390"
"May 25, 2017",0.001266,0.001381,0.001032,0.001107,41,"73,023"
"May 24, 2017",0.001131,0.001310,0.001103,0.001269,46,"65,179"
"May 23, 2017",0.001433,0.001534,0.001126,0.001129,488,"82,574"
"May 22, 2017",0.001101,0.001489,0.001076,0.001435,303,"63,390"
"May 21, 2017",0.001064,0.001241,0.001023,0.001097,159,"61,252"
"May 20, 2017",0.000981,0.001143,0.000950,0.001064,361,"56,442"
"May 19, 2017",0.000886,0.000984,0.000886,0.000982,18,"50,981"
"May 18, 2017",0.000951,0.001044,0.000857,0.000886,474,"54,699"
"May 17, 2017",0.000887,0.000953,0.000877,0.000953,130,"50,968"
"May 16, 2017",0.000830,0.000926,0.000809,0.000887,96,"47,661"
"May 15, 2017",0.000821,0.000885,0.000795,0.000831,29,"47,162"
"May 14, 2017",0.001508,0.001585,0.000818,0.000821,83,"86,552"
