Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.180830,0.187802,0.174770,0.181739,"905,067","3,758,470"
"Sep 30, 2017",0.165550,0.188067,0.165550,0.180866,"933,756","3,438,690"
"Sep 29, 2017",0.164907,0.179232,0.145703,0.165703,"835,780","3,423,260"
"Sep 28, 2017",0.144989,0.176316,0.142360,0.165120,"823,050","3,008,100"
"Sep 27, 2017",0.133357,0.150517,0.132226,0.144993,"968,893","2,765,170"
"Sep 26, 2017",0.128769,0.137996,0.128401,0.133795,"1,041,090","2,668,640"
"Sep 25, 2017",0.123432,0.135276,0.122136,0.128999,"67,866","2,556,680"
"Sep 24, 2017",0.121402,0.125947,0.118139,0.123647,"53,191","2,513,170"
"Sep 23, 2017",0.121566,0.124005,0.120152,0.122471,"48,383","2,515,230"
"Sep 22, 2017",0.116597,0.125369,0.114304,0.121865,"89,173","2,411,260"
"Sep 21, 2017",0.126138,0.131662,0.115792,0.116706,"155,065","2,607,390"
"Sep 20, 2017",0.145773,0.147526,0.123215,0.126453,"157,839","3,011,880"
"Sep 19, 2017",0.143404,0.166261,0.134840,0.145815,"317,963","2,961,480"
"Sep 18, 2017",0.121906,0.143997,0.120271,0.143997,"213,307","2,516,540"
"Sep 17, 2017",0.113691,0.125235,0.099107,0.122019,"176,305","2,346,030"
"Sep 16, 2017",0.125716,0.146816,0.097745,0.114168,"319,359","2,593,040"
"Sep 15, 2017",0.119997,0.136771,0.080052,0.126384,"576,438","2,474,010"
"Sep 14, 2017",0.206550,0.211727,0.118168,0.118909,"388,686","4,256,340"
"Sep 13, 2017",0.202859,0.212114,0.195284,0.209993,"255,015","4,178,110"
"Sep 12, 2017",0.195426,0.220932,0.195426,0.202765,"581,540","4,022,910"
"Sep 11, 2017",0.210124,0.223215,0.187649,0.196651,"519,435","4,323,010"
"Sep 10, 2017",0.241371,0.241371,0.191898,0.212436,"373,431","4,963,110"
"Sep 09, 2017",0.212893,0.242731,0.207732,0.241407,"686,265","4,375,000"
"Sep 08, 2017",0.328831,0.335387,0.207353,0.224004,"1,085,790","6,753,630"
"Sep 07, 2017",0.373976,0.382310,0.324863,0.326285,"819,388","7,676,290"
"Sep 06, 2017",0.310000,0.374746,0.310000,0.374393,"1,184,680","6,359,360"
"Sep 05, 2017",0.294392,0.306069,0.195670,0.302949,"1,332,220","6,035,820"
"Sep 04, 2017",0.395675,0.395732,0.267321,0.295947,"638,560","8,107,650"
"Sep 03, 2017",0.404130,0.414358,0.374438,0.394885,"305,415","8,276,290"
"Sep 02, 2017",0.435284,0.462981,0.389171,0.403221,"576,644","8,908,860"
"Sep 01, 2017",0.422552,0.440941,0.414019,0.435563,"526,171","8,643,030"
"Aug 31, 2017",0.428098,0.441593,0.406933,0.422197,"570,835","8,751,350"
"Aug 30, 2017",0.452702,0.455295,0.391550,0.428335,"545,785","9,248,780"
"Aug 29, 2017",0.479313,0.512671,0.440207,0.447387,"1,155,110","9,786,560"
"Aug 28, 2017",0.534912,0.534912,0.437299,0.481939,"1,702,940","10,914,800"
"Aug 27, 2017",0.449888,0.624845,0.449395,0.530720,"7,616,940","9,174,290"
"Aug 26, 2017",0.381630,0.484010,0.378928,0.447180,"2,378,320","7,777,620"
"Aug 25, 2017",0.356656,0.431473,0.351249,0.377667,"1,193,370","7,264,170"
"Aug 24, 2017",0.345851,0.397550,0.342454,0.356200,"813,032","7,040,050"
"Aug 23, 2017",0.331837,0.369280,0.329406,0.345583,"481,201","6,750,840"
"Aug 22, 2017",0.329573,0.335927,0.319495,0.331356,"302,866","6,700,970"
"Aug 21, 2017",0.390384,0.454853,0.327163,0.330755,"2,391,290","7,932,550"
"Aug 20, 2017",0.316958,0.409116,0.312491,0.392628,"1,472,800","6,436,920"
"Aug 19, 2017",0.322875,0.322953,0.300777,0.316704,"216,968","6,553,240"
"Aug 18, 2017",0.328787,0.332947,0.315051,0.321933,"234,919","6,669,020"
"Aug 17, 2017",0.347098,0.376949,0.296473,0.332678,"775,601","7,035,960"
"Aug 16, 2017",0.346304,0.405718,0.329551,0.354117,"578,197","7,015,440"
"Aug 15, 2017",0.329411,0.350341,0.308599,0.348169,"445,268","6,669,080"
"Aug 14, 2017",0.361756,0.366644,0.327007,0.331261,"420,345","7,319,360"
"Aug 13, 2017",0.384825,0.391188,0.336164,0.361715,"379,574","7,781,360"
"Aug 12, 2017",0.381365,0.405924,0.369515,0.388825,"546,922","7,707,040"
"Aug 11, 2017",0.395193,0.403432,0.376686,0.382591,"363,203","7,981,740"
"Aug 10, 2017",0.410462,0.425188,0.389327,0.394274,"678,813","8,284,990"
"Aug 09, 2017",0.383553,0.427517,0.379013,0.410134,"709,584","7,737,430"
"Aug 08, 2017",0.397447,0.399647,0.372066,0.384285,"440,226","8,012,750"
"Aug 07, 2017",0.379775,0.398288,0.365032,0.395898,"395,540","7,651,740"
"Aug 06, 2017",0.430137,0.446155,0.383241,0.383241,"540,886","8,661,220"
"Aug 05, 2017",0.389293,0.432621,0.379994,0.430080,"851,325","7,834,140"
"Aug 04, 2017",0.366998,0.396917,0.366768,0.390498,"596,930","7,381,000"
"Aug 03, 2017",0.375132,0.375132,0.357445,0.369583,"383,332","7,540,130"
"Aug 02, 2017",0.357250,0.383051,0.348472,0.375581,"562,789","7,176,510"
"Aug 01, 2017",0.334061,0.361538,0.330005,0.354401,"417,190","6,706,820"
"Jul 31, 2017",0.331981,0.341106,0.323073,0.333897,"177,271","6,661,070"
"Jul 30, 2017",0.346139,0.346139,0.329544,0.332601,"177,044","6,941,240"
"Jul 29, 2017",0.359773,0.364891,0.326513,0.344528,"386,620","7,210,440"
"Jul 28, 2017",0.385736,0.396957,0.361719,0.362440,"686,451","7,726,120"
"Jul 27, 2017",0.381281,0.405715,0.367245,0.392297,"363,636","7,632,210"
"Jul 26, 2017",0.371765,0.378314,0.331373,0.372596,"450,399","7,436,840"
"Jul 25, 2017",0.432752,0.432752,0.339026,0.371801,"444,963","8,651,570"
"Jul 24, 2017",0.418112,0.433726,0.396423,0.432809,"322,081","8,353,890"
"Jul 23, 2017",0.486499,0.496515,0.388541,0.415858,"858,296","9,714,030"
"Jul 22, 2017",0.453171,0.490352,0.449792,0.483185,"754,106","9,042,760"
"Jul 21, 2017",0.457834,0.500308,0.419279,0.453088,"1,367,640","9,130,360"
"Jul 20, 2017",0.359871,0.461329,0.359871,0.442908,"1,293,240","7,172,530"
"Jul 19, 2017",0.348124,0.517861,0.310625,0.360405,"2,241,810","6,934,300"
"Jul 18, 2017",0.285296,0.385691,0.275148,0.343511,"769,920","5,679,320"
"Jul 17, 2017",0.259239,0.288125,0.254748,0.284591,"216,754","5,157,630"
"Jul 16, 2017",0.289162,0.294030,0.252492,0.258737,"311,370","5,749,580"
"Jul 15, 2017",0.310959,0.316375,0.275386,0.289166,"370,481","6,179,510"
"Jul 14, 2017",0.340221,0.352552,0.302071,0.310721,"323,787","6,757,070"
"Jul 13, 2017",0.373411,0.382743,0.331999,0.339796,"383,666","7,412,200"
"Jul 12, 2017",0.334789,0.377564,0.297817,0.377564,"601,988","6,641,840"
"Jul 11, 2017",0.390710,0.399462,0.318696,0.337133,"517,054","7,746,830"
"Jul 10, 2017",0.454166,0.470391,0.384315,0.391631,"571,220","9,000,280"
"Jul 09, 2017",0.495654,0.503465,0.441394,0.455265,"712,045","9,817,260"
"Jul 08, 2017",0.427650,0.497330,0.369942,0.494669,"1,170,960","8,465,540"
"Jul 07, 2017",0.540200,0.608400,0.426675,0.438894,"1,546,540","10,687,200"
"Jul 06, 2017",0.623587,0.633137,0.525523,0.542579,"700,562","12,329,100"
"Jul 05, 2017",0.664792,0.682180,0.605050,0.622174,"787,089","13,135,400"
"Jul 04, 2017",0.619018,0.687971,0.618346,0.675528,"1,364,650","12,222,900"
"Jul 03, 2017",0.626797,0.719587,0.596502,0.623027,"1,723,880","12,367,900"
"Jul 02, 2017",0.627663,0.645700,0.562491,0.645700,"1,353,250","12,377,200"
"Jul 01, 2017",0.732318,0.736722,0.623504,0.629439,"930,944","14,430,900"
"Jun 30, 2017",0.758133,0.760154,0.728043,0.731758,"821,030","14,929,500"
"Jun 29, 2017",0.799871,0.806901,0.734881,0.755574,"1,474,250","15,740,000"
"Jun 28, 2017",0.826176,0.829926,0.746215,0.804338,"2,295,020","16,245,000"
"Jun 27, 2017",0.778683,0.875774,0.722585,0.799461,"6,715,230","15,297,900"
"Jun 26, 2017",0.791361,0.885609,0.622683,0.778683,"4,318,790","15,535,900"
"Jun 25, 2017",0.788611,0.837987,0.755391,0.789413,"1,585,970","15,469,900"
"Jun 24, 2017",0.813305,0.885193,0.757491,0.788758,"2,861,260","15,941,900"
"Jun 23, 2017",0.724038,0.831773,0.723583,0.813140,"2,564,410","14,182,100"
"Jun 22, 2017",0.724280,0.760199,0.692336,0.724291,"1,420,040","14,176,700"
"Jun 21, 2017",0.786497,0.801694,0.656484,0.729337,"2,553,190","15,383,300"
"Jun 20, 2017",0.648768,0.881174,0.626934,0.781105,"5,329,440","12,681,000"
"Jun 19, 2017",0.610191,0.750400,0.610191,0.642551,"4,624,440","11,919,500"
"Jun 18, 2017",0.555440,0.667502,0.543425,0.603280,"2,456,480","10,843,400"
"Jun 17, 2017",0.527427,0.574665,0.520822,0.555666,"1,096,330","10,290,400"
"Jun 16, 2017",0.520807,0.546829,0.495582,0.532094,"836,124","10,155,300"
"Jun 15, 2017",0.531672,0.538974,0.456921,0.524742,"1,058,350","10,360,900"
"Jun 14, 2017",0.570007,0.613797,0.520023,0.530900,"1,959,620","11,101,400"
"Jun 13, 2017",0.525650,0.600354,0.503447,0.568121,"1,525,740","10,231,600"
"Jun 12, 2017",0.581294,0.688380,0.487874,0.528025,"1,725,940","11,308,200"
"Jun 11, 2017",0.556314,0.595314,0.547895,0.571509,"930,833","10,815,400"
"Jun 10, 2017",0.595738,0.604965,0.517387,0.558356,"1,256,270","11,574,000"
