Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.010962,0.011480,0.007811,0.009098,"4,274","2,758,960"
"Sep 30, 2017",0.011997,0.012850,0.009004,0.010956,"8,140","3,019,490"
"Sep 29, 2017",0.012560,0.012615,0.009007,0.012520,"1,630","3,161,080"
"Sep 28, 2017",0.007882,0.013562,0.007082,0.012528,"4,718","1,983,620"
"Sep 27, 2017",0.007648,0.008355,0.007231,0.007882,"1,097","1,924,860"
"Sep 26, 2017",0.005547,0.008339,0.005111,0.007669,"4,602","1,396,130"
"Sep 25, 2017",0.005198,0.005618,0.004709,0.005546,944,"1,308,060"
"Sep 24, 2017",0.004613,0.005519,0.004224,0.005203,771,"1,160,930"
"Sep 23, 2017",0.003374,0.006101,0.003168,0.004801,"2,958","849,053"
"Sep 22, 2017",0.003178,0.005182,0.003006,0.003383,"1,361","799,844"
"Sep 21, 2017",0.002657,0.003455,0.002156,0.003181,"21,233","668,523"
"Sep 20, 2017",0.004320,0.004411,0.002132,0.002455,"58,066","1,087,030"
"Sep 19, 2017",0.004336,0.004464,0.003834,0.004321,"41,251","1,091,090"
"Sep 18, 2017",0.003971,0.004905,0.003955,0.004290,"54,984","999,243"
"Sep 17, 2017",0.004903,0.004903,0.003312,0.004007,"35,668","1,233,810"
"Sep 16, 2017",0.004954,0.007541,0.003391,0.004667,"129,351","1,246,600"
"Sep 15, 2017",0.002344,0.005191,0.001866,0.004963,"150,736","589,796"
"Sep 14, 2017",0.007809,0.007812,0.002225,0.002341,"44,945","1,964,980"
"Sep 13, 2017",0.007393,0.008103,0.006991,0.007810,"36,310","1,860,170"
"Sep 12, 2017",0.007564,0.009449,0.007217,0.007396,"57,748","1,903,330"
"Sep 11, 2017",0.007239,0.008766,0.007211,0.007564,"30,165","1,821,490"
"Sep 10, 2017",0.009218,0.009381,0.006428,0.007251,"52,509","2,319,450"
"Sep 09, 2017",0.009189,0.010762,0.008323,0.009223,"40,620","2,312,110"
"Sep 08, 2017",0.014772,0.015450,0.007901,0.009368,"132,860","3,716,680"
"Sep 07, 2017",0.020022,0.020039,0.013895,0.014772,"105,389","5,037,690"
"Sep 06, 2017",0.013877,0.021302,0.013877,0.020043,"209,922","3,491,470"
"Sep 05, 2017",0.013985,0.015194,0.009411,0.014285,"99,538","3,518,680"
"Sep 04, 2017",0.020345,0.020664,0.013020,0.014089,"87,682","5,118,560"
"Sep 03, 2017",0.021566,0.021719,0.019814,0.020582,"23,272","5,425,790"
"Sep 02, 2017",0.022734,0.023845,0.020266,0.020738,"49,664","5,719,650"
"Sep 01, 2017",0.021374,0.023303,0.021128,0.021938,"53,664","5,377,450"
"Aug 31, 2017",0.021668,0.022094,0.020340,0.021356,"11,013","5,451,200"
"Aug 30, 2017",0.022364,0.022511,0.019914,0.021667,"36,550","5,626,350"
"Aug 29, 2017",0.023018,0.023668,0.022118,0.022354,"17,935","5,790,790"
"Aug 28, 2017",0.025847,0.025925,0.022182,0.023009,"53,607","6,502,370"
"Aug 27, 2017",0.022184,0.025275,0.021688,0.025231,"90,946","5,580,700"
"Aug 26, 2017",0.021689,0.022732,0.021689,0.022185,"24,076","5,456,230"
"Aug 25, 2017",0.022782,0.023208,0.021063,0.021858,"46,337","5,731,020"
"Aug 24, 2017",0.023947,0.023947,0.021617,0.022782,"34,199","6,024,070"
"Aug 23, 2017",0.021352,0.024743,0.021352,0.024004,"78,701","5,371,180"
"Aug 22, 2017",0.023781,0.024753,0.019647,0.021344,"81,165","5,982,230"
"Aug 21, 2017",0.023830,0.027736,0.021760,0.023606,"105,008","5,994,360"
"Aug 20, 2017",0.021655,0.025158,0.020973,0.023692,"58,049","5,447,180"
"Aug 19, 2017",0.022162,0.022344,0.019513,0.021654,"59,896","5,574,720"
"Aug 18, 2017",0.025631,0.025631,0.021664,0.022139,"51,752","6,447,110"
"Aug 17, 2017",0.027975,0.027976,0.025069,0.025647,"23,496","7,036,760"
"Aug 16, 2017",0.025637,0.028054,0.025477,0.027955,"55,725","6,448,590"
"Aug 15, 2017",0.026950,0.027800,0.023834,0.025661,"86,149","6,778,640"
"Aug 14, 2017",0.028795,0.030107,0.026235,0.026950,"60,802","7,242,630"
"Aug 13, 2017",0.028533,0.032114,0.026803,0.028779,"97,929","7,176,770"
"Aug 12, 2017",0.028222,0.029506,0.026441,0.028563,"76,771","7,098,420"
"Aug 11, 2017",0.029529,0.029994,0.027834,0.028495,"76,461","7,427,050"
"Aug 10, 2017",0.030323,0.031712,0.027826,0.029471,"84,766","7,626,600"
"Aug 09, 2017",0.030891,0.031585,0.029140,0.030297,"107,836","7,769,480"
"Aug 08, 2017",0.033359,0.033645,0.030006,0.030895,"189,355","8,389,980"
"Aug 07, 2017",0.031430,0.033983,0.030456,0.033372,"117,925","7,904,650"
"Aug 06, 2017",0.037580,0.038574,0.031937,0.031940,"307,656","9,451,340"
"Aug 05, 2017",0.034494,0.038025,0.033529,0.037535,"269,916","8,675,020"
"Aug 04, 2017",0.031058,0.037937,0.031029,0.035072,"295,947","7,810,970"
"Aug 03, 2017",0.031847,0.032247,0.030371,0.031099,"98,162","8,009,190"
"Aug 02, 2017",0.030495,0.032640,0.029335,0.031857,"197,219","7,669,190"
"Aug 01, 2017",0.027900,0.031371,0.027587,0.030362,"126,553","7,016,280"
"Jul 31, 2017",0.029079,0.029205,0.026782,0.027886,"52,108","7,312,660"
"Jul 30, 2017",0.030413,0.030857,0.028354,0.029090,"41,076","7,648,240"
"Jul 29, 2017",0.031407,0.031407,0.028466,0.030413,"62,050","7,898,120"
"Jul 28, 2017",0.033137,0.033270,0.030091,0.031147,"96,287","8,332,910"
"Jul 27, 2017",0.032782,0.033907,0.030569,0.033167,"172,577","8,243,600"
"Jul 26, 2017",0.030871,0.034115,0.025931,0.032556,"247,254","7,762,970"
"Jul 25, 2017",0.039976,0.040696,0.027080,0.031559,"301,906","10,052,400"
"Jul 24, 2017",0.039408,0.041635,0.037251,0.039979,"228,531","9,909,470"
"Jul 23, 2017",0.047908,0.048587,0.034885,0.039841,"677,429","12,046,700"
"Jul 22, 2017",0.039454,0.049489,0.038272,0.047893,"813,445","9,920,610"
"Jul 21, 2017",0.042018,0.044827,0.035469,0.039858,"639,040","10,565,300"
"Jul 20, 2017",0.033912,0.043581,0.033011,0.041246,"821,497","8,526,970"
"Jul 19, 2017",0.027854,0.038393,0.026103,0.031291,"520,837","7,003,760"
"Jul 18, 2017",0.025951,0.031047,0.023497,0.027825,"334,061","6,525,090"
"Jul 17, 2017",0.021948,0.025982,0.021697,0.025407,"173,160","5,518,610"
"Jul 16, 2017",0.026900,0.027433,0.020644,0.021839,"166,380","6,763,550"
"Jul 15, 2017",0.030981,0.030981,0.023609,0.026930,"267,016","7,789,460"
"Jul 14, 2017",0.034534,0.035813,0.029490,0.030364,"220,426","8,682,740"
"Jul 13, 2017",0.038033,0.038373,0.031984,0.034619,"312,750","9,562,420"
"Jul 12, 2017",0.034827,0.038681,0.029745,0.038681,"299,977","8,756,110"
"Jul 11, 2017",0.036748,0.038525,0.031064,0.034828,"279,001","9,239,030"
"Jul 10, 2017",0.042246,0.047639,0.035276,0.037553,"367,565","10,621,100"
"Jul 09, 2017",0.052151,0.053382,0.041217,0.042817,"383,534","13,111,200"
"Jul 08, 2017",0.043558,0.054983,0.034459,0.052562,"777,001","10,950,700"
"Jul 07, 2017",0.054530,0.054824,0.043407,0.043520,"600,624","13,708,900"
"Jul 06, 2017",0.064484,0.064484,0.052869,0.055113,"568,252","16,211,200"
"Jul 05, 2017",0.068619,0.069491,0.061803,0.063785,"571,908","17,161,600"
"Jul 04, 2017",0.070131,0.074615,0.067643,0.069536,"551,280","17,539,700"
"Jul 03, 2017",0.080505,0.084016,0.069975,0.070689,"1,328,580","20,134,300"
"Jul 02, 2017",0.073370,0.082608,0.063613,0.078644,"2,405,700","18,350,000"
"Jul 01, 2017",0.108957,0.108957,0.072560,0.074209,"2,827,990","27,250,100"
"Jun 30, 2017",0.064511,0.112040,0.064409,0.104906,"5,401,780","16,134,400"
"Jun 29, 2017",0.072032,0.072888,0.059187,0.065048,"1,304,700","18,015,400"
"Jun 28, 2017",0.055018,0.074297,0.048433,0.067916,"1,090,900","13,760,000"
"Jun 27, 2017",0.058028,0.058028,0.046141,0.054370,"441,337","14,513,000"
"Jun 26, 2017",0.068036,0.068887,0.047230,0.058028,"785,609","17,015,900"
"Jun 25, 2017",0.067335,0.078119,0.065836,0.067454,"795,038","16,840,400"
"Jun 24, 2017",0.079990,0.080699,0.066588,0.067488,"21,493","20,005,500"
"Jun 23, 2017",0.072189,0.086695,0.071452,0.079999,"1,045,240","18,054,600"
"Jun 22, 2017",0.071046,0.075494,0.061762,0.071197,"883,384","17,768,800"
"Jun 21, 2017",0.078426,0.093342,0.058986,0.071046,"1,670,830","19,614,400"
"Jun 20, 2017",0.093774,0.115000,0.069736,0.075693,"1,963,570","23,452,900"
"Jun 19, 2017",0.051319,0.094811,0.049089,0.092549,"2,643,780","12,834,900"
"Jun 18, 2017",0.046672,0.056327,0.046424,0.051319,"376,039","11,672,700"
"Jun 17, 2017",0.051187,0.051187,0.040029,0.046423,"424,335","12,801,900"
"Jun 16, 2017",0.038083,0.061108,0.038083,0.051925,"1,329,150","9,524,670"
"Jun 15, 2017",0.029006,0.037512,0.025011,0.036428,"464,173","7,254,330"
"Jun 14, 2017",0.023762,0.041078,0.020812,0.029007,"411,791","5,942,800"
"Jun 13, 2017",0.021329,0.025641,0.020422,0.023776,"82,856","5,334,380"
"Jun 12, 2017",0.023794,0.024445,0.017553,0.020879,"97,711","5,951,030"
"Jun 11, 2017",0.023001,0.023832,0.021884,0.023826,"50,497","5,752,550"
"Jun 10, 2017",0.021907,0.023766,0.021109,0.023014,"128,766","5,479,090"
