Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.009149,0.009619,0.008802,0.009433,"4,062","1,141,030"
"Sep 30, 2017",0.008548,0.009961,0.008532,0.009125,"6,547","1,066,010"
"Sep 29, 2017",0.008470,0.009122,0.007903,0.008547,"1,915","1,056,140"
"Sep 28, 2017",0.008706,0.009209,0.008221,0.008476,"2,452","1,085,550"
"Sep 27, 2017",0.008295,0.010641,0.007849,0.008982,"7,982","1,034,160"
"Sep 26, 2017",0.007246,0.009030,0.006820,0.008352,"5,498","903,283"
"Sep 25, 2017",0.008672,0.008682,0.006856,0.007091,"6,388","1,081,030"
"Sep 24, 2017",0.007505,0.009280,0.006906,0.007772,"4,737","935,531"
"Sep 23, 2017",0.007033,0.007547,0.006771,0.007185,"1,728","876,646"
"Sep 22, 2017",0.007007,0.007236,0.006614,0.007053,"1,563","873,304"
"Sep 21, 2017",0.007664,0.007879,0.006817,0.007019,"2,536","955,037"
"Sep 20, 2017",0.007150,0.007998,0.006893,0.007845,"1,557","890,964"
"Sep 19, 2017",0.007903,0.007945,0.006766,0.007160,"2,916","984,693"
"Sep 18, 2017",0.006727,0.009935,0.006442,0.007884,"4,649","838,075"
"Sep 17, 2017",0.007143,0.007151,0.006193,0.006774,"1,776","889,879"
"Sep 16, 2017",0.007114,0.007584,0.006097,0.007147,"2,240","886,150"
"Sep 15, 2017",0.005783,0.007430,0.005377,0.007133,"3,610","720,290"
"Sep 14, 2017",0.007142,0.007625,0.005871,0.005875,"3,443","889,527"
"Sep 13, 2017",0.008532,0.008563,0.007013,0.007142,"1,783","1,062,480"
"Sep 12, 2017",0.008414,0.009109,0.008251,0.008564,"4,172","1,047,640"
"Sep 11, 2017",0.008618,0.009393,0.008310,0.008406,"4,691","1,072,950"
"Sep 10, 2017",0.008642,0.009435,0.008570,0.008638,"4,867","1,075,680"
"Sep 09, 2017",0.007750,0.009131,0.007545,0.009131,"2,122","964,521"
"Sep 08, 2017",0.008830,0.011067,0.005840,0.007734,"7,411","1,098,700"
"Sep 07, 2017",0.009227,0.009712,0.008277,0.008828,"1,794","1,148,010"
"Sep 06, 2017",0.009723,0.011781,0.009179,0.009245,"3,347","1,209,520"
"Sep 05, 2017",0.009913,0.010255,0.008694,0.009712,"2,388","1,232,990"
"Sep 04, 2017",0.012710,0.013178,0.009513,0.009863,"4,975","1,580,570"
"Sep 03, 2017",0.010239,0.013192,0.009988,0.012706,"5,110","1,273,040"
"Sep 02, 2017",0.011392,0.013020,0.009966,0.010231,"5,945","1,416,180"
"Sep 01, 2017",0.009312,0.010955,0.008016,0.010949,"12,334","1,157,500"
"Aug 31, 2017",0.010068,0.010068,0.007641,0.009311,"5,317","1,251,310"
"Aug 30, 2017",0.010247,0.010684,0.009220,0.010086,"3,535","1,273,350"
"Aug 29, 2017",0.010404,0.010683,0.009652,0.010289,"7,062","1,292,620"
"Aug 28, 2017",0.008947,0.010735,0.008628,0.010338,"4,339","1,111,350"
"Aug 27, 2017",0.012571,0.012588,0.008234,0.008985,"2,404","1,561,320"
"Aug 26, 2017",0.010646,0.012508,0.009570,0.010527,"1,961","1,322,060"
"Aug 25, 2017",0.010925,0.011767,0.010180,0.010643,"9,595","1,356,520"
"Aug 24, 2017",0.010270,0.012786,0.009810,0.010941,"10,404","1,274,980"
"Aug 23, 2017",0.009241,0.012285,0.008862,0.010192,"9,446","1,147,060"
"Aug 22, 2017",0.011959,0.012242,0.009237,0.009260,"6,678","1,484,160"
"Aug 21, 2017",0.012722,0.013226,0.011724,0.011746,"5,133","1,578,680"
"Aug 20, 2017",0.013157,0.013993,0.012266,0.012811,"4,271","1,632,350"
"Aug 19, 2017",0.012116,0.014693,0.011929,0.013136,"7,545","1,502,940"
"Aug 18, 2017",0.011701,0.013700,0.011680,0.012701,"7,452","1,451,300"
"Aug 17, 2017",0.012727,0.014708,0.011049,0.012156,"5,420","1,578,250"
"Aug 16, 2017",0.010169,0.012783,0.008987,0.012739,"4,322","1,260,790"
"Aug 15, 2017",0.010198,0.012740,0.009125,0.009366,"4,702","1,264,260"
"Aug 14, 2017",0.009043,0.012007,0.008353,0.010171,"4,040","1,120,060"
"Aug 13, 2017",0.010511,0.011129,0.008996,0.009051,"2,637","1,301,830"
"Aug 12, 2017",0.009227,0.011136,0.009043,0.009515,"4,817","1,142,860"
"Aug 11, 2017",0.009359,0.011014,0.009100,0.009177,"5,159","1,159,110"
"Aug 10, 2017",0.010105,0.010959,0.009328,0.010067,"4,710","1,251,490"
"Aug 09, 2017",0.010492,0.010635,0.009539,0.009714,"6,251","1,299,490"
"Aug 08, 2017",0.010329,0.010895,0.009426,0.010592,"4,821","1,279,050"
"Aug 07, 2017",0.009819,0.010983,0.009112,0.010160,"10,666","1,215,710"
"Aug 06, 2017",0.010533,0.010610,0.008555,0.009841,"5,502","1,303,990"
"Aug 05, 2017",0.008573,0.010889,0.008426,0.010535,"5,194","1,061,080"
"Aug 04, 2017",0.008838,0.009172,0.007501,0.008046,"5,528","1,093,760"
"Aug 03, 2017",0.008404,0.009065,0.007861,0.008429,"3,146","1,039,890"
"Aug 02, 2017",0.007566,0.008402,0.006643,0.008389,"4,635","936,101"
"Aug 01, 2017",0.008458,0.008548,0.007430,0.007568,"2,796","1,046,220"
"Jul 31, 2017",0.007820,0.008581,0.007698,0.008454,"3,186","967,110"
"Jul 30, 2017",0.008272,0.008389,0.007746,0.007814,"2,879","1,022,890"
"Jul 29, 2017",0.008598,0.008703,0.008005,0.008330,"3,063","1,062,990"
"Jul 28, 2017",0.008367,0.008852,0.008003,0.008623,"4,466","1,034,300"
"Jul 27, 2017",0.008198,0.008600,0.007798,0.008319,"4,404","1,013,240"
"Jul 26, 2017",0.008355,0.008783,0.007922,0.008256,"2,455","1,032,510"
"Jul 25, 2017",0.008982,0.009899,0.007935,0.008325,"4,954","1,109,790"
"Jul 24, 2017",0.010054,0.011233,0.008709,0.008983,"8,020","1,242,080"
"Jul 23, 2017",0.009274,0.010765,0.008905,0.010067,"8,405","1,145,530"
"Jul 22, 2017",0.010703,0.010703,0.009036,0.009949,"5,471","1,321,880"
"Jul 21, 2017",0.011265,0.011303,0.008834,0.010705,"8,533","1,391,060"
"Jul 20, 2017",0.010005,0.012923,0.009475,0.011182,"15,427","1,235,210"
"Jul 19, 2017",0.011675,0.013389,0.009834,0.010031,"15,485","1,441,190"
"Jul 18, 2017",0.007206,0.014454,0.006928,0.011657,"24,562","889,340"
"Jul 17, 2017",0.006795,0.008904,0.006209,0.007033,"6,981","838,532"
"Jul 16, 2017",0.005190,0.007021,0.004894,0.006326,"5,651","640,318"
"Jul 15, 2017",0.006071,0.007126,0.005205,0.005205,"4,230","748,937"
"Jul 14, 2017",0.006488,0.006689,0.005868,0.006014,"2,678","800,234"
"Jul 13, 2017",0.007507,0.009215,0.006283,0.006356,"6,022","925,739"
"Jul 12, 2017",0.006414,0.008970,0.005446,0.007574,"6,247","790,866"
"Jul 11, 2017",0.007087,0.007553,0.005431,0.005796,"4,404","873,665"
"Jul 10, 2017",0.007840,0.008225,0.006728,0.006994,"3,695","966,370"
"Jul 09, 2017",0.008580,0.009767,0.007728,0.007728,"4,766","1,057,470"
"Jul 08, 2017",0.008032,0.009770,0.006862,0.008506,"9,880","989,774"
"Jul 07, 2017",0.009152,0.009974,0.007946,0.008026,"7,415","1,127,600"
"Jul 06, 2017",0.009672,0.010266,0.008755,0.009099,"5,346","1,191,470"
"Jul 05, 2017",0.010119,0.010653,0.009111,0.009499,"7,577","1,246,350"
"Jul 04, 2017",0.010155,0.014566,0.008585,0.010310,"15,549","1,250,530"
"Jul 03, 2017",0.008646,0.010594,0.007822,0.009959,"8,257","1,064,610"
"Jul 02, 2017",0.008965,0.009753,0.007788,0.008279,"5,649","1,103,670"
