Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.003814,0.003832,0.002866,0.003569,197,"85,463"
"Sep 30, 2017",0.002563,0.007887,0.002557,0.003843,"2,919","57,425"
"Sep 29, 2017",0.002715,0.002818,0.002551,0.002563,72,"60,839"
"Sep 28, 2017",0.002848,0.002853,0.002656,0.002717,28,"63,821"
"Sep 27, 2017",0.002555,0.002960,0.002555,0.002848,26,"57,255"
"Sep 26, 2017",0.002905,0.002912,0.002402,0.002563,24,"65,079"
"Sep 25, 2017",0.002424,0.002933,0.002417,0.002905,39,"54,307"
"Sep 24, 2017",0.002390,0.002668,0.002300,0.002426,24,"53,557"
"Sep 23, 2017",0.002237,0.002671,0.002215,0.002390,36,"50,111"
"Sep 22, 2017",0.002388,0.002479,0.002227,0.002243,2,"53,514"
"Sep 21, 2017",0.002589,0.002606,0.002366,0.002391,10,"58,009"
"Sep 20, 2017",0.002622,0.002765,0.002572,0.002602,28,"58,751"
"Sep 19, 2017",0.002684,0.002856,0.002548,0.002626,21,"60,136"
"Sep 18, 2017",0.002708,0.003240,0.002607,0.002677,10,"60,684"
"Sep 17, 2017",0.002491,0.002742,0.002391,0.002714,14,"55,808"
"Sep 16, 2017",0.002655,0.002817,0.002376,0.002492,36,"59,484"
"Sep 15, 2017",0.002217,0.002740,0.001867,0.002662,27,"49,667"
"Sep 14, 2017",0.002666,0.002702,0.002200,0.002200,8,"59,735"
"Sep 13, 2017",0.002893,0.002903,0.002602,0.002666,14,"64,814"
"Sep 12, 2017",0.003136,0.003297,0.002714,0.002904,41,"70,259"
"Sep 11, 2017",0.003245,0.003359,0.003009,0.003133,65,"72,698"
"Sep 10, 2017",0.003787,0.003994,0.002834,0.003250,46,"84,846"
"Sep 09, 2017",0.003762,0.004452,0.002302,0.003793,457,"84,283"
"Sep 08, 2017",0.006652,0.006661,0.003327,0.003744,629,"149,037"
"Sep 07, 2017",0.002705,0.008789,0.002559,0.006650,"2,591","60,600"
"Sep 06, 2017",0.002733,0.002816,0.002285,0.002710,75,"61,240"
"Sep 05, 2017",0.002652,0.002782,0.002503,0.002730,102,"59,431"
"Sep 04, 2017",0.002940,0.002942,0.002189,0.002639,57,"65,881"
"Sep 03, 2017",0.002325,0.003507,0.002325,0.002939,27,"52,091"
"Sep 02, 2017",0.003161,0.003331,0.002265,0.002323,162,"70,835"
"Sep 01, 2017",0.003457,0.003693,0.003059,0.003157,19,"77,447"
"Aug 31, 2017",0.003166,0.003462,0.003166,0.003456,9,"70,947"
"Aug 30, 2017",0.002989,0.003346,0.002862,0.003172,72,"66,966"
"Aug 29, 2017",0.003363,0.003556,0.002893,0.002993,166,"75,357"
"Aug 28, 2017",0.002940,0.003787,0.002672,0.003358,205,"65,872"
"Aug 27, 2017",0.002929,0.003163,0.002786,0.002943,23,"65,633"
"Aug 26, 2017",0.002740,0.003092,0.002674,0.002930,18,"61,393"
"Aug 25, 2017",0.002943,0.003192,0.002698,0.002739,58,"65,933"
"Aug 24, 2017",0.002826,0.003182,0.002652,0.002947,43,"63,321"
"Aug 23, 2017",0.003350,0.003534,0.002784,0.002825,9,"75,061"
"Aug 22, 2017",0.002625,0.003462,0.002326,0.003357,34,"58,805"
"Aug 21, 2017",0.003013,0.003835,0.002613,0.002618,59,"67,503"
"Aug 20, 2017",0.003053,0.003325,0.003009,0.003024,7,"68,415"
"Aug 19, 2017",0.003443,0.003669,0.002834,0.003068,60,"77,154"
"Aug 18, 2017",0.003417,0.003734,0.002729,0.003426,57,"76,562"
"Aug 17, 2017",0.003663,0.005389,0.003458,0.004030,63,"82,077"
"Aug 16, 2017",0.002582,0.005608,0.002549,0.003667,30,"57,844"
"Aug 15, 2017",0.003158,0.003190,0.002518,0.002579,38,"70,756"
"Aug 14, 2017",0.002954,0.003149,0.002895,0.003149,26,"66,192"
"Aug 13, 2017",0.003520,0.003781,0.002952,0.002952,391,"78,861"
"Aug 12, 2017",0.003869,0.003895,0.003287,0.003523,1,"86,697"
"Aug 11, 2017",0.003621,0.003974,0.003272,0.003872,163,"81,134"
"Aug 10, 2017",0.004144,0.004404,0.003610,0.003621,38,"92,841"
"Aug 09, 2017",0.003590,0.004155,0.003377,0.004143,175,"80,430"
"Aug 08, 2017",0.003138,0.004631,0.003137,0.003592,33,"70,305"
"Aug 07, 2017",0.004452,0.004557,0.003083,0.003135,113,"99,746"
"Aug 06, 2017",0.004296,0.005843,0.003379,0.004462,45,"96,265"
"Aug 05, 2017",0.002796,0.004435,0.002794,0.004295,105,"62,643"
"Aug 04, 2017",0.002825,0.002901,0.002514,0.002797,61,"63,308"
"Aug 03, 2017",0.002810,0.002848,0.002670,0.002826,6,"62,957"
"Aug 02, 2017",0.002875,0.003295,0.002563,0.002805,140,"64,417"
"Aug 01, 2017",0.002891,0.002989,0.002753,0.002876,57,"64,774"
"Jul 31, 2017",0.002804,0.002904,0.002709,0.002890,13,"62,826"
"Jul 30, 2017",0.003469,0.003476,0.002772,0.002801,58,"77,734"
"Jul 29, 2017",0.003044,0.005988,0.002948,0.003470,444,"68,196"
"Jul 28, 2017",0.003274,0.008317,0.002503,0.003055,"1,293","73,354"
