Date,Open,High,Low,Close,Volume,Market Cap
"Jan 05, 2016",0.000134,0.000152,0.000133,0.000134,2,"3,187"
"Jan 04, 2016",0.000133,0.000217,0.000121,0.000134,4,"3,160"
"Jan 03, 2016",0.000160,0.000233,0.000117,0.000133,3,"3,800"
"Jan 02, 2016",0.000130,0.000252,0.000108,0.000160,9,"3,082"
"Jan 01, 2016",0.000135,0.000164,0.000130,0.000130,3,"3,196"
"Dec 31, 2015",0.000141,0.000141,0.000135,0.000135,12,"3,342"
"Dec 30, 2015",0.000194,0.000195,0.000141,0.000141,24,"4,586"
"Dec 29, 2015",0.000169,0.000216,0.000169,0.000194,11,"3,989"
"Dec 28, 2015",0.000212,0.000248,0.000168,0.000169,8,"4,998"
"Dec 27, 2015",0.000235,0.000243,0.000211,0.000212,8,"5,532"
"Dec 26, 2015",0.000237,0.000242,0.000227,0.000242,8,"5,572"
"Dec 25, 2015",0.000234,0.000253,0.000233,0.000237,9,"5,494"
"Dec 24, 2015",0.000239,0.000280,0.000226,0.000234,9,"5,603"
"Dec 23, 2015",0.000257,0.000272,0.000231,0.000239,13,"6,019"
"Dec 22, 2015",0.000228,0.000258,0.000195,0.000257,20,"5,342"
"Dec 21, 2015",0.000243,0.000249,0.000197,0.000197,7,"5,695"
"Dec 20, 2015",0.000231,0.000255,0.000220,0.000243,4,"5,402"
"Dec 19, 2015",0.000223,0.000231,0.000219,0.000231,4,"5,197"
"Dec 18, 2015",0.000216,0.000264,0.000216,0.000223,7,"5,045"
"Dec 17, 2015",0.000264,0.000265,0.000209,0.000216,4,"6,145"
"Dec 16, 2015",0.000270,0.000273,0.000204,0.000264,17,"6,279"
"Dec 15, 2015",0.000233,0.000273,0.000233,0.000269,30,"5,415"
"Dec 14, 2015",0.000264,0.000268,0.000225,0.000233,0,"6,135"
"Dec 13, 2015",0.000261,0.000269,0.000221,0.000265,0,"6,053"
"Dec 12, 2015",0.000235,0.000262,0.000214,0.000262,6,"5,446"
"Dec 11, 2015",0.000258,0.000272,0.000220,0.000234,1,"5,967"
"Dec 10, 2015",0.000259,0.000260,0.000203,0.000258,6,"5,989"
"Dec 09, 2015",0.000249,0.000262,0.000190,0.000258,33,"5,769"
"Dec 08, 2015",0.000239,0.000351,0.000231,0.000248,3,"5,528"
"Dec 07, 2015",0.000214,0.000303,0.000212,0.000239,32,"4,941"
"Dec 06, 2015",0.000246,0.000343,0.000200,0.000215,21,"5,691"
"Dec 05, 2015",0.000207,0.000247,0.000184,0.000246,37,"4,780"
"Dec 04, 2015",0.000209,0.000240,0.000206,0.000207,9,"4,817"
"Dec 03, 2015",0.000237,0.000252,0.000201,0.000209,24,"5,468"
"Dec 02, 2015",0.000333,0.000333,0.000229,0.000237,11,"7,675"
"Dec 01, 2015",0.000298,0.000359,0.000271,0.000272,6,"6,867"
"Nov 30, 2015",0.000318,0.000360,0.000293,0.000298,25,"7,326"
"Nov 29, 2015",0.000323,0.000354,0.000306,0.000322,20,"7,431"
"Nov 28, 2015",0.000311,0.000355,0.000299,0.000323,32,"7,158"
"Nov 27, 2015",0.000308,0.000341,0.000303,0.000312,2,"7,076"
"Nov 26, 2015",0.000269,0.000345,0.000248,0.000310,6,"6,163"
"Nov 25, 2015",0.000301,0.000320,0.000262,0.000268,19,"6,904"
"Nov 24, 2015",0.000239,0.000305,0.000237,0.000301,55,"5,483"
"Nov 23, 2015",0.000249,0.000321,0.000229,0.000239,24,"5,711"
"Nov 22, 2015",0.000232,0.000274,0.000228,0.000230,3,"5,318"
"Nov 21, 2015",0.000234,0.000268,0.000231,0.000232,1,"5,349"
"Nov 20, 2015",0.000258,0.000259,0.000230,0.000234,4,"5,899"
"Nov 19, 2015",0.000268,0.000279,0.000257,0.000258,9,"6,121"
"Nov 18, 2015",0.000245,0.000278,0.000244,0.000267,20,"5,589"
"Nov 17, 2015",0.000238,0.000270,0.000235,0.000245,0,"5,438"
"Nov 16, 2015",0.000189,0.000274,0.000188,0.000238,16,"4,310"
"Nov 15, 2015",0.000199,0.000262,0.000188,0.000189,3,"4,548"
"Nov 14, 2015",0.000195,0.000260,0.000195,0.000199,2,"4,458"
