Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.062895,0.063181,0.055182,0.055873,288,"361,226"
"Sep 30, 2017",0.058495,0.062979,0.053671,0.062862,561,"335,760"
"Sep 29, 2017",0.059964,0.062839,0.056764,0.058487,111,"344,121"
"Sep 28, 2017",0.069419,0.076125,0.059179,0.060010,71,"398,386"
"Sep 27, 2017",0.052003,0.080368,0.049422,0.069417,637,"298,434"
"Sep 26, 2017",0.058923,0.060513,0.051166,0.052148,144,"338,139"
"Sep 25, 2017",0.056518,0.070244,0.037721,0.058928,498,"324,338"
"Sep 24, 2017",0.073883,0.073883,0.056328,0.056575,80,"423,737"
"Sep 23, 2017",0.078161,0.078225,0.055608,0.073890,313,"447,962"
"Sep 22, 2017",0.077468,0.080584,0.072849,0.078337,"1,546","443,904"
"Sep 21, 2017",0.076143,0.083705,0.073117,0.077498,"14,023","436,264"
"Sep 20, 2017",0.110912,0.113947,0.061006,0.076149,"64,363","635,242"
"Sep 19, 2017",0.114119,0.124544,0.106523,0.110944,"55,575","653,442"
"Sep 18, 2017",0.105396,0.124868,0.104021,0.114099,"70,273","603,403"
"Sep 17, 2017",0.116003,0.120564,0.100487,0.105312,"19,756","664,087"
"Sep 16, 2017",0.141909,0.187661,0.100732,0.116003,"112,307","812,221"
"Sep 15, 2017",0.064093,0.174159,0.058075,0.142152,"245,487","366,829"
"Sep 14, 2017",0.186351,0.189555,0.061031,0.064082,"84,599","1,066,270"
"Sep 13, 2017",0.180558,0.198989,0.166872,0.186377,"70,957","1,033,130"
"Sep 12, 2017",0.185458,0.234142,0.166772,0.180649,"209,426","1,060,960"
"Sep 11, 2017",0.168492,0.226641,0.168490,0.185453,"83,611","963,173"
"Sep 10, 2017",0.220701,0.220701,0.140527,0.168768,"163,503","1,260,700"
"Sep 09, 2017",0.222302,0.248505,0.205380,0.220771,"92,070","1,268,970"
"Sep 08, 2017",0.380856,0.382405,0.191444,0.211463,"276,249","2,172,570"
"Sep 07, 2017",0.406588,0.449434,0.375528,0.396263,"307,147","2,318,550"
"Sep 06, 2017",0.290451,0.448006,0.290451,0.407008,"471,284","1,655,100"
"Sep 05, 2017",0.269383,0.305524,0.182483,0.290392,"81,997","1,534,610"
"Sep 04, 2017",0.375455,0.378016,0.245145,0.266295,"134,470","2,137,930"
"Sep 03, 2017",0.386599,0.396509,0.367381,0.374806,"31,710","2,200,270"
"Sep 02, 2017",0.390138,0.405370,0.371900,0.392421,"73,821","2,219,370"
"Sep 01, 2017",0.380333,0.403828,0.376010,0.394818,"60,134","2,163,590"
"Aug 31, 2017",0.369302,0.407921,0.360499,0.379980,"78,319","2,100,360"
"Aug 30, 2017",0.375388,0.380185,0.350463,0.369294,"27,553","2,133,730"
"Aug 29, 2017",0.381419,0.385764,0.370720,0.375183,"18,868","2,167,250"
"Aug 28, 2017",0.389019,0.393166,0.364773,0.381237,"49,968","2,209,290"
"Aug 27, 2017",0.377807,0.410303,0.372573,0.385353,"94,946","2,144,300"
"Aug 26, 2017",0.383126,0.384612,0.367231,0.377897,"38,303","2,173,240"
"Aug 25, 2017",0.376717,0.382738,0.358398,0.379717,"47,018","2,135,740"
"Aug 24, 2017",0.376845,0.388808,0.366310,0.376614,"29,401","2,136,160"
"Aug 23, 2017",0.377884,0.417098,0.364475,0.372079,"93,781","2,141,180"
"Aug 22, 2017",0.379427,0.384067,0.359926,0.377738,"18,721","2,149,700"
"Aug 21, 2017",0.394695,0.417068,0.361146,0.379245,"52,862","2,235,230"
"Aug 20, 2017",0.369709,0.400036,0.356300,0.394648,"56,939","2,093,020"
"Aug 19, 2017",0.366804,0.375096,0.314310,0.369703,"59,151","2,075,650"
"Aug 18, 2017",0.394909,0.396445,0.366397,0.366425,"31,286","2,233,870"
"Aug 17, 2017",0.427492,0.427492,0.389084,0.395067,"19,262","2,417,480"
"Aug 16, 2017",0.405471,0.436550,0.403941,0.427177,"39,222","2,292,410"
"Aug 15, 2017",0.401540,0.413204,0.380724,0.410343,"61,546","2,269,310"
"Aug 14, 2017",0.460429,0.463344,0.398760,0.401757,"70,947","2,600,630"
"Aug 13, 2017",0.402119,0.472368,0.389742,0.458920,"140,450","2,269,880"
"Aug 12, 2017",0.422091,0.435098,0.395434,0.402185,"75,188","2,381,750"
"Aug 11, 2017",0.442232,0.442497,0.421891,0.429360,"84,111","2,493,850"
