Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.256681,0.257348,0.170484,0.189466,"32,534","5,486,470"
"Sep 30, 2017",0.237021,0.259154,0.225357,0.256543,"14,839","5,064,640"
"Sep 29, 2017",0.206515,0.268441,0.196160,0.236987,"23,851","4,411,390"
"Sep 28, 2017",0.254061,0.256399,0.198192,0.207363,"41,797","5,425,270"
"Sep 27, 2017",0.219540,0.254774,0.210163,0.254078,"47,071","4,686,580"
"Sep 26, 2017",0.191587,0.228042,0.178798,0.220137,"56,502","4,088,560"
"Sep 25, 2017",0.135483,0.219321,0.134331,0.191610,"64,627","2,890,330"
"Sep 24, 2017",0.114701,0.149104,0.109071,0.135605,"31,661","2,446,210"
"Sep 23, 2017",0.109719,0.116521,0.107681,0.114709,"27,306","2,339,210"
"Sep 22, 2017",0.108912,0.114738,0.105889,0.110033,"17,693","2,321,240"
"Sep 21, 2017",0.117000,0.118741,0.107512,0.109036,"38,088","2,492,820"
"Sep 20, 2017",0.114836,0.124660,0.113366,0.117577,"41,403","2,445,930"
"Sep 19, 2017",0.125837,0.127451,0.114990,0.114990,"16,655","2,679,380"
"Sep 18, 2017",0.110851,0.127392,0.107484,0.125534,"11,923","2,359,530"
"Sep 17, 2017",0.113171,0.119043,0.106598,0.111076,"3,756","2,408,130"
"Sep 16, 2017",0.114493,0.120512,0.108835,0.113248,"10,824","2,435,480"
"Sep 15, 2017",0.098205,0.116785,0.087236,0.114804,"11,811","2,088,330"
"Sep 14, 2017",0.120508,0.125362,0.096157,0.097476,"13,732","2,561,780"
"Sep 13, 2017",0.125585,0.126025,0.103985,0.120478,"16,408","2,668,830"
"Sep 12, 2017",0.128812,0.135528,0.124953,0.126059,"9,257","2,736,530"
"Sep 11, 2017",0.132013,0.135840,0.126943,0.128687,"18,657","2,803,620"
"Sep 10, 2017",0.136704,0.140561,0.125248,0.132236,"12,877","2,902,330"
"Sep 09, 2017",0.137453,0.145930,0.127193,0.137053,"20,394","2,917,290"
"Sep 08, 2017",0.148854,0.154537,0.127857,0.137026,"32,870","3,158,230"
"Sep 07, 2017",0.151576,0.159929,0.143628,0.146302,"21,488","3,214,940"
"Sep 06, 2017",0.139391,0.175192,0.137144,0.151852,"34,442","2,955,540"
"Sep 05, 2017",0.130148,0.155855,0.122267,0.139496,"12,594","2,758,680"
"Sep 04, 2017",0.139396,0.143530,0.128360,0.129521,"9,323","2,953,720"
"Sep 03, 2017",0.142307,0.145773,0.134636,0.139350,"5,612","3,014,460"
"Sep 02, 2017",0.148109,0.149941,0.134589,0.142226,"6,568","3,136,330"
"Sep 01, 2017",0.140395,0.150274,0.139906,0.147922,"10,159","2,972,030"
"Aug 31, 2017",0.144053,0.151282,0.138398,0.140395,"26,066","3,048,460"
"Aug 30, 2017",0.153424,0.162077,0.136312,0.144298,"47,182","3,245,710"
"Aug 29, 2017",0.105455,0.156243,0.102617,0.153634,"51,302","2,230,190"
"Aug 28, 2017",0.101647,0.111318,0.098056,0.105278,"22,209","2,148,980"
"Aug 27, 2017",0.092534,0.111266,0.090638,0.101756,"7,619","1,955,670"
"Aug 26, 2017",0.091904,0.095923,0.086075,0.092554,"6,855","1,941,730"
"Aug 25, 2017",0.099641,0.101862,0.086978,0.091876,"11,015","2,104,500"
"Aug 24, 2017",0.093815,0.101175,0.093646,0.099797,"6,847","1,980,820"
"Aug 23, 2017",0.086228,0.107073,0.080170,0.093775,"10,368","1,820,020"
"Aug 22, 2017",0.077437,0.089111,0.068743,0.086385,"1,224","1,633,950"
"Aug 21, 2017",0.074332,0.085629,0.073427,0.077183,"6,990","1,567,920"
"Aug 20, 2017",0.075538,0.088494,0.074400,0.083883,"8,075","1,592,830"
"Aug 19, 2017",0.076520,0.077337,0.069236,0.075885,"6,852","1,613,030"
"Aug 18, 2017",0.075537,0.081781,0.072285,0.076539,"2,570","1,591,790"
"Aug 17, 2017",0.091630,0.092615,0.072579,0.075769,"2,315","1,930,290"
"Aug 16, 2017",0.074898,0.091711,0.068500,0.091711,"2,119","1,577,280"
"Aug 15, 2017",0.081792,0.084137,0.063845,0.074817,"1,606","1,721,920"
"Aug 14, 2017",0.075188,0.087775,0.067203,0.081580,"1,996","1,582,360"
"Aug 13, 2017",0.089025,0.089822,0.066984,0.075146,"2,841","1,872,970"
"Aug 12, 2017",0.100462,0.102205,0.078614,0.089107,"4,556","2,112,890"
"Aug 11, 2017",0.087098,0.100649,0.083675,0.100540,"3,676","1,831,230"
