Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.002477,0.002989,0.002214,0.002989,22,"107,821"
"Sep 30, 2017",0.002295,0.002475,0.002292,0.002475,1,"99,900"
"Sep 29, 2017",0.002390,0.002393,0.002253,0.002294,1,"104,069"
"Sep 28, 2017",0.002398,0.002436,0.002277,0.002392,4,"104,413"
"Sep 27, 2017",0.002683,0.002734,0.002247,0.002398,3,"116,815"
"Sep 26, 2017",0.002714,0.002779,0.002209,0.002691,16,"118,159"
"Sep 25, 2017",0.002020,0.002764,0.002019,0.002714,38,"87,936"
"Sep 24, 2017",0.002122,0.002122,0.002009,0.002022,1,"92,366"
"Sep 23, 2017",0.002056,0.002122,0.002034,0.002122,3,"89,518"
"Sep 22, 2017",0.002064,0.002144,0.002015,0.002062,1,"89,855"
"Sep 21, 2017",0.002328,0.002343,0.002051,0.002066,3,"101,339"
"Sep 20, 2017",0.002231,0.002648,0.002115,0.002339,13,"97,120"
"Sep 19, 2017",0.002831,0.002846,0.002178,0.002234,148,"123,258"
"Sep 18, 2017",0.002513,0.002868,0.002315,0.002824,46,"109,394"
"Sep 17, 2017",0.002637,0.002637,0.002373,0.002518,6,"114,817"
"Sep 16, 2017",0.003005,0.003132,0.002429,0.002639,34,"130,808"
"Sep 15, 2017",0.002531,0.003092,0.002092,0.003012,6,"110,183"
"Sep 14, 2017",0.002714,0.002768,0.002352,0.002511,5,"118,158"
"Sep 13, 2017",0.003530,0.003542,0.002678,0.002714,25,"153,666"
"Sep 12, 2017",0.002865,0.003543,0.002865,0.003543,64,"124,744"
"Sep 11, 2017",0.003358,0.003457,0.002821,0.002863,1,"146,182"
"Sep 10, 2017",0.002642,0.003412,0.002575,0.003363,24,"115,028"
"Sep 09, 2017",0.002641,0.002734,0.002566,0.002649,7,"114,962"
"Sep 08, 2017",0.002856,0.003414,0.002528,0.002635,50,"124,340"
"Sep 07, 2017",0.003693,0.003747,0.003600,0.003707,3,"160,762"
"Sep 06, 2017",0.002829,0.004013,0.002829,0.003700,18,"123,157"
"Sep 05, 2017",0.003100,0.003100,0.002723,0.002826,6,"134,981"
"Sep 04, 2017",0.003326,0.003328,0.002575,0.003084,8,"144,789"
"Sep 03, 2017",0.002813,0.003782,0.002748,0.003325,38,"122,459"
"Sep 02, 2017",0.004185,0.004234,0.002741,0.002811,76,"182,215"
"Sep 01, 2017",0.003032,0.004180,0.003003,0.004180,33,"132,022"
"Aug 31, 2017",0.003114,0.003430,0.002967,0.003032,5,"135,575"
"Aug 30, 2017",0.002940,0.003121,0.002920,0.003119,10,"128,007"
"Aug 29, 2017",0.003028,0.003204,0.002938,0.002944,2,"131,843"
"Aug 28, 2017",0.002823,0.003034,0.002622,0.003023,11,"122,910"
"Aug 27, 2017",0.002824,0.002861,0.002638,0.002826,27,"122,934"
"Aug 26, 2017",0.004673,0.004684,0.002690,0.002824,5,"203,461"
"Aug 25, 2017",0.004285,0.004775,0.004285,0.004672,25,"186,575"
"Aug 24, 2017",0.004474,0.004627,0.004049,0.004292,24,"194,801"
"Aug 23, 2017",0.002452,0.004625,0.002443,0.004472,224,"106,737"
"Aug 22, 2017",0.002641,0.002652,0.002391,0.002457,27,"114,964"
"Aug 21, 2017",0.002678,0.002698,0.002619,0.002635,1,"116,571"
"Aug 20, 2017",0.002902,0.002902,0.002675,0.002688,26,"126,332"
"Aug 19, 2017",0.002835,0.002959,0.002756,0.002915,4,"123,422"
"Aug 18, 2017",0.003253,0.003271,0.002743,0.002837,2,"141,610"
"Aug 17, 2017",0.003292,0.003407,0.002969,0.003263,35,"143,307"
"Aug 16, 2017",0.003115,0.003295,0.002962,0.003295,1,"135,630"
"Aug 15, 2017",0.003375,0.003392,0.002897,0.003112,10,"146,941"
"Aug 14, 2017",0.003168,0.003368,0.003105,0.003366,1,"137,939"
"Aug 13, 2017",0.003094,0.003381,0.003087,0.003166,21,"134,711"
"Aug 12, 2017",0.002920,0.003167,0.002890,0.003097,8,"127,139"
"Aug 11, 2017",0.002733,0.002962,0.002721,0.002923,97,"118,981"
"Aug 10, 2017",0.002641,0.002755,0.002622,0.002733,28,"114,979"
"Aug 09, 2017",0.002701,0.002707,0.002565,0.002641,4,"117,584"
"Aug 08, 2017",0.002849,0.002849,0.002646,0.002703,4,"124,038"
"Aug 07, 2017",0.002802,0.002859,0.002522,0.002846,2,"121,970"
"Aug 06, 2017",0.002669,0.002981,0.002471,0.002808,83,"116,208"
"Aug 05, 2017",0.002683,0.003063,0.002540,0.002669,164,"116,823"
"Aug 04, 2017",0.002759,0.002844,0.002387,0.002684,727,"120,124"
"Aug 03, 2017",0.002758,0.002857,0.002756,0.002760,2,"120,077"
"Aug 02, 2017",0.002757,0.002780,0.002631,0.002753,63,"120,014"
"Aug 01, 2017",0.002862,0.002909,0.002658,0.002757,5,"124,616"
"Jul 31, 2017",0.002741,0.002875,0.002703,0.002861,4,"119,316"
"Jul 30, 2017",0.002799,0.002805,0.002680,0.002738,4,"121,870"
"Jul 29, 2017",0.002948,0.003500,0.002778,0.002800,100,"128,358"
"Jul 28, 2017",0.002847,0.003044,0.002847,0.002959,5,"123,962"
"Jul 27, 2017",0.002803,0.002973,0.002792,0.002839,0,"122,014"
"Jul 26, 2017",0.002816,0.003205,0.002605,0.002795,21,"122,612"
"Jul 25, 2017",0.002841,0.003444,0.002650,0.002815,253,"123,682"
"Jul 24, 2017",0.003356,0.003356,0.002808,0.002841,16,"146,094"
"Jul 23, 2017",0.003142,0.003446,0.002742,0.003360,138,"136,784"
"Jul 22, 2017",0.002801,0.003149,0.002750,0.003142,35,"121,931"
"Jul 21, 2017",0.003058,0.003069,0.002671,0.002801,14,"133,156"
"Jul 20, 2017",0.002706,0.003154,0.002381,0.003036,43,"117,822"
"Jul 19, 2017",0.002326,0.002765,0.002274,0.002714,182,"101,255"
"Jul 18, 2017",0.002290,0.002620,0.002161,0.002322,27,"99,680"
"Jul 17, 2017",0.001808,0.002511,0.001808,0.002284,258,"78,695"
"Jul 16, 2017",0.003156,0.003697,0.001432,0.001810,337,"137,420"
"Jul 15, 2017",0.002063,0.004196,0.001904,0.003166,610,"89,829"
"Jul 14, 2017",0.001756,0.002072,0.001706,0.002067,487,"76,440"
"Jul 13, 2017",0.001790,0.001813,0.001741,0.001757,4,"77,918"
"Jul 12, 2017",0.001730,0.001810,0.001685,0.001788,6,"75,305"
"Jul 11, 2017",0.001755,0.001794,0.001691,0.001738,36,"76,418"
"Jul 10, 2017",0.001879,0.001889,0.001711,0.001759,3,"81,802"
"Jul 09, 2017",0.001938,0.001944,0.001875,0.001875,13,"84,353"
"Jul 08, 2017",0.001876,0.001938,0.001855,0.001936,4,"81,685"
"Jul 07, 2017",0.001949,0.001952,0.001856,0.001875,29,"84,848"
"Jul 06, 2017",0.001820,0.001977,0.001646,0.001947,26,"79,230"
"Jul 05, 2017",0.001684,0.001819,0.001616,0.001819,5,"73,297"
"Jul 04, 2017",0.001598,0.001692,0.001282,0.001684,3,"69,573"
"Jul 03, 2017",0.001369,0.001712,0.001276,0.001602,3,"59,611"
"Jul 02, 2017",0.001805,0.001833,0.001318,0.001374,60,"78,595"
"Jul 01, 2017",0.001912,0.001923,0.001790,0.001805,3,"83,259"
"Jun 30, 2017",0.001823,0.001939,0.001698,0.001913,2,"79,373"
"Jun 29, 2017",0.002042,0.002049,0.001572,0.001819,8,"88,904"
"Jun 28, 2017",0.001937,0.002114,0.001602,0.002044,4,"84,320"
"Jun 27, 2017",0.001827,0.001924,0.001566,0.001924,534,"79,544"
"Jun 26, 2017",0.001889,0.002043,0.001738,0.001827,77,"82,226"
"Jun 25, 2017",0.002104,0.002175,0.001836,0.001890,4,"91,586"
"Jun 24, 2017",0.002018,0.002119,0.001892,0.002108,77,"87,847"
"Jun 23, 2017",0.001898,0.002170,0.001873,0.002018,25,"82,654"
"Jun 22, 2017",0.001998,0.001998,0.001873,0.001898,193,"87,004"
"Jun 21, 2017",0.002073,0.002298,0.001998,0.002073,7,"90,267"
"Jun 20, 2017",0.002148,0.002223,0.001998,0.002073,4,"93,529"
"Jun 19, 2017",0.001873,0.002373,0.001873,0.002148,293,"81,566"
"Jun 18, 2017",0.001873,0.002073,0.001873,0.001873,7,"81,566"
"Jun 17, 2017",0.001898,0.002048,0.001873,0.001873,60,"82,654"
"Jun 16, 2017",0.001834,0.002048,0.001761,0.001898,54,"79,867"
"Jun 15, 2017",0.001941,0.001978,0.001618,0.001836,349,"84,519"
"Jun 14, 2017",0.002031,0.002172,0.001856,0.001941,18,"88,422"
"Jun 13, 2017",0.001981,0.002120,0.001979,0.002032,5,"86,247"
"Jun 12, 2017",0.002231,0.002347,0.001888,0.001988,321,"97,123"
"Jun 11, 2017",0.002168,0.002334,0.002145,0.002234,9,"94,407"
"Jun 10, 2017",0.002136,0.002277,0.002105,0.002170,5,"92,989"
"Jun 09, 2017",0.002129,0.002226,0.002099,0.002105,28,"92,689"
"Jun 08, 2017",0.002018,0.002132,0.001964,0.002132,6,"87,858"
"Jun 07, 2017",0.002150,0.002270,0.001972,0.002008,140,"93,603"
"Jun 06, 2017",0.001725,0.002418,0.001704,0.002149,942,"75,087"
"Jun 05, 2017",0.001611,0.002038,0.001529,0.001719,160,"70,127"
"Jun 04, 2017",0.001495,0.001634,0.000930,0.001610,191,"65,092"
"Jun 03, 2017",0.001039,0.002981,0.000939,0.001499,792,"45,255"
"Jun 02, 2017",0.001080,0.001084,0.000862,0.001040,1,"47,013"
"Jun 01, 2017",0.000800,0.001082,0.000800,0.001079,157,"34,849"
"May 31, 2017",0.000701,0.000829,0.000692,0.000800,3,"30,513"
"May 30, 2017",0.000843,0.000858,0.000690,0.000698,70,"36,693"
