Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.012685,0.017557,0.012022,0.012330,"7,388","1,465,820"
"Sep 30, 2017",0.013881,0.014307,0.011521,0.012632,"5,736","1,603,640"
"Sep 29, 2017",0.008202,0.013639,0.007219,0.013629,"32,001","947,172"
"Sep 28, 2017",0.006264,0.009000,0.006115,0.009000,"14,564","723,072"
"Sep 27, 2017",0.006114,0.006388,0.005426,0.006320,759,"705,442"
"Sep 26, 2017",0.006149,0.006438,0.005337,0.006125,"2,368","709,212"
"Sep 25, 2017",0.006878,0.007127,0.005885,0.006146,"1,185","793,216"
"Sep 24, 2017",0.006300,0.008086,0.005267,0.006885,"4,629","726,495"
"Sep 23, 2017",0.004576,0.008010,0.004361,0.006300,"3,890","527,737"
"Sep 22, 2017",0.004768,0.004780,0.003970,0.004580,"5,651","549,824"
"Sep 21, 2017",0.004401,0.005023,0.004181,0.004771,"41,795","507,487"
"Sep 20, 2017",0.008200,0.008200,0.004136,0.004458,"94,998","945,528"
"Sep 19, 2017",0.008451,0.009146,0.006917,0.008202,"78,206","974,536"
"Sep 18, 2017",0.004328,0.008435,0.004088,0.008435,"101,835","499,090"
"Sep 17, 2017",0.007261,0.007285,0.003697,0.004254,"163,684","837,255"
"Sep 16, 2017",0.007553,0.010603,0.006462,0.007268,"290,531","870,945"
"Sep 15, 2017",0.006922,0.010319,0.005742,0.007567,"428,708","798,157"
"Sep 14, 2017",0.015538,0.018800,0.006667,0.007171,"369,591","1,791,550"
"Sep 13, 2017",0.022079,0.022079,0.014949,0.016862,"542,060","2,545,640"
"Sep 12, 2017",0.014091,0.022915,0.011643,0.021375,"1,649,270","1,624,620"
"Sep 11, 2017",0.017975,0.022595,0.012535,0.014106,"210,940","2,072,240"
"Sep 10, 2017",0.023091,0.024141,0.015383,0.018528,"195,004","2,661,260"
"Sep 09, 2017",0.025948,0.028456,0.022562,0.023100,"244,019","2,990,150"
"Sep 08, 2017",0.042207,0.044950,0.023834,0.025683,"828,315","4,863,720"
"Sep 07, 2017",0.051259,0.051673,0.041885,0.043137,"761,946","5,906,840"
"Sep 06, 2017",0.037602,0.050881,0.035056,0.050729,"1,382,750","4,333,100"
"Sep 05, 2017",0.032931,0.037304,0.020992,0.037178,"697,350","3,794,820"
"Sep 04, 2017",0.049798,0.049798,0.031034,0.033601,"409,760","5,738,370"
"Sep 03, 2017",0.054878,0.058654,0.047312,0.049679,"330,307","6,322,380"
"Sep 02, 2017",0.061943,0.065304,0.053940,0.055298,"585,135","7,134,610"
"Sep 01, 2017",0.059211,0.064901,0.057224,0.062216,"1,125,000","6,818,880"
"Aug 31, 2017",0.060895,0.062253,0.058727,0.059141,"514,234","7,012,070"
"Aug 30, 2017",0.062972,0.064320,0.057028,0.060177,"949,576","7,251,250"
"Aug 29, 2017",0.074583,0.074583,0.062076,0.062895,"1,030,950","8,588,160"
"Aug 28, 2017",0.091748,0.101977,0.071306,0.074739,"4,298,260","10,562,400"
"Aug 27, 2017",0.057511,0.106364,0.055767,0.089238,"7,426,310","6,619,480"
"Aug 26, 2017",0.058720,0.060640,0.055672,0.055957,"186,166","6,757,860"
"Aug 25, 2017",0.056714,0.060945,0.054776,0.058660,"399,854","6,525,640"
"Aug 24, 2017",0.056036,0.057298,0.053400,0.056973,"222,765","6,447,480"
"Aug 23, 2017",0.054780,0.061179,0.053714,0.056048,"393,713","6,302,460"
"Aug 22, 2017",0.055213,0.056944,0.053286,0.054743,"267,708","6,350,770"
"Aug 21, 2017",0.058609,0.062584,0.053952,0.056306,"552,609","6,740,340"
"Aug 20, 2017",0.054855,0.062898,0.053021,0.058667,"445,096","6,308,570"
"Aug 19, 2017",0.054564,0.056743,0.051342,0.054630,"210,198","6,275,120"
"Aug 18, 2017",0.061477,0.061477,0.054437,0.054451,"223,176","7,070,010"
"Aug 17, 2017",0.062452,0.063683,0.056075,0.060470,"408,001","7,182,110"
"Aug 16, 2017",0.068292,0.073123,0.062413,0.062413,"746,105","7,853,470"
"Aug 15, 2017",0.059788,0.072235,0.054468,0.069438,"1,638,770","6,875,230"
"Aug 14, 2017",0.068284,0.070334,0.059083,0.059637,"503,677","7,852,210"
"Aug 13, 2017",0.068645,0.068908,0.063736,0.067015,"307,678","7,893,600"
"Aug 12, 2017",0.073163,0.077733,0.068675,0.068675,"447,955","8,413,050"
"Aug 11, 2017",0.079585,0.087201,0.071976,0.073087,"1,321,430","9,151,540"
"Aug 10, 2017",0.073560,0.092504,0.068071,0.076550,"1,833,080","8,458,590"
"Aug 09, 2017",0.074681,0.080575,0.071577,0.074107,"583,097","8,587,530"
"Aug 08, 2017",0.077959,0.078841,0.071027,0.074576,"469,988","8,964,400"
"Aug 07, 2017",0.076237,0.083551,0.074153,0.079280,"697,786","8,766,430"
"Aug 06, 2017",0.087462,0.093406,0.077508,0.077508,"788,076","10,057,100"
"Aug 05, 2017",0.086433,0.089151,0.082039,0.087455,"818,030","9,937,360"
"Aug 04, 2017",0.083789,0.089761,0.082777,0.085917,"779,770","9,633,200"
"Aug 03, 2017",0.080264,0.090813,0.076498,0.084265,"1,094,990","9,227,900"
"Aug 02, 2017",0.074840,0.083431,0.070665,0.079964,"1,098,190","8,604,270"
"Aug 01, 2017",0.067858,0.074643,0.067058,0.074503,"699,111","7,801,450"
"Jul 31, 2017",0.068733,0.071553,0.067258,0.068178,"218,545","7,901,970"
"Jul 30, 2017",0.104343,0.118050,0.060985,0.118050,"2,381,050","11,995,700"
"Jul 29, 2017",0.092713,0.105537,0.089070,0.104718,"736,406","10,658,700"
"Jul 28, 2017",0.080093,0.094877,0.075142,0.092586,"709,822","9,207,900"
"Jul 27, 2017",0.075797,0.082917,0.071469,0.080212,"675,754","8,714,020"
"Jul 26, 2017",0.069481,0.077878,0.059738,0.075685,"887,695","7,987,870"
"Jul 25, 2017",0.090383,0.091007,0.065654,0.070295,"773,823","10,390,800"
"Jul 24, 2017",0.088743,0.091263,0.078901,0.090390,"807,614","10,202,300"
"Jul 23, 2017",0.110797,0.112385,0.077779,0.088303,"1,964,120","12,737,700"
"Jul 22, 2017",0.097367,0.115159,0.093729,0.111405,"2,128,120","11,193,700"
"Jul 21, 2017",0.098189,0.103704,0.086314,0.097908,"2,407,800","11,288,200"
"Jul 20, 2017",0.077585,0.106341,0.077585,0.098256,"4,640,270","8,919,410"
"Jul 19, 2017",0.076908,0.106574,0.061619,0.078053,"3,808,810","8,841,530"
"Jul 18, 2017",0.045640,0.082263,0.043700,0.076347,"2,296,560","5,246,860"
"Jul 17, 2017",0.039594,0.045297,0.038130,0.043840,"163,679","4,551,830"
"Jul 16, 2017",0.047204,0.050125,0.039606,0.039912,"186,899","5,426,650"
"Jul 15, 2017",0.052139,0.055709,0.046037,0.046602,"357,421","5,994,060"
"Jul 14, 2017",0.058960,0.060326,0.049202,0.051730,"200,511","6,778,190"
"Jul 13, 2017",0.063622,0.065680,0.055584,0.059346,"461,669","7,314,160"
"Jul 12, 2017",0.058179,0.062378,0.049702,0.062378,"644,054","6,688,440"
"Jul 11, 2017",0.065717,0.066715,0.055880,0.058993,"406,925","7,555,010"
"Jul 10, 2017",0.077866,0.079561,0.062173,0.067459,"393,752","8,951,660"
"Jul 09, 2017",0.087864,0.095911,0.077573,0.078932,"1,053,270","10,101,100"
"Jul 08, 2017",0.077086,0.088408,0.060609,0.088193,"2,314,640","8,861,910"
"Jul 07, 2017",0.113364,0.114602,0.075135,0.076434,"1,419,110","13,032,500"
"Jul 06, 2017",0.147205,0.147205,0.110670,0.112191,"760,417","16,922,900"
"Jul 05, 2017",0.154108,0.155207,0.145417,0.147251,"866,144","17,716,400"
"Jul 04, 2017",0.157992,0.165706,0.151560,0.152468,"1,100,140","18,162,900"
"Jul 03, 2017",0.156368,0.165032,0.145856,0.159653,"1,235,760","17,976,200"
"Jul 02, 2017",0.153081,0.159578,0.134950,0.155898,"1,092,460","17,598,200"
"Jul 01, 2017",0.201156,0.201156,0.148083,0.152205,"1,372,890","23,120,900"
"Jun 30, 2017",0.183681,0.200162,0.179413,0.200162,"2,907,070","21,108,200"
"Jun 29, 2017",0.168135,0.191076,0.158210,0.182426,"3,093,710","19,315,700"
"Jun 28, 2017",0.141873,0.175170,0.127478,0.168836,"2,527,350","16,295,200"
"Jun 27, 2017",0.166397,0.166397,0.119625,0.143372,"1,636,200","19,111,200"
"Jun 26, 2017",0.198004,0.202352,0.134968,0.166397,"2,060,240","22,741,200"
"Jun 25, 2017",0.199661,0.207424,0.187098,0.197665,"1,825,270","22,931,500"
"Jun 24, 2017",0.195547,0.211776,0.194779,0.201520,"2,241,560","22,458,900"
"Jun 23, 2017",0.194286,0.203421,0.190912,0.195573,"2,348,440","22,313,900"
"Jun 22, 2017",0.195961,0.204447,0.187340,0.196530,"2,382,920","22,506,300"
"Jun 21, 2017",0.224861,0.240249,0.174263,0.195629,"4,742,220","25,819,100"
"Jun 20, 2017",0.235040,0.304627,0.156585,0.226041,"12,658,800","26,985,100"
"Jun 19, 2017",0.112004,0.233236,0.111219,0.230520,"14,195,700","12,858,000"
"Jun 18, 2017",0.111227,0.117955,0.109022,0.112308,"625,117","12,768,800"
"Jun 17, 2017",0.115518,0.115567,0.105611,0.110646,"745,363","13,261,400"
"Jun 16, 2017",0.112144,0.123199,0.109882,0.115514,"1,264,710","12,874,000"
"Jun 15, 2017",0.107316,0.128681,0.100378,0.112522,"2,418,750","12,318,800"
"Jun 14, 2017",0.105470,0.143853,0.099697,0.107201,"3,759,760","12,106,100"
"Jun 13, 2017",0.102163,0.108830,0.096938,0.106014,"826,223","11,725,500"
"Jun 12, 2017",0.112335,0.121797,0.095177,0.101125,"1,099,100","12,890,900"
"Jun 11, 2017",0.103369,0.122989,0.102207,0.112800,"1,303,260","11,859,300"
"Jun 10, 2017",0.132901,0.137370,0.100074,0.101025,"2,842,070","15,243,500"
"Jun 09, 2017",0.090149,0.187638,0.082888,0.130178,"7,520,170","10,336,000"
"Jun 08, 2017",0.065064,0.103357,0.054538,0.089710,"1,817,350","7,458,160"
"Jun 07, 2017",0.066884,0.099033,0.060057,0.070608,"960,292","7,666,790"
"Jun 06, 2017",0.052821,0.082341,0.051890,0.066857,"852,386","6,054,720"
"Jun 05, 2017",0.051649,0.055043,0.051016,0.053213,"150,538","5,920,380"
"Jun 04, 2017",0.051673,0.056388,0.049280,0.052712,"100,467","5,922,160"
"Jun 03, 2017",0.053825,0.058329,0.047207,0.051680,"206,516","6,168,650"
"Jun 02, 2017",0.047472,0.054290,0.046060,0.053730,"349,600","5,439,950"
"Jun 01, 2017",0.045196,0.048677,0.043914,0.047464,"130,774","5,178,550"
"May 31, 2017",0.049340,0.049340,0.038238,0.045130,"198,479","5,652,510"
"May 30, 2017",0.040814,0.053106,0.040234,0.049929,"307,342","4,674,890"
"May 29, 2017",0.038948,0.042723,0.036296,0.041589,"90,797","4,460,640"
"May 28, 2017",0.045948,0.048755,0.037247,0.038957,"162,864","5,261,610"
"May 27, 2017",0.037698,0.046926,0.024133,0.043554,"274,997","4,316,610"
"May 26, 2017",0.058294,0.061512,0.034930,0.037620,"185,187","6,674,780"
"May 25, 2017",0.082924,0.086438,0.055246,0.058390,"239,829","9,494,850"
"May 24, 2017",0.086660,0.090029,0.075980,0.084223,"441,415","9,922,490"
"May 23, 2017",0.081767,0.087455,0.067833,0.087427,"521,871","9,362,290"
"May 22, 2017",0.029242,0.111445,0.027569,0.081780,"2,415,920","3,347,050"
"May 21, 2017",0.023570,0.031103,0.023537,0.029480,"62,337","2,697,410"
"May 20, 2017",0.024955,0.025510,0.021532,0.025510,"24,610","2,855,880"
"May 19, 2017",0.023322,0.025456,0.021098,0.024971,"32,350","2,668,980"
