Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.001651,0.001659,0.001203,0.001231,68,"196,147"
"Sep 30, 2017",0.001043,0.001650,0.001042,0.001650,569,"123,872"
"Sep 29, 2017",0.001090,0.001215,0.001038,0.001043,45,"129,481"
"Sep 28, 2017",0.001094,0.001111,0.000998,0.001091,16,"129,886"
"Sep 27, 2017",0.000933,0.001152,0.000933,0.001094,12,"110,793"
"Sep 26, 2017",0.001023,0.001035,0.000934,0.000936,10,"121,387"
"Sep 25, 2017",0.000992,0.001032,0.000979,0.001023,21,"117,678"
"Sep 24, 2017",0.001000,0.001010,0.000982,0.000993,27,"118,672"
"Sep 23, 2017",0.001046,0.001088,0.001036,0.001084,15,"124,127"
"Sep 22, 2017",0.001050,0.001091,0.001025,0.001049,15,"124,580"
"Sep 21, 2017",0.001086,0.001094,0.000969,0.001051,84,"128,850"
"Sep 20, 2017",0.001096,0.001133,0.001077,0.001092,6,"129,964"
"Sep 19, 2017",0.001149,0.001155,0.001082,0.001097,5,"136,236"
"Sep 18, 2017",0.001073,0.001156,0.001055,0.001146,17,"127,196"
"Sep 17, 2017",0.000966,0.000966,0.000907,0.000964,9,"114,489"
"Sep 16, 2017",0.000853,0.001164,0.000852,0.000966,15,"101,116"
"Sep 15, 2017",0.000973,0.001041,0.000688,0.000855,211,"115,348"
"Sep 14, 2017",0.001124,0.001139,0.000966,0.000966,41,"133,205"
"Sep 13, 2017",0.001204,0.001209,0.001096,0.001124,16,"142,637"
"Sep 12, 2017",0.001306,0.001355,0.001186,0.001209,105,"154,697"
"Sep 11, 2017",0.001318,0.001357,0.001282,0.001305,26,"156,013"
"Sep 10, 2017",0.001429,0.001429,0.001255,0.001320,16,"169,223"
"Sep 09, 2017",0.001515,0.001543,0.001388,0.001433,1,"179,341"
"Sep 08, 2017",0.001483,0.001521,0.001331,0.001512,135,"175,499"
"Sep 07, 2017",0.001477,0.001499,0.001440,0.001483,7,"174,795"
"Sep 06, 2017",0.001414,0.001543,0.001414,0.001480,524,"167,361"
"Sep 05, 2017",0.001464,0.001464,0.001346,0.001413,421,"173,206"
"Sep 04, 2017",0.001478,0.001518,0.001390,0.001457,57,"174,830"
"Sep 03, 2017",0.001429,0.001502,0.001381,0.001478,31,"169,040"
"Sep 02, 2017",0.001477,0.001510,0.001376,0.001429,63,"174,640"
"Sep 01, 2017",0.001469,0.001487,0.001436,0.001475,16,"173,615"
"Aug 31, 2017",0.001374,0.001477,0.001374,0.001469,16,"162,353"
"Aug 30, 2017",0.001470,0.001488,0.001348,0.001376,14,"173,683"
"Aug 29, 2017",0.001273,0.001477,0.001219,0.001472,277,"150,337"
"Aug 28, 2017",0.001129,0.001271,0.001091,0.001271,54,"133,365"
"Aug 27, 2017",0.001086,0.001188,0.001086,0.001130,13,"128,242"
"Aug 26, 2017",0.001092,0.001174,0.001071,0.001086,46,"128,919"
