Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.004225,0.004886,0.003523,0.004402,"1,091","704,470"
"Sep 30, 2017",0.003963,0.004354,0.003962,0.004222,367,"660,794"
"Sep 29, 2017",0.004214,0.004311,0.003644,0.003963,"2,590","702,602"
"Sep 28, 2017",0.004358,0.004415,0.004022,0.004217,789,"726,564"
"Sep 27, 2017",0.004185,0.004366,0.003935,0.004359,789,"697,705"
"Sep 26, 2017",0.004081,0.004460,0.003892,0.004194,349,"680,395"
"Sep 25, 2017",0.004007,0.004517,0.003715,0.004063,"1,239","668,051"
"Sep 24, 2017",0.004214,0.004292,0.003780,0.004011,314,"702,436"
"Sep 23, 2017",0.003660,0.004394,0.003639,0.004212,364,"610,052"
"Sep 22, 2017",0.003859,0.003948,0.003655,0.003671,71,"643,320"
"Sep 21, 2017",0.004847,0.005149,0.003641,0.003830,234,"807,877"
"Sep 20, 2017",0.003906,0.005256,0.003894,0.004860,"1,485","651,041"
"Sep 19, 2017",0.004475,0.004511,0.003350,0.003911,"2,588","745,819"
"Sep 18, 2017",0.003965,0.004509,0.003919,0.004464,891,"660,829"
"Sep 17, 2017",0.003665,0.004023,0.003510,0.003973,627,"610,742"
"Sep 16, 2017",0.004217,0.005060,0.003527,0.003667,946,"702,779"
"Sep 15, 2017",0.003087,0.004710,0.003057,0.004230,"2,626","514,469"
"Sep 14, 2017",0.003116,0.003224,0.002535,0.003084,"444,754","519,254"
"Sep 13, 2017",0.009630,0.009643,0.003089,0.003327,"436,342","1,604,500"
"Sep 12, 2017",0.003073,0.010072,0.002720,0.009921,"1,404,280","512,050"
"Sep 11, 2017",0.006738,0.007556,0.002434,0.003072,"130,470","1,122,710"
"Sep 10, 2017",0.007681,0.007681,0.004869,0.006438,"108,928","1,279,800"
"Sep 09, 2017",0.008200,0.009096,0.006443,0.007685,"184,954","1,366,210"
"Sep 08, 2017",0.014815,0.015551,0.007749,0.008428,"554,759","2,468,130"
"Sep 07, 2017",0.016849,0.018457,0.014048,0.015096,"458,680","2,807,040"
"Sep 06, 2017",0.012692,0.017651,0.011362,0.016867,"720,854","2,114,450"
"Sep 05, 2017",0.010293,0.012331,0.006108,0.012192,"396,986","1,714,730"
"Sep 04, 2017",0.018908,0.018908,0.008504,0.010291,"308,713","3,149,710"
"Sep 03, 2017",0.020711,0.021244,0.016950,0.018874,"148,749","3,450,060"
"Sep 02, 2017",0.022310,0.023178,0.019874,0.020704,"158,342","3,716,380"
